best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0739,1,1,0.0035651620309204244,0,347.6102375984192,1,0.0739
0.0796,3,1,0.0035587037779838027,0,280.86608028411865,1,0.0796
0.08,4,1,0.003553059919583923,0,270.2528386116028,1,0.08
0.08,10,1,0.0034858497209629903,6,236.14926290512085,1,0.0781
0.08,14,1,0.0034101974524076953,10,219.56868076324463,1,0.0776
0.0606,1,1,0.0015735059940804497,0,362.3532576560974,2,0.0606
0.0783,3,1,0.0015706556047800683,0,300.9200596809387,2,0.0783
0.0807,5,1,0.0015649663036909906,0,275.94530153274536,2,0.0807
0.0807,10,1,0.0015385010226261313,5,248.0491008758545,2,0.0789
0.0807,15,1,0.0014951315854617943,10,229.9018325805664,2,0.078
0.0638,1,1,0.001102931838274316,0,367.15713596343994,3,0.0638
0.0768,3,1,0.0011009338890305928,0,312.7173137664795,3,0.0768
0.0805,6,1,0.0010942106013554348,0,278.9131751060486,3,0.0805
0.0805,10,1,0.0010783954859120782,4,257.24595975875854,3,0.0801
0.0805,16,1,0.0010405565902362602,10,237.6401491165161,3,0.0792
0.0742,1,1,0.005132459052976136,0,343.330509185791,4,0.0742
0.0797,3,1,0.005123161658225632,0,278.59303522109985,4,0.0797
0.0803,4,1,0.005115036677681424,0,269.2803292274475,4,0.0803
0.0803,10,1,0.005018279899343562,6,237.43242979049683,4,0.0775
0.0803,14,1,0.004909369794485141,10,221.00365209579468,4,0.0773
0.0731,1,1,0.002973130949948549,0,350.72359895706177,5,0.0731
0.0795,3,1,0.002967745154991143,0,283.5379147529602,5,0.0795
0.0799,5,1,0.002956995251771742,0,264.18121242523193,5,0.0799
0.0799,10,1,0.00290698924828079,5,237.21600914001465,5,0.0783
0.0799,15,1,0.002825042934507456,10,217.04678583145142,5,0.0778
0.0652,1,1,0.0009758923216881196,0,368.66953706741333,6,0.0652
0.0762,3,1,0.0009741245031716799,0,317.07127141952515,6,0.0762
0.0806,6,1,0.0009681756271024635,0,283.1082811355591,6,0.0806
0.0806,10,1,0.0009541821515383422,4,260.6679172515869,6,0.0804
0.0806,16,1,0.0009207016711770488,10,241.21319246292114,6,0.0794
0.029,1,1,0.0002981360576689063,0,385.5068197250366,7,0.029
0.0673,3,1,0.0002975959873850724,0,354.7209529876709,7,0.0673
0.0773,10,1,0.00029150357947850574,0,306.2088861465454,7,0.0773
0.0811,21,1,0.00026949373397404847,0,273.349289894104,7,0.0811
0.0811,31,1,0.00023834342468069436,10,257.94940090179443,7,0.0803
0.0362,1,1,0.0003730650281920334,0,382.24779891967773,8,0.0362
0.0671,3,1,0.00037238922487847407,0,351.38573694229126,8,0.0671
0.0791,10,1,0.0003647656440704633,0,297.15499210357666,8,0.0791
0.0809,17,1,0.00034930252487420433,0,273.11312770843506,8,0.0809
0.0809,27,1,0.000315194711912959,10,254.35078191757202,8,0.0802
0.0271,1,1,0.00021767054210574828,0,389.5912256240845,9,0.0271
0.0657,3,1,0.00021727623424383952,0,358.5820164680481,9,0.0657
0.0749,10,1,0.00021282813849144835,0,318.7996754646301,9,0.0749
0.0808,27,1,0.00018390521390721995,0,276.38489532470703,9,0.0808
0.0808,37,1,0.00015759768167440718,10,264.47437858581543,9,0.0805
0.0634,1,1,0.0011510302768539932,0,366.62720584869385,10,0.0634
0.077,3,1,0.0011489451978025614,0,311.27084970474243,10,0.077
0.0804,6,1,0.0011419287101053575,0,277.5213623046875,10,0.0804
0.0804,10,1,0.0011254239034840102,4,256.1375665664673,10,0.0798
0.0804,16,1,0.001085934867938775,10,236.41071367263794,10,0.0791
