early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,19,0.0804,ok,0.1877,0.1618,1
True,21,0.0804,ok,0.187,0.1619,2
True,28,0.0806,ok,0.1884,0.1619,3
True,15,0.0798,ok,0.1855,0.1599,4
True,23,0.0805,ok,0.1885,0.1618,5
True,19,0.0804,ok,0.1877,0.1616,6
True,15,0.08,ok,0.1855,0.1602,7
True,16,0.0814,ok,0.1856,0.1608,8
True,35,0.0807,ok,0.1891,0.1618,9
True,35,0.0807,ok,0.1889,0.1617,10
True,15,0.0798,ok,0.185,0.1603,11
True,19,0.0803,ok,0.1877,0.1609,12
True,19,0.0803,ok,0.1879,0.161,13
True,17,0.0803,ok,0.1872,0.1607,14
True,48,0.0806,ok,0.1882,0.1616,15
True,18,0.0803,ok,0.1877,0.1615,16
True,52,0.0806,ok,0.1872,0.1614,17
True,35,0.0806,ok,0.1889,0.1619,18
True,19,0.0804,ok,0.1877,0.1619,19
True,23,0.0805,ok,0.1882,0.1618,20
