early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,14,0.0798,ok,0.1857,0.1601,1
True,48,0.0806,ok,0.1881,0.1615,2
True,15,0.0802,ok,0.1859,0.1603,3
True,15,0.0799,ok,0.1851,0.1599,4
True,16,0.0802,ok,0.1887,0.1617,5
True,16,0.0806,ok,0.1859,0.1605,6
True,57,0.0807,ok,0.1879,0.1614,7
True,16,0.0802,ok,0.1886,0.1617,8
True,24,0.0806,ok,0.1878,0.1619,9
True,15,0.0798,ok,0.1853,0.1599,10
True,17,0.0802,ok,0.1871,0.1608,11
True,15,0.0805,ok,0.1877,0.1607,12
True,48,0.0806,ok,0.1877,0.1614,13
True,16,0.0812,ok,0.1859,0.1606,14
True,28,0.0805,ok,0.1879,0.1619,15
True,23,0.0805,ok,0.1886,0.1618,16
True,15,0.0796,ok,0.1849,0.1598,17
True,15,0.0799,ok,0.1846,0.1599,18
True,17,0.0803,ok,0.1885,0.1619,19
True,57,0.0807,ok,0.1879,0.1614,20
