best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0491,1,1,0.0008128785634747918,0,371.84530305862427,1,0.0491
0.0728,3,1,0.0008114060426400733,0,325.55168294906616,1,0.0728
0.0803,8,1,0.0008013358947668291,0,277.8125786781311,1,0.0803
0.0803,10,1,0.0007947948758261209,2,268.0584282875061,1,0.0802
0.0803,18,1,0.0007549808887853464,10,243.88462924957275,1,0.0796
0.0513,1,1,0.0013756749640118455,0,365.1728558540344,2,0.0513
0.0777,3,1,0.0013731829435092394,0,306.9496560096741,2,0.0777
0.0803,6,1,0.0013647970594413397,0,273.00920057296753,2,0.0803
0.0803,10,1,0.0013450710368410456,4,252.1392560005188,2,0.0795
0.0803,16,1,0.0012978749911375105,10,231.31216955184937,2,0.0791
0.0291,1,1,0.00015677707504510423,0,393.63147163391113,3,0.0291
0.0299,3,1,0.00015649307504832328,0,364.998432636261,3,0.0299
0.069,10,1,0.00015328933679860802,0,332.31896018981934,3,0.069
0.0803,40,1,0.00010719931649975911,0,277.0879077911377,3,0.0803
0.0803,50,1,8.512733864671905e-05,10,269.942289352417,3,0.0803
0.0251,1,1,0.0001974601403135959,0,391.3263530731201,4,0.0251
0.0429,3,1,0.0001971024433786499,0,361.4742741584778,4,0.0429
0.0722,10,1,0.00019306734702202502,0,323.33201837539673,4,0.0722
0.0804,30,1,0.00016018152068468533,0,277.7662935256958,4,0.0804
0.0804,40,1,0.00013501713864398965,10,267.04036140441895,4,0.0803
0.0275,1,1,0.006792909725044479,0,359.4310712814331,5,0.0275
0.0792,3,1,0.006780604441638146,0,288.134015083313,5,0.0792
0.0805,5,1,0.006756043423858683,0,270.7990565299988,5,0.0805
0.0805,10,1,0.006641791386816664,5,249.04986190795898,5,0.0788
0.0805,15,1,0.006454563201737207,10,232.48506116867065,5,0.0792
0.0234,1,1,0.00029386665408633235,0,386.3515386581421,6,0.0234
0.0618,3,1,0.00029333431778148333,0,355.83726596832275,6,0.0618
0.0764,10,1,0.000287329155102301,0,308.0075168609619,6,0.0764
0.0806,25,1,0.00025444734148007776,0,268.1092987060547,6,0.0806
0.0806,35,1,0.00022039995900168975,10,255.31778287887573,6,0.0801
0.0259,1,1,0.00018714612754999526,0,391.90312576293945,7,0.0259
0.0398,3,1,0.00018680711433899822,0,362.2574076652527,7,0.0398
0.0714,10,1,0.00018298278474906604,0,325.39801836013794,7,0.0714
0.0804,34,1,0.00014273537395645254,0,275.32418870925903,7,0.0804
0.0804,44,1,0.00011758092161017278,10,266.10416316986084,7,0.0803
0.0269,1,1,0.0001760398980567895,0,392.5308074951172,8,0.0269
0.0359,3,1,0.00017572100366188475,0,363.17424631118774,8,0.0359
0.0705,10,1,0.00017212362978105266,0,327.7582712173462,8,0.0705
0.0804,43,1,0.00011307192628177087,0,269.60770559310913,8,0.0804
0.0804,53,1,8.80615193553173e-05,10,263.38744831085205,8,0.0803
0.0546,1,1,0.0012236592197313726,0,366.7152729034424,9,0.0546
0.077,3,1,0.001221442574125727,0,310.93404150009155,9,0.077
0.0802,6,1,0.0012139833525626924,0,276.66418838500977,9,0.0802
0.0802,10,1,0.0011964371079519114,4,255.31299352645874,9,0.0797
0.0802,16,1,0.001154456350890248,10,235.10787105560303,9,0.0792
0.0296,1,1,0.0005018039055958522,0,378.53003311157227,10,0.0296
0.0642,3,1,0.0005008948931810403,0,343.24871015548706,10,0.0642
0.0801,10,1,0.0004906405344634062,0,286.45408487319946,10,0.0801
0.0806,13,1,0.00048296962855986543,0,274.47525215148926,10,0.0806
0.0806,23,1,0.0004443823007191191,10,250.6632800102234,10,0.0803
0.0579,1,1,0.0019543626283811057,0,360.0361123085022,11,0.0579
0.0785,3,1,0.0019508223213559274,0,295.71904706954956,11,0.0785
0.08,5,1,0.001943755962872432,0,271.65223598480225,11,0.08
0.08,10,1,0.0019108849369867062,5,244.02749395370483,11,0.079
0.08,15,1,0.001857018216728398,10,224.67448091506958,11,0.078
0.0292,1,1,0.00048113553658238583,0,379.1494526863098,12,0.0292
0.0633,3,1,0.00048026396469726617,0,344.60713386535645,12,0.0633
0.08,10,1,0.00047043196393183035,0,288.1642646789551,12,0.08
0.0806,13,1,0.00046307700836688585,0,276.13283348083496,12,0.0806
0.0806,23,1,0.000426079020748809,10,252.200345993042,12,0.0803
0.0273,1,1,0.00017193418384500836,0,392.7643337249756,13,0.0273
0.0345,3,1,0.00017162272690754177,0,363.5358576774597,13,0.0345
0.0702,10,1,0.0001681092532631371,0,328.6729874610901,13,0.0702
0.0804,43,1,0.00011043479106519186,0,270.63133811950684,13,0.0804
0.0804,53,1,8.600769271988303e-05,10,264.39176750183105,13,0.0803
0.0232,1,1,0.0002884569235736462,0,386.6081886291504,14,0.0232
0.0615,3,1,0.0002879343869378352,0,356.1169309616089,14,0.0615
0.0762,10,1,0.0002820397720575524,0,308.72514247894287,14,0.0762
0.0806,25,1,0.0002497632729478507,0,268.87964725494385,14,0.0806
0.0806,35,1,0.000216342661698213,10,256.06478452682495,14,0.0802
0.019,1,1,0.007864129367125633,0,366.7998766899109,15,0.019
0.0289,3,1,0.007849883580780235,0,325.4864068031311,15,0.0289
0.0805,10,1,0.00768918016131077,0,274.9985451698303,15,0.0805
0.082,13,1,0.007568963886156709,0,267.66855096817017,15,0.082
0.082,23,1,0.006964234160685585,10,248.59512758255005,15,0.0812
0.0512,1,1,0.0014622072081542634,0,364.3403654098511,16,0.0512
0.0779,3,1,0.0014595584354157145,0,304.89260959625244,16,0.0779
0.0802,6,1,0.0014506450652871559,0,271.2442979812622,16,0.0802
0.0802,10,1,0.0014296782430443143,4,250.59757661819458,16,0.0794
0.0802,16,1,0.0013795134875392537,10,229.4877495765686,16,0.079
0.0629,1,1,0.0043277742895353995,0,352.5807514190674,17,0.0629
0.079,3,1,0.004319934572638378,0,282.9988217353821,17,0.079
0.0799,4,1,0.004313083454774746,0,271.56374311447144,17,0.0799
0.0799,10,1,0.004231496540333401,6,239.02935314178467,17,0.0777
0.0799,14,1,0.0041396617401310365,10,223.9367127418518,17,0.0774
0.0672,1,1,0.002558512035100697,0,355.5344409942627,18,0.0672
0.0787,3,1,0.0025538773178786565,0,288.55273151397705,18,0.0787
0.0799,5,1,0.0025446265458050343,0,266.95205307006836,18,0.0799
0.0799,10,1,0.0025015941453111704,5,239.68820476531982,18,0.0783
0.0799,15,1,0.00243107568058467,10,219.674391746521,18,0.0774
0.0268,1,1,0.0001767488841593125,0,392.4905776977539,19,0.0268
0.0362,3,1,0.00017642870544365628,0,363.11307430267334,19,0.0362
0.0706,10,1,0.00017281684343760235,0,327.6032247543335,19,0.0706
