early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,15,0.0801,ok,0.1845,0.16,1
True,44,0.0806,ok,0.1883,0.1617,2
True,23,0.0805,ok,0.1884,0.1618,3
True,21,0.0804,ok,0.1869,0.1619,4
True,15,0.0799,ok,0.1878,0.1606,5
True,35,0.0807,ok,0.189,0.1618,6
True,27,0.0805,ok,0.1876,0.1616,7
True,23,0.0805,ok,0.1881,0.1617,8
True,15,0.0799,ok,0.1844,0.1601,9
True,14,0.0796,ok,0.1864,0.1604,10
True,28,0.0806,ok,0.1885,0.1619,11
True,33,0.0806,ok,0.188,0.1617,12
True,19,0.0804,ok,0.1876,0.1618,13
True,16,0.0803,ok,0.1883,0.1616,14
True,23,0.0805,ok,0.1885,0.1618,15
True,18,0.0803,ok,0.1876,0.1615,16
True,48,0.0807,ok,0.1881,0.1616,17
True,15,0.0799,ok,0.1864,0.1604,18
