best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0452,1,1,0.0009761959365507477,0,369.2903633117676,1,0.0452
0.0729,3,1,0.0009744275680392275,0,319.633517742157,1,0.0729
0.0797,10,1,0.0009544790120386486,0,263.56023645401,1,0.0797
0.0797,20,1,0.0008908552926022015,10,235.19226169586182,1,0.0783
0.0328,1,1,0.0005347611665767588,0,377.2569875717163,2,0.0328
0.0558,3,1,0.0005337924524357233,0,340.17980098724365,2,0.0558
0.079,10,1,0.000522864612358777,0,285.49544191360474,2,0.079
0.08,17,1,0.0005006993729623615,0,262.2776885032654,2,0.08
0.08,27,1,0.00045180834198867094,10,244.10030364990234,2,0.0796
0.07,1,1,0.006295441663112303,0,346.3195080757141,3,0.07
0.0786,3,1,0.006284037537786299,0,281.2628107070923,3,0.0786
0.0795,5,1,0.006261275207521964,0,266.1437044143677,3,0.0795
0.0795,10,1,0.006155390238752551,5,246.33432960510254,3,0.0781
0.0795,15,1,0.005981873415392971,10,230.66662979125977,3,0.0772
0.0249,1,1,0.00024214293258283494,0,388.47990322113037,4,0.0249
0.0436,3,1,0.00024170429324698643,0,358.58841466903687,4,0.0436
0.0725,10,1,0.0002367561043948174,0,316.53509044647217,4,0.0725
0.0801,39,1,0.00016885560626527053,0,261.24291610717773,4,0.0801
0.0801,49,1,0.00013493800788114485,10,254.11108589172363,4,0.0798
0.0681,1,1,0.004355292328922929,0,348.5375437736511,5,0.0681
0.078,3,1,0.004347402763391499,0,282.84488010406494,5,0.078
0.0791,7,1,0.004308113650292939,0,254.53924751281738,5,0.0791
0.0791,10,1,0.004258402400176102,3,242.03179216384888,5,0.0776
0.0791,17,1,0.00407788050901127,10,218.95485496520996,5,0.077
0.0268,1,1,0.00018663200364777338,0,391.5037956237793,6,0.0268
0.0356,3,1,0.00018629392176673342,0,362.1301598548889,6,0.0356
0.0659,10,1,0.00018248009829454945,0,325.8896770477295,6,0.0659
0.0801,50,1,0.00010133806726697085,0,264.26727199554443,6,0.0801
0.0801,60,1,7.519603091749212e-05,10,259.5601625442505,6,0.0799
0.0442,1,1,0.0016258988366461965,0,362.3575620651245,7,0.0442
0.0775,3,1,0.0016229535382711578,0,303.2673149108887,7,0.0775
0.0798,7,1,0.0016082862970263876,0,264.1051001548767,7,0.0798
0.0798,10,1,0.0015897283088067585,3,250.38018321990967,7,0.0789
0.0798,17,1,0.0015223366595976092,10,227.7407422065735,7,0.0779
0.0365,1,1,0.0006366656221446916,0,374.8260221481323,8,0.0365
0.0615,3,1,0.0006355123091709189,0,334.17713594436646,8,0.0615
0.0794,10,1,0.0006225020523756771,0,278.60056924819946,8,0.0794
0.0801,17,1,0.0005961129897205838,0,256.1260824203491,8,0.0801
0.0801,27,1,0.0005379052502704303,10,237.65245723724365,8,0.0792
0.0708,1,1,0.005608740471902977,0,346.36151361465454,9,0.0708
0.0789,3,1,0.005598580298449636,0,281.082151889801,9,0.0789
0.0792,5,1,0.005578300862975481,0,265.3421530723572,9,0.0792
0.0792,10,1,0.005483965732656825,5,244.44419288635254,9,0.0777
0.0792,15,1,0.005329375970442782,10,228.2933235168457,9,0.0774
0.0664,1,1,0.004045719797855003,0,349.0411071777344,10,0.0664
0.0783,3,1,0.004038391019656807,0,284.0957741737366,10,0.0783
0.0791,5,1,0.004023762973663573,0,265.2688970565796,10,0.0791
0.0791,10,1,0.003955716768588599,5,241.9788327217102,10,0.0781
0.0791,15,1,0.003844207444049848,10,224.67927885055542,10,0.0773
0.0261,1,1,0.007158357323570183,0,359.8540005683899,11,0.0261
0.0778,3,1,0.007145390035742763,0,291.9384140968323,11,0.0778
0.0792,5,1,0.00711950767477928,0,273.8422074317932,11,0.0792
0.0792,10,1,0.006999109062226366,5,254.20967626571655,11,0.0785
0.0792,15,1,0.006801808302450185,10,239.1406750679016,11,0.0781
0.0689,1,1,0.0041370628473793285,0,347.6872944831848,12,0.0689
0.0785,3,1,0.004129568602222629,0,282.9203853607178,12,0.0785
0.0789,5,1,0.004114610288589427,0,264.59440326690674,12,0.0789
0.0789,10,1,0.004045027756682476,5,241.73555612564087,12,0.0779
0.0789,15,1,0.003931000808021766,10,224.3384304046631,12,0.0773
0.0257,1,1,0.00033764896979703284,0,383.9555654525757,13,0.0257
0.0467,3,1,0.0003370373222949483,0,353.1642918586731,13,0.0467
0.0766,10,1,0.0003301374683513505,0,304.01549196243286,13,0.0766
0.0801,25,1,0.00029235669145741944,0,264.159873008728,13,0.0801
0.0801,35,1,0.0002532366910822291,10,251.67915296554565,13,0.0798
0.057,1,1,0.002594363775170748,0,354.87202882766724,14,0.057
0.0781,3,1,0.0025896641129045323,0,290.8233652114868,14,0.0781
0.0792,6,1,0.0025738493060513973,0,261.7378544807434,14,0.0792
0.0792,10,1,0.002536648310321158,4,242.90875577926636,14,0.0779
0.0792,16,1,0.002447642030125816,10,222.1839518547058,14,0.0766
0.031,1,1,0.0004847705024040645,0,378.6668791770935,15,0.031
0.0531,3,1,0.00048389234581718693,0,343.4412627220154,15,0.0531
0.0787,10,1,0.0004739860645548355,0,289.4970860481262,15,0.0787
0.08,19,1,0.0004464072621227693,0,261.3340268135071,15,0.08
0.08,29,1,0.0003988259032272015,10,245.08050298690796,15,0.0792
0.0396,1,1,0.0007249694365199962,0,373.09084272384644,16,0.0396
0.0655,3,1,0.0007236561621297274,0,329.68780851364136,16,0.0655
0.0794,10,1,0.000708841417608021,0,273.689640045166,16,0.0794
0.08,13,1,0.0006977590560152302,0,262.4575753211975,16,0.08
0.08,23,1,0.00064201091812798,10,239.3971128463745,16,0.0793
0.0253,1,1,0.00021295934369341382,0,390.03826808929443,17,0.0253
0.0393,3,1,0.00021257357011710486,0,360.3167986869812,17,0.0393
0.0699,10,1,0.00020822174766584048,0,321.2055525779724,17,0.0699
0.0801,43,1,0.00013678560074687163,0,263.16422271728516,17,0.0801
0.0801,53,1,0.00010652996038718134,10,257.1486759185791,17,0.0799
0.0307,1,1,0.0004658873257448552,0,379.24450731277466,18,0.0307
0.0519,3,1,0.00046504337583078923,0,344.7095146179199,18,0.0519
0.0785,10,1,0.00045552297212943856,0,291.12367582321167,18,0.0785
0.08,17,1,0.000436212474747972,0,267.40567111968994,18,0.08
0.08,27,1,0.00039361829795115684,10,249.14042901992798,18,0.0799
0.0549,1,1,0.005264312998704467,0,354.10719633102417,19,0.0549
0.0782,3,1,0.005254776751939715,0,284.8373107910156,19,0.0782
0.0792,5,1,0.0052357426575101755,0,267.10411834716797,19,0.0792
0.0792,10,1,0.00514720055875222,5,245.5620436668396,19,0.078
0.0792,15,1,0.005002104008329393,10,228.857675075531,19,0.0768
0.0634,1,1,0.003239423318387696,0,351.34967708587646,20,0.0634
0.0783,3,1,0.0032335551376493476,0,286.7378354072571,20,0.0783
0.0792,6,1,0.0032138081559091054,0,259.7378559112549,20,0.0792
0.0792,10,1,0.003167357548562089,4,241.34360122680664,20,0.0781
0.0792,16,1,0.0030562208520405064,10,220.52347135543823,20,0.0772
