early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,16,0.0802,ok,0.189,0.1615,1
True,18,0.0803,ok,0.1873,0.1614,2
True,17,0.0803,ok,0.1887,0.1615,3
True,28,0.0806,ok,0.1879,0.1612,4
True,15,0.0799,ok,0.184,0.1599,5
True,43,0.0804,ok,0.1878,0.161,6
True,15,0.0801,ok,0.1866,0.1607,7
True,18,0.0803,ok,0.1875,0.1614,8
True,18,0.0804,ok,0.1872,0.1614,9
True,43,0.0804,ok,0.1877,0.161,10
True,16,0.0803,ok,0.1892,0.1614,11
True,14,0.0797,ok,0.1852,0.1606,12
True,16,0.0802,ok,0.1885,0.1613,13
True,35,0.0807,ok,0.1877,0.1612,14
True,23,0.0805,ok,0.1881,0.1613,15
True,28,0.0806,ok,0.1878,0.1613,16
True,17,0.0802,ok,0.1879,0.1612,17
True,29,0.0806,ok,0.1881,0.1613,18
True,15,0.0807,ok,0.1867,0.1608,19
True,15,0.08,ok,0.1872,0.1607,20
