early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,17,0.0799,ok,0.1879,0.1615,1
True,14,0.0797,ok,0.184,0.1599,2
True,56,0.0801,ok,0.1884,0.1614,3
True,17,0.0802,ok,0.1888,0.1619,4
True,15,0.0796,ok,0.1861,0.1603,5
True,23,0.0801,ok,0.1886,0.1614,6
True,14,0.0795,ok,0.1845,0.1602,7
True,31,0.0802,ok,0.1886,0.1615,8
True,17,0.0801,ok,0.1887,0.1618,9
True,63,0.0801,ok,0.1879,0.1614,10
True,17,0.0801,ok,0.1885,0.1619,11
True,15,0.0798,ok,0.1856,0.1605,12
True,14,0.0796,ok,0.1855,0.1606,13
True,17,0.0799,ok,0.1874,0.1609,14
True,29,0.0801,ok,0.1889,0.1615,15
True,17,0.08,ok,0.1881,0.1616,16
True,15,0.0796,ok,0.1845,0.1601,17
True,17,0.0802,ok,0.1887,0.1619,18
True,31,0.0802,ok,0.1884,0.1615,19
True,53,0.0801,ok,0.1878,0.1614,20
