best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0688,1,1,0.0026006404591303687,0,352.6748991012573,1,0.0688
0.0788,3,1,0.002595929426718206,0,287.2664122581482,1,0.0788
0.0798,5,1,0.0025865263315586764,0,266.19183826446533,1,0.0798
0.0798,10,1,0.002542785360149316,5,239.69405126571655,1,0.0785
0.0798,15,1,0.002471105739351176,10,219.41205406188965,1,0.0775
0.0709,1,1,0.003216137069528359,0,349.0390591621399,2,0.0709
0.0787,3,1,0.00321031107158108,0,283.17569732666016,2,0.0787
0.0798,5,1,0.003198682534924006,0,263.80207443237305,2,0.0798
0.0798,10,1,0.003144589336799316,5,237.3754963874817,2,0.078
0.0798,15,1,0.003055945216552213,10,217.1347851753235,2,0.0774
0.0582,1,1,0.000729922230037088,0,372.59503173828125,3,0.0582
0.0719,3,1,0.0007285999837142678,0,327.38700819015503,3,0.0719
0.0803,10,1,0.0007136840288974396,0,271.32178258895874,3,0.0803
0.0804,11,1,0.0007102742833605426,0,267.30664587020874,3,0.0804
0.0804,21,1,0.0006597976401157556,10,240.9133005142212,3,0.0798
0.0224,1,1,0.007269666820743164,0,356.86075162887573,4,0.0224
0.0782,3,1,0.007256497896950601,0,292.1959819793701,4,0.0782
0.0814,6,1,0.007212183226141134,0,270.2473931312561,4,0.0814
0.0814,10,1,0.007107942314767427,4,254.4981927871704,4,0.0798
0.0814,16,1,0.006858537814070042,10,236.51756238937378,4,0.0786
0.0619,1,1,0.0019718025140311995,0,357.9458169937134,5,0.0619
0.0784,3,1,0.0019682306148394555,0,294.5080933570862,5,0.0784
0.0801,7,1,0.0019504429748531966,0,258.17772245407104,5,0.0801
0.0801,10,1,0.0019279368465492319,3,244.183265209198,5,0.0788
0.0801,17,1,0.0018462078851032588,10,217.82565546035767,5,0.0782
0.0276,1,1,0.00026996466664408025,0,386.8209524154663,6,0.0276
0.0666,3,1,0.0002694756285341663,0,355.9097409248352,6,0.0666
0.0761,10,1,0.0002639589027733978,0,310.4541459083557,6,0.0761
0.0807,25,1,0.00023375156985644695,0,271.197687625885,6,0.0807
0.0807,35,1,0.00020247347098721898,10,258.62349557876587,6,0.0803
0.0297,1,1,0.00017599081796417084,0,391.89259338378906,7,0.0297
0.0541,3,1,0.0001756720124773296,0,361.9741425514221,7,0.0541
0.072,10,1,0.00017207564154778982,0,326.56893491744995,7,0.072
0.0806,38,1,0.000125087203253797,0,273.3658695220947,7,0.0806
0.0806,48,1,0.00010058602937023345,10,265.8260865211487,7,0.0805
0.0573,1,1,0.00563190038935791,0,352.63371658325195,8,0.0573
0.0787,3,1,0.0056216982619614895,0,282.4709448814392,8,0.0787
0.0796,4,1,0.005612782636796604,0,272.54063844680786,8,0.0796
0.0796,10,1,0.005506610423444403,6,242.32991743087769,8,0.0784
0.0796,14,1,0.005387102239233663,10,228.07230138778687,8,0.0778
0.0323,1,1,0.0004414505485044389,0,379.7496781349182,9,0.0323
0.0663,3,1,0.00044065086555131487,1,345.5229272842407,9,0.0631
0.0792,10,1,0.0004316298271935412,0,291.00374126434326,9,0.0792
0.0805,14,1,0.000422262304719193,0,275.7880153656006,9,0.0805
0.0805,24,1,0.0003866571557897887,10,253.67305660247803,9,0.0802
0.02,1,1,0.007793016744097793,0,360.7931957244873,10,0.02
0.0682,3,1,0.0077788997775093995,0,310.81068086624146,10,0.0682
0.0816,6,1,0.007731394853261433,0,276.8934631347656,10,0.0816
0.0816,10,1,0.007619649543911441,4,263.0017719268799,10,0.0802
0.0816,16,1,0.007352290186472639,10,246.83229875564575,10,0.0799
0.028,1,1,0.0003082679347567755,0,384.99559593200684,11,0.028
0.0663,3,1,0.00030770951068582374,0,354.00199794769287,11,0.0663
0.0769,10,1,0.0003014100579536123,0,305.3598918914795,11,0.0769
0.0806,23,1,0.0002729927219727074,0,269.1313099861145,11,0.0806
0.0806,33,1,0.00023896178764595415,10,255.55357789993286,11,0.0801
0.0308,1,1,0.0004113483411993997,0,380.7962646484375,12,0.0308
0.0659,3,1,0.00041060318807326264,1,347.70143365859985,12,0.0624
0.0788,10,1,0.0004021972880762236,0,293.86834192276,12,0.0788
0.0805,17,1,0.00038514736929403325,0,270.17716932296753,12,0.0805
0.0805,27,1,0.0003475394692677524,10,251.84128761291504,12,0.0801
0.0684,1,1,0.004973778370177467,0,346.8007302284241,13,0.0684
0.0783,3,1,0.004964768423788856,0,280.15320014953613,13,0.0783
0.0798,5,1,0.004946784810885736,0,262.90020990371704,13,0.0798
0.0798,10,1,0.004863129303365417,5,239.2305727005005,13,0.0785
0.0798,15,1,0.0047260405542241665,10,221.05059623718262,13,0.078
0.0368,1,1,0.0005166818824023769,0,377.4378237724304,14,0.0368
0.0667,3,1,0.0005157459186915038,0,340.0512738227844,14,0.0667
0.0799,10,1,0.0005051875286391881,0,284.6247658729553,14,0.0799
0.0805,13,1,0.0004972891881564318,0,272.84854650497437,14,0.0805
0.0805,23,1,0.0004575577851854636,10,249.64814710617065,14,0.08
0.0282,1,1,0.00031943606892647036,0,384.4914741516113,15,0.0282
0.0656,3,1,0.00031885741389976605,0,353.4244632720947,15,0.0656
0.0772,10,1,0.0003123297404368954,0,303.9730501174927,15,0.0772
0.0806,25,1,0.00027658687156559405,0,264.386878490448,15,0.0806
0.0806,35,1,0.00023957701738548315,10,252.07315826416016,15,0.08
0.0275,1,1,0.0002086685713917425,0,390.04504585266113,16,0.0275
0.0624,3,1,0.0002082905705036248,0,359.404953956604,16,0.0624
0.0736,10,1,0.00020402642994934522,0,320.24804639816284,16,0.0736
0.0807,38,1,0.00014831323761261384,0,266.1846389770508,16,0.0807
0.0807,48,1,0.00011926271662040657,10,258.8410110473633,16,0.0803
0.07,1,1,0.0036862203385582644,0,349.4734902381897,17,0.07
0.0789,3,1,0.0036795427897904787,0,282.5219922065735,17,0.0789
0.0794,4,1,0.0036737072890639633,0,271.3019423484802,17,0.0794
0.0794,10,1,0.00360421490724056,6,237.05495977401733,17,0.078
0.0794,14,1,0.0035259937973476665,10,220.57072830200195,17,0.0774
0.0625,1,1,0.0008374835117417642,0,370.78266763687134,18,0.0625
0.0731,3,1,0.0008359664193060853,0,322.5047302246094,18,0.0731
0.0803,10,1,0.000818852450575,1,266.5639634132385,18,0.0803
0.0804,13,1,0.0008060501245215396,0,256.05764293670654,18,0.0804
0.0804,23,1,0.0007416499664748897,10,231.84603595733643,18,0.0791
0.0277,1,1,0.00028422785676691687,0,386.12397480010986,19,0.0277
0.0665,3,1,0.0002837129810404521,0,355.2023024559021,19,0.0665
0.0764,10,1,0.00027790478710586837,0,308.48867893218994,19,0.0764
0.0807,25,1,0.0002461014937328541,0,269.07714080810547,19,0.0807
0.0807,35,1,0.00021317086204739337,10,256.604971408844,19,0.0802
0.0717,1,1,0.0038965580953180365,0,346.16537857055664,20,0.0717
0.079,3,1,0.003889499521950669,0,280.56672620773315,20,0.079
0.08,5,1,0.0038754107975996046,0,262.3469657897949,20,0.08
0.08,10,1,0.003809873389057091,5,236.67564964294434,20,0.0779
0.08,15,1,0.003702475303439475,10,216.71666479110718,20,0.0774
