early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,27,0.0805,ok,0.1879,0.1616,1
True,19,0.0804,ok,0.1877,0.1618,2
True,52,0.0806,ok,0.1872,0.1614,3
True,14,0.0798,ok,0.1857,0.1603,4
True,16,0.0812,ok,0.1851,0.1602,5
True,48,0.0807,ok,0.1887,0.1617,6
True,28,0.0805,ok,0.1875,0.1617,7
True,35,0.0807,ok,0.1891,0.1618,8
True,17,0.0803,ok,0.189,0.1619,9
True,15,0.0802,ok,0.1865,0.1608,10
True,53,0.0806,ok,0.1874,0.1613,11
True,25,0.0805,ok,0.1881,0.1616,12
True,15,0.08,ok,0.1852,0.1602,13
True,16,0.0802,ok,0.1885,0.1616,14
True,23,0.0805,ok,0.1876,0.1617,15
True,18,0.0803,ok,0.1872,0.1615,16
True,25,0.0805,ok,0.1877,0.1615,17
True,27,0.0805,ok,0.1876,0.1617,18
True,35,0.0806,ok,0.1886,0.1616,19
True,16,0.08,ok,0.1872,0.1607,20
