best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0237,1,1,0.00017638755376037278,0,392.04636001586914,1,0.0237
0.0351,3,1,0.00017606802959087455,0,362.9568700790405,1,0.0351
0.0682,10,1,0.00017246355136857558,0,327.77094173431396,1,0.0682
0.0801,38,1,0.00012536918711949884,0,273.9741277694702,1,0.0801
0.0801,48,1,0.00010081278028207429,10,266.166748046875,1,0.08
0.0645,1,1,0.0040199532978865025,0,350.8008942604065,2,0.0645
0.0791,3,1,0.004012671195427767,0,282.0922040939331,2,0.0791
0.0797,5,1,0.003998136312966723,0,263.1626296043396,2,0.0797
0.0797,10,1,0.003930523482576237,5,238.42950868606567,2,0.078
0.0797,15,1,0.0038197243419233647,10,219.65779447555542,2,0.0779
0.0227,1,1,0.0002501066394950877,0,388.03412437438965,3,0.0227
0.0528,3,1,0.0002496535739892344,0,358.10372400283813,3,0.0528
0.0741,10,1,0.00024454264685127354,0,314.5383858680725,3,0.0741
0.08,24,1,0.000219063091435575,0,276.9116744995117,3,0.08
0.08,34,1,0.00019075502755346165,10,263.26704502105713,3,0.08
0.0491,1,1,0.001503820794188333,0,363.83595418930054,4,0.0491
0.0777,3,1,0.001501096638883192,0,304.1614384651184,4,0.0777
0.0801,7,1,0.001487530664248042,0,264.14959716796875,4,0.0801
0.0801,10,1,0.0014703660732206278,3,250.14608430862427,4,0.0789
0.0801,17,1,0.0014080344193986639,10,226.81637144088745,4,0.0784
0.0612,1,1,0.003905725287718818,0,352.7626647949219,5,0.0612
0.0789,3,1,0.0038986501080803385,0,282.99227809906006,5,0.0789
0.08,5,1,0.003884528238054643,0,263.4593286514282,5,0.08
0.08,10,1,0.003818836643684827,5,238.66701698303223,5,0.0782
0.08,15,1,0.003711185889201446,10,220.04866552352905,5,0.0772
0.061,1,1,0.0027425292007462365,0,354.5861964225769,6,0.061
0.0786,3,1,0.002737561138394266,0,286.9963889122009,6,0.0786
0.0797,6,1,0.0027208431399339188,0,259.2297568321228,6,0.0797
0.0797,10,1,0.0026815175765478425,4,239.54804372787476,6,0.0781
0.0797,16,1,0.0025874281027347644,10,216.6094789505005,6,0.0774
0.0474,1,1,0.000880810389698267,0,370.61634635925293,7,0.0474
0.0731,3,1,0.0008792148110859796,0,322.7066721916199,7,0.0731
0.0799,10,1,0.0008612154579572708,1,265.12123441696167,7,0.0797
0.0801,13,1,0.000847750808633321,0,254.3242588043213,7,0.0801
0.0801,23,1,0.0007800189339033617,10,229.926504611969,7,0.0788
0.023,1,1,0.00019310729602834879,0,391.10010528564453,8,0.023
0.039,3,1,0.00019275748422432925,0,361.63650608062744,8,0.039
0.0703,10,1,0.00018881133820516723,0,324.33425283432007,8,0.0703
0.08,34,1,0.00014728192601774428,0,274.16884660720825,8,0.08
0.08,44,1,0.00012132622851411107,10,265.1344780921936,8,0.0799
0.0611,1,1,0.003907235064553559,0,352.74107551574707,9,0.0611
0.0789,3,1,0.00390015714997047,0,282.9761600494385,9,0.0789
0.0801,5,1,0.003886029821068214,0,263.4540729522705,9,0.0801
0.0801,10,1,0.0038203128332976563,5,238.6580867767334,9,0.0783
0.0801,15,1,0.003712620465899032,10,220.06171464920044,9,0.0772
0.0511,1,1,0.0016888780595413356,0,362.1510238647461,10,0.0511
0.0781,3,1,0.0016858186749767543,0,300.3742871284485,10,0.0781
0.0799,7,1,0.0016705832978585885,0,261.4070568084717,10,0.0799
0.0799,10,1,0.0016513064656062148,3,247.45676136016846,10,0.0786
0.0799,17,1,0.0015813043995610656,10,223.5421004295349,10,0.0782
0.0297,1,1,0.0005178699024377235,0,377.7016396522522,11,0.0297
0.0607,3,1,0.0005169317866412465,0,342.09626150131226,11,0.0607
0.0795,10,1,0.0005063491194091992,0,285.4400429725647,11,0.0795
0.0801,12,1,0.0005012902315179346,0,276.8853440284729,11,0.0801
0.0801,22,1,0.0004634535569506704,10,251.31042909622192,11,0.0797
0.0493,1,1,0.0012403432306110108,0,366.4102382659912,12,0.0493
0.0769,3,1,0.0012380963620978722,0,310.5875940322876,12,0.0769
0.0803,7,1,0.001226907219834129,0,269.4565758705139,12,0.0803
0.0803,10,1,0.0012127499582978228,3,255.048837184906,12,0.0794
0.0803,17,1,0.0011613391484661963,10,232.66774940490723,12,0.0789
0.032,1,1,0.0005682799939315195,0,376.384530544281,13,0.032
0.063,3,1,0.0005672505607927726,0,338.81240797042847,13,0.063
0.0797,10,1,0.000555637763752245,0,281.60875701904297,13,0.0797
0.0801,13,1,0.0005469506604600991,0,269.6379933357239,13,0.0801
0.0801,23,1,0.0005032515058966553,10,246.08283042907715,13,0.0798
0.0651,1,1,0.005356125291149221,0,349.5608558654785,14,0.0651
0.0792,3,1,0.005346422727397428,0,281.5795478820801,14,0.0792
0.08,4,1,0.005337943670217673,0,271.14422035217285,14,0.08
0.08,10,1,0.005236970350762736,6,241.9261016845703,14,0.0782
0.08,14,1,0.005123314077800238,10,227.98860883712769,14,0.0774
0.0491,1,1,0.0009915073673887461,0,369.168833732605,15,0.0491
0.0748,3,1,0.0009897112623838166,0,318.4161672592163,15,0.0748
0.08,7,1,0.0009807668696419807,0,276.7726159095764,15,0.08
0.08,10,1,0.0009694498174189586,3,261.48869943618774,15,0.0795
0.08,17,1,0.0009283529698259188,10,239.8064432144165,15,0.0789
0.0234,1,1,0.0002822787668374573,0,386.4355478286743,16,0.0234
0.0574,3,1,0.00028176742186657996,0,356.45138359069824,16,0.0574
0.0756,10,1,0.000275999057568806,0,309.8701333999634,16,0.0756
0.0801,24,1,0.00024724197420296714,0,271.72965145111084,16,0.0801
0.0801,34,1,0.00021529254103185827,10,258.33262157440186,16,0.08
0.0528,1,1,0.001823419737601161,0,361.01647186279297,17,0.0528
0.0783,3,1,0.0018201166322239235,0,297.9782671928406,17,0.0783
0.0798,7,1,0.0018036675539792777,0,259.82327938079834,17,0.0798
0.0798,10,1,0.0017828550647596886,3,245.8826184272766,17,0.0784
0.0798,17,1,0.001707276399871206,10,221.5244255065918,17,0.078
0.0334,1,1,0.0005899688387959569,0,375.8623743057251,18,0.0334
0.064,3,1,0.0005889001165464142,0,337.4470925331116,18,0.064
0.0797,10,1,0.0005768441081379979,0,280.0809245109558,18,0.0797
0.0801,12,1,0.0005710809112409408,0,271.6765012741089,18,0.0801
0.0801,22,1,0.0005279765353093162,10,246.55298948287964,18,0.0795
0.0264,1,1,0.0003695781592009947,0,382.61907052993774,19,0.0264
0.0568,3,1,0.00036890867231336653,0,351.7636775970459,19,0.0568
0.0779,10,1,0.00036135634564474526,0,299.30405950546265,19,0.0779
0.0801,21,1,0.00033407229872523713,0,266.18929290771484,19,0.0801
0.0801,31,1,0.00029545746609749583,10,250.9850468635559,19,0.08
0.0282,1,1,0.0004800333679765869,0,378.79554176330566,20,0.0282
0.0594,3,1,0.0004791637926581235,1,344.62539052963257,20,0.0593
0.0792,10,1,0.00046935431469915677,0,288.60049200057983,20,0.0792
0.0801,19,1,0.00044204500988260484,0,259.9820647239685,20,0.0801
0.0801,29,1,0.00039492861181326835,10,243.21764421463013,20,0.0793
