best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0552,1,1,0.0006004765272796791,0,374.7133951187134,1,0.0552
0.0697,3,1,0.0005993887704646893,0,336.80894899368286,1,0.0697
0.0802,10,1,0.0005871180375278195,0,277.9758973121643,1,0.0802
0.0807,13,1,0.0005779387567635976,0,266.46034145355225,1,0.0807
0.0807,23,1,0.0005317637781306585,10,243.077139377594,1,0.0798
0.0579,1,1,0.0015178528567229897,0,362.9550175666809,2,0.0579
0.0781,3,1,0.0015151032824864549,0,302.18231439590454,2,0.0781
0.0806,7,1,0.0015014107245475232,0,263.4617953300476,2,0.0806
0.0806,10,1,0.0014840859717404546,3,249.4149374961853,2,0.0795
0.0806,17,1,0.0014211727049578916,10,224.88486003875732,2,0.0783
0.0558,1,1,0.0006095690158400721,0,374.5005130767822,3,0.0558
0.07,3,1,0.0006084647880791795,0,336.2102737426758,3,0.07
0.0802,10,1,0.0005960082502127455,1,277.386435508728,3,0.0802
0.0806,13,1,0.0005866899756635052,0,265.9137969017029,3,0.0806
0.0806,23,1,0.0005398158098918141,10,242.50110816955566,3,0.0797
0.0692,1,1,0.00313263183272447,0,351.5981206893921,4,0.0692
0.0791,3,1,0.0031269571036216743,0,283.67960357666016,4,0.0791
0.0799,6,1,0.0031078611048836946,0,257.855459690094,4,0.0799
0.0799,10,1,0.0030629417976728445,4,237.2588129043579,4,0.0774
0.0799,16,1,0.002955468856013393,10,213.171058177948,4,0.0772
0.0262,1,1,0.00017198471858856758,0,391.6576328277588,5,0.0262
0.0595,3,1,0.00017167317010795282,0,361.943895816803,5,0.0595
0.0716,10,1,0.00016815866378647572,0,327.90335988998413,5,0.0716
0.0805,41,1,0.00011524094447919868,0,271.15280628204346,5,0.0805
0.0805,51,1,9.092968280105946e-05,10,264.41230726242065,5,0.0802
0.0277,1,1,0.00015644038532664195,0,392.5693893432617,6,0.0277
0.0567,3,1,0.0001561569952396895,0,363.5312170982361,6,0.0567
0.0702,10,1,0.00015296013724162467,0,331.8264670372009,6,0.0702
0.0805,42,1,0.0001026624691424581,0,274.40691566467285,6,0.0805
0.0805,52,1,8.048139326184729e-05,10,267.85772371292114,6,0.0805
0.0638,1,1,0.0009007281278216454,0,369.39294242858887,7,0.0638
0.0749,3,1,0.000899096468439505,0,320.58537435531616,7,0.0749
0.0804,7,1,0.0008909709956555024,0,279.04783058166504,7,0.0804
0.0804,10,1,0.000880690096494714,3,263.584707736969,7,0.0801
0.0804,17,1,0.0008433559446675427,10,241.59606885910034,7,0.0798
0.0625,1,1,0.0007179826998201388,0,372.26707649230957,8,0.0625
0.0721,3,1,0.0007166820818287709,0,329.56963777542114,8,0.0721
0.0804,10,1,0.0007020101112145352,1,271.22473430633545,8,0.0803
0.0805,13,1,0.0006910345534931367,0,260.21382236480713,8,0.0805
0.0805,23,1,0.0006358236762699984,10,236.27444648742676,8,0.0796
0.0703,1,1,0.0035335140186425256,0,349.441358089447,9,0.0703
0.0792,3,1,0.003527113095742087,0,281.95877981185913,9,0.0792
0.0798,4,1,0.003521519337982342,0,270.929979801178,9,0.0798
0.0798,10,1,0.0034549057655940203,6,236.78535270690918,9,0.0776
0.0798,14,1,0.0033799250636893643,10,220.3110270500183,9,0.0772
0.0579,1,1,0.0006420023303648944,0,373.77642583847046,10,0.0579
0.0706,3,1,0.0006408393500011866,0,334.1214175224304,10,0.0706
0.0803,10,1,0.0006277200376169964,1,275.3806915283203,10,0.0803
0.0806,13,1,0.0006179059660022384,0,264.0601272583008,10,0.0806
0.0806,23,1,0.0005685377683456315,10,240.51885890960693,10,0.0797
0.0594,1,1,0.0013823896855825269,0,364.18986892700195,11,0.0594
0.0778,3,1,0.0013798855014335208,0,305.2927269935608,11,0.0778
0.0808,7,1,0.0013674149574145924,0,265.78263330459595,11,0.0808
0.0808,10,1,0.0013516363794848021,3,251.68259000778198,11,0.0796
0.0808,17,1,0.00129433790638097,10,227.73887252807617,11,0.0784
0.0608,1,1,0.0006830647515672697,0,372.93095779418945,12,0.0608
0.0714,3,1,0.0006818273870661749,0,331.60026693344116,12,0.0714
0.0803,10,1,0.0006678689644396607,1,273.0460090637207,12,0.0803
0.0805,13,1,0.000657427185535855,0,261.9034695625305,12,0.0805
0.0805,23,1,0.0006049014016364919,10,238.16352081298828,12,0.0796
0.0637,1,1,0.001174817534866991,0,366.1988935470581,13,0.0637
0.0769,3,1,0.0011726893654517595,0,310.8418855667114,13,0.0769
0.0805,7,1,0.0011620913308052598,0,270.2896614074707,13,0.0805
0.0805,10,1,0.0011486819787097458,3,255.85168933868408,13,0.0797
0.0805,17,1,0.0010999871341043908,10,232.98207139968872,13,0.0791
0.0698,1,1,0.00342019671790319,0,350.25719022750854,14,0.0698
0.0792,3,1,0.0034140010680826067,0,282.509268283844,14,0.0792
0.0799,5,1,0.0034016347161365513,0,263.58742094039917,14,0.0799
0.0799,10,1,0.003344109376050818,5,236.8207082748413,14,0.0779
0.0799,15,1,0.003249840903477596,10,216.68457126617432,14,0.0776
0.0634,1,1,0.002101502409265391,0,357.92503452301025,15,0.0634
0.0789,3,1,0.0020976955600988606,0,292.2649850845337,15,0.0789
0.0801,7,1,0.0020787378967323366,0,256.86457443237305,15,0.0801
0.0801,10,1,0.002054751375507489,3,242.47075986862183,15,0.079
0.0801,17,1,0.0019676465015846267,10,215.94303226470947,15,0.0775
0.0261,1,1,0.00025715387659817803,0,386.98092555999756,16,0.0261
0.0663,3,1,0.0002566880450975898,0,356.45618200302124,16,0.0663
0.0758,10,1,0.0002514331077269116,0,311.882954120636,16,0.0758
0.0805,25,1,0.00022265922091480202,0,272.6931104660034,16,0.0805
0.0805,35,1,0.0001928653798287488,10,259.9380316734314,16,0.0802
0.064,1,1,0.0007963316116817863,0,370.92789602279663,17,0.064
0.0735,3,1,0.0007948890654734894,0,325.39817571640015,17,0.0735
0.0805,8,1,0.0007850239054777637,0,277.4224896430969,17,0.0805
0.0805,10,1,0.0007786160354844534,2,267.61463022232056,17,0.0802
0.0805,18,1,0.0007396125017559606,10,243.26623249053955,17,0.0795
0.0689,1,1,0.00310508021270814,0,351.2407603263855,18,0.0689
0.079,3,1,0.003099455393070702,0,283.61427640914917,18,0.079
0.0797,5,1,0.003088228402959261,0,264.12154388427734,18,0.0797
0.0797,10,1,0.0030360031042521675,5,236.96800756454468,18,0.0775
0.0797,15,1,0.0029504199659089484,10,216.3304009437561,18,0.0773
0.0489,1,1,0.00598121507941481,0,356.9656744003296,19,0.0489
0.0798,3,1,0.005970380172188665,0,283.70704889297485,19,0.0798
0.0806,4,1,0.005960911561596868,0,274.44273233413696,19,0.0806
0.0806,10,1,0.005848154090829628,6,244.70292615890503,19,0.0785
0.0806,14,1,0.005721233494921102,10,230.88391399383545,19,0.0778
0.0458,1,1,0.000483214191270866,0,377.88885736465454,20,0.0458
0.0673,3,1,0.00048233885392498196,0,344.71520471572876,20,0.0673
0.0798,10,1,0.00047246437586794264,0,286.7016248703003,20,0.0798
0.0804,13,1,0.00046507764461463965,0,274.76503324508667,20,0.0804
0.0804,23,1,0.00042791981421925953,10,251.26006364822388,20,0.0799
