early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,23,0.0807,ok,0.1893,0.1616,1
True,17,0.0806,ok,0.1875,0.1613,2
True,23,0.0806,ok,0.1894,0.1616,3
True,16,0.0799,ok,0.185,0.1598,4
True,51,0.0805,ok,0.187,0.1614,5
True,52,0.0805,ok,0.1871,0.1612,6
True,17,0.0804,ok,0.1879,0.1615,7
True,23,0.0805,ok,0.1886,0.1614,8
True,14,0.0798,ok,0.1855,0.1605,9
True,23,0.0806,ok,0.1888,0.1615,10
True,17,0.0808,ok,0.1881,0.1614,11
True,23,0.0805,ok,0.1885,0.1615,12
True,17,0.0805,ok,0.1885,0.1615,13
True,15,0.0799,ok,0.1845,0.1603,14
True,17,0.0801,ok,0.1862,0.1608,15
True,35,0.0805,ok,0.1881,0.1613,16
True,18,0.0805,ok,0.1869,0.1614,17
True,15,0.0797,ok,0.1847,0.1605,18
True,14,0.0806,ok,0.185,0.1603,19
True,23,0.0804,ok,0.1878,0.1613,20
