best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0603,1,1,0.0010905241316794129,0,367.34060049057007,1,0.0603
0.0757,3,1,0.0010885486588636493,0,313.4577317237854,1,0.0757
0.0803,7,1,0.0010787110354137312,0,273.08024501800537,1,0.0803
0.0803,10,1,0.0010662638071281918,3,258.4434485435486,1,0.0802
0.0803,17,1,0.0010210628277807644,10,236.42445182800293,1,0.0796
0.0365,1,1,0.0005133580903070034,0,377.5315566062927,2,0.0365
0.0665,3,1,0.0005124281476100069,0,340.2864246368408,2,0.0665
0.0799,10,1,0.0005019376792220481,0,284.88489627838135,2,0.0799
0.0805,13,1,0.0004940901484203687,0,273.09895610809326,2,0.0805
0.0805,23,1,0.0004546143358380532,10,249.87961721420288,2,0.08
0.0281,1,1,0.0003155663519718513,0,384.66479206085205,3,0.0281
0.0658,3,1,0.00031499470689607474,0,353.62668895721436,3,0.0658
0.077,10,1,0.00030854611106760643,0,304.4489212036133,3,0.077
0.0806,23,1,0.00027945597863029015,0,268.1869840621948,3,0.0806
0.0806,33,1,0.00024461934274028,10,254.65016317367554,3,0.0802
0.0728,1,1,0.00407200388300551,0,345.3560428619385,4,0.0728
0.0786,3,1,0.004064627491467825,0,280.12291193008423,4,0.0786
0.0801,5,1,0.0040499044105177275,0,262.15158128738403,4,0.0801
0.0801,10,1,0.003981416125333966,5,236.5175018310547,4,0.0777
0.0801,15,1,0.0038691823510736095,10,216.9112696647644,4,0.077
0.0308,1,1,0.0004090016653124574,0,380.88106393814087,5,0.0308
0.0658,3,1,0.0004082607631646228,1,347.8676567077637,5,0.0624
0.0788,10,1,0.0003999028174701915,0,294.09974336624146,5,0.0788
0.0805,18,1,0.00037987032093984066,0,267.9915289878845,5,0.0805
0.0805,28,1,0.0003410818809509182,10,250.67244052886963,5,0.08
0.0585,1,1,0.0017436870891687833,0,360.1140613555908,6,0.0585
0.0782,3,1,0.0017405284186324916,0,298.1546883583069,6,0.0782
0.0802,6,1,0.0017298991943149825,0,266.54455852508545,6,0.0802
0.0802,10,1,0.0017048961871885928,4,246.6687560081482,6,0.0792
0.0802,16,1,0.0016450745449359207,10,224.46422910690308,6,0.0781
0.0616,1,1,0.0007869045760668794,0,371.5961227416992,7,0.0616
0.0725,3,1,0.000785479106832901,0,324.70442628860474,7,0.0725
0.0804,9,1,0.0007727358199558073,0,273.1873426437378,7,0.0804
0.0804,10,1,0.0007693987182397592,1,268.6696639060974,7,0.0803
0.0804,19,1,0.0007246313783776725,10,242.50948905944824,7,0.0797
0.0274,1,1,0.00025733969286981364,0,387.4554042816162,8,0.0274
0.0661,3,1,0.0002568735247650342,0,356.5507297515869,8,0.0661
0.0755,10,1,0.0002516147902403608,0,312.2790570259094,8,0.0755
0.0807,25,1,0.0002228201117667036,0,273.2002811431885,8,0.0807
0.0807,35,1,0.0001930047420125177,10,260.52064180374146,8,0.0803
0.028,1,1,0.00019532833058214812,0,390.7906312942505,9,0.028
0.0602,3,1,0.00019497449539775905,0,360.36962127685547,9,0.0602
0.073,10,1,0.00019098296255560713,0,322.7239480018616,9,0.073
0.0807,38,1,0.0001388315303684095,0,268.9354281425476,9,0.0807
0.0807,48,1,0.00011163821740276542,10,261.5234212875366,9,0.0804
0.0625,1,1,0.0020056727999330365,0,357.6349229812622,10,0.0625
0.0785,3,1,0.0020020395450801778,0,294.0188322067261,10,0.0785
0.08,6,1,0.001989813299769055,0,263.7366256713867,10,0.08
0.08,10,1,0.00196105363777383,4,243.8611454963684,10,0.0788
0.08,16,1,0.001892243906108784,10,220.81882667541504,10,0.0777
0.0567,1,1,0.0014875414488126253,0,362.79478931427,11,0.0567
0.0777,3,1,0.0014848467833677393,0,303.2467260360718,11,0.0777
0.0802,6,1,0.0014757789799532176,0,270.51637506484985,11,0.0802
0.0802,10,1,0.001454448885995137,4,250.39237928390503,11,0.0797
0.0802,16,1,0.0014034149746129574,10,229.30998420715332,11,0.0785
0.063,1,1,0.0009943613263113935,0,368.56119203567505,12,0.063
0.0749,3,1,0.0009925600513903611,0,316.5777254104614,12,0.0749
0.0803,8,1,0.0009802416485620382,0,270.38577795028687,12,0.0803
0.0803,10,1,0.0009722402857981987,2,261.1295051574707,12,0.0802
0.0803,18,1,0.0009235374527570897,10,236.8611936569214,12,0.0791
0.0375,1,1,0.007497437997630844,0,351.8510375022888,13,0.0375
