best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0658,1,1,0.004137883499216025,0,348.61444425582886,1,0.0658
0.0775,3,1,0.004130387767457289,0,286.27395248413086,1,0.0775
0.0789,6,1,0.004105163923003721,0,265.60409593582153,1,0.0789
0.0789,10,1,0.004045830151903547,4,253.8430690765381,1,0.0775
0.0789,16,1,0.003903869482520295,10,243.32527685165405,1,0.0771
0.0428,1,1,0.00115758318397857,0,367.75739336013794,2,0.0428
0.0736,3,1,0.0011554862344058787,0,314.6424913406372,2,0.0736
0.0793,7,1,0.0011450436709218399,0,276.294958114624,2,0.0793
0.0793,10,1,0.001131831031483689,3,263.05177211761475,2,0.0791
0.0793,17,1,0.001083850531032621,10,245.4160351753235,2,0.0787
0.0259,1,1,0.0005183400154696024,0,378.5131878852844,3,0.0259
0.0578,3,1,0.0005174010480683898,0,341.1593861579895,3,0.0578
0.0786,10,1,0.0005068087740803709,0,289.20731925964355,3,0.0786
0.0797,15,1,0.0004925221334096389,0,271.82309007644653,3,0.0797
0.0797,25,1,0.0004488098158977776,10,254.11790657043457,3,0.0793
0.0312,1,1,0.0006677890187363435,0,374.9541311264038,4,0.0312
0.0644,3,1,0.0006665793260620995,0,332.44634199142456,4,0.0644
0.0791,10,1,0.0006529330629113809,0,279.5809073448181,4,0.0791
0.0798,15,1,0.0006345272646519055,0,263.4914574623108,4,0.0798
0.0798,25,1,0.0005782117097135291,10,246.79388999938965,4,0.079
0.0582,1,1,0.0024666438900941257,0,355.52119970321655,5,0.0582
0.0774,3,1,0.0024621755910354463,0,293.3297505378723,5,0.0774
0.0792,5,1,0.002453256985181339,0,272.4033341407776,5,0.0792
0.0792,10,1,0.002411769743261801,5,251.17291688919067,5,0.0779
0.0792,15,1,0.0023437833754941014,10,244.70101690292358,5,0.0778
0.0601,1,1,0.004232601789561029,0,350.42767000198364,6,0.0601
0.0777,3,1,0.004224934476631096,0,287.57940435409546,6,0.0777
0.0786,5,1,0.004209630724334269,0,270.809449672699,6,0.0786
0.0786,10,1,0.004138441293586773,5,254.20333671569824,6,0.0776
0.0786,15,1,0.004021781072370836,10,245.12718105316162,6,0.0774
0.0494,1,1,0.0018310013081501617,0,360.58579206466675,7,0.0494
0.0771,3,1,0.0018276844688388594,0,300.71911907196045,7,0.0771
0.0794,7,1,0.0018111669972097361,0,265.63355112075806,7,0.0794
0.0794,10,1,0.0017902679720422985,3,254.2257685661316,7,0.0786
0.0794,17,1,0.001714375059716413,10,236.96530437469482,7,0.0776
0.0575,1,1,0.002361521448979538,0,356.3423476219177,8,0.0575
0.0774,3,1,0.00235724357810004,0,294.3995270729065,8,0.0774
0.0791,5,1,0.002348705061817227,0,272.9785099029541,8,0.0791
0.0791,10,1,0.0023089859065530864,5,251.23986148834229,8,0.078
0.0791,15,1,0.0022438969545700315,10,246.75034713745117,8,0.0776
0.0602,1,1,0.002557231407285008,0,354.5950736999512,9,0.0602
0.0775,3,1,0.002552599009906576,0,292.2783432006836,9,0.0775
0.0794,7,1,0.0025295302130515884,0,261.21834802627563,9,0.0794
0.0794,10,1,0.002500342006958058,3,251.50111770629883,9,0.078
0.0794,17,1,0.0023943476867321727,10,240.92793035507202,9,0.0774
0.0252,1,1,0.000469974856321861,0,379.94540071487427,10,0.0252
0.0559,3,1,0.000469123501889817,0,344.4927568435669,10,0.0559
0.0782,10,1,0.00045951956953446725,0,293.0497250556946,10,0.0782
0.0797,23,1,0.0004161954612219589,0,259.6566185951233,10,0.0797
0.0797,33,1,0.0003643130509306205,10,248.42804384231567,10,0.0792
0.0427,1,1,0.001163485840414371,0,367.6881866455078,11,0.0427
0.0737,3,1,0.0011613781982425973,0,314.48446702957153,11,0.0737
0.0793,7,1,0.0011508823868663911,0,276.14217615127563,11,0.0793
0.0793,10,1,0.0011376023745842902,3,262.951144695282,11,0.0791
0.0793,17,1,0.0010893772157676718,10,245.31382179260254,11,0.0786
0.0364,1,1,0.0007351226859188627,0,373.67120361328125,12,0.0364
0.0664,3,1,0.000733791019025763,0,329.25111532211304,12,0.0664
0.0793,10,1,0.0007187687929354109,1,276.1563820838928,12,0.0792
0.0797,12,1,0.0007115876394509484,0,268.8529553413391,12,0.0797
0.0797,22,1,0.0006578780152708291,10,248.3152551651001,12,0.079
0.0536,1,1,0.0019391540927438619,0,359.6165599822998,13,0.0536
0.0771,3,1,0.0019356413358185358,0,299.192626953125,13,0.0771
0.0793,7,1,0.0019181482173981268,0,264.69581413269043,13,0.0793
0.0793,10,1,0.0018960147377510056,3,253.38805627822876,13,0.0785
0.0793,17,1,0.0018156390160669648,10,236.5965723991394,13,0.0771
0.0416,1,1,0.001241480912208289,0,366.797306060791,14,0.0416
0.0745,3,1,0.0012392319827970893,0,312.45533418655396,14,0.0745
0.0794,9,1,0.0012191271976708157,0,265.01402950286865,14,0.0794
0.0794,10,1,0.0012138623304828796,1,261.59102725982666,14,0.0791
0.0794,19,1,0.0011432339472970659,10,239.86421537399292,14,0.0782
0.0255,1,1,0.0004994253795424851,0,379.0530867576599,15,0.0255
0.0572,3,1,0.0004985206758022118,0,342.4363956451416,15,0.0572
0.0784,10,1,0.0004883149222450767,0,290.65288972854614,15,0.0784
0.0797,24,1,0.00043743607848567724,0,256.4396929740906,15,0.0797
0.0797,34,1,0.0003809091283136285,10,245.67308712005615,15,0.079
0.0353,1,1,0.0007223624520031806,0,373.9022650718689,16,0.0353
0.0661,3,1,0.0007210539001375168,0,329.8293957710266,16,0.0661
0.0792,10,1,0.0007062924293231462,1,276.76598739624023,16,0.0792
0.0797,13,1,0.0006952499198173908,0,266.4312262535095,16,0.0797
0.0797,23,1,0.0006397022518051343,10,247.3125033378601,16,0.0791
0.0552,1,1,0.0037107017132915095,0,352.23143005371094,17,0.0552
0.0774,3,1,0.0037039798167749,0,289.1950755119324,17,0.0774
0.0787,5,1,0.003690563090446502,0,272.89396238327026,17,0.0787
0.0787,10,1,0.0036281516575320024,5,253.31815481185913,17,0.0775
0.0787,15,1,0.003525876200434528,10,243.77275466918945,17,0.0775
0.0219,1,1,0.0001807254121042816,0,392.6705331802368,18,0.0219
0.0284,3,1,0.00018039802995072958,0,362.9496445655823,18,0.0284
0.0664,10,1,0.00017670490762855675,0,327.51670265197754,18,0.0664
0.0797,54,1,8.784491993670104e-05,0,267.4028925895691,18,0.0797
0.0797,64,1,6.329896270834637e-05,10,263.9378614425659,18,0.0797
0.0228,1,1,0.0001629372579514448,0,393.6791639328003,19,0.0228
0.0258,3,1,0.00016264209884913093,0,364.4896092414856,19,0.0258
0.0637,10,1,0.00015931247731197325,0,331.0321464538574,19,0.0637
0.0797,61,1,6.346234158688434e-05,0,268.7066593170166,19,0.0797
0.0797,71,1,4.339208745199136e-05,10,266.1347703933716,19,0.0796
0.0605,1,1,0.002587309105572299,0,354.4403657913208,20,0.0605
0.0775,3,1,0.0025826222227647044,0,292.0847878456116,20,0.0775
0.0794,7,1,0.002559282094848445,0,261.06544065475464,20,0.0794
0.0794,10,1,0.002529750582297029,3,252.34078073501587,20,0.0776
0.0794,17,1,0.002422509575840544,10,240.23369455337524,20,0.0775
