early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,15,0.0797,ok,0.1848,0.1598,1
True,28,0.0806,ok,0.1885,0.1619,2
True,35,0.0807,ok,0.1893,0.1619,3
True,15,0.0799,ok,0.1864,0.1602,4
True,28,0.0805,ok,0.188,0.1619,5
True,15,0.0803,ok,0.1887,0.1613,6
True,17,0.0803,ok,0.1871,0.1608,7
True,15,0.0799,ok,0.1858,0.1601,8
True,28,0.0805,ok,0.1879,0.1618,9
True,21,0.0804,ok,0.1869,0.1618,10
True,35,0.0806,ok,0.189,0.1619,11
True,19,0.0804,ok,0.1876,0.1614,12
True,19,0.0803,ok,0.1878,0.1609,13
True,15,0.0798,ok,0.1849,0.1599,14
True,16,0.0802,ok,0.1885,0.1617,15
True,17,0.0803,ok,0.1888,0.1619,16
True,17,0.0803,ok,0.189,0.1618,17
True,23,0.0805,ok,0.1881,0.1618,18
True,16,0.0801,ok,0.1851,0.1604,19
True,15,0.0801,ok,0.187,0.1608,20
