early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,14,0.0801,ok,0.1861,0.1604,1
True,15,0.0803,ok,0.1867,0.1604,2
True,17,0.081,ok,0.1885,0.1621,3
True,41,0.0812,ok,0.1879,0.1615,4
True,14,0.0801,ok,0.186,0.1607,5
True,17,0.0809,ok,0.1887,0.162,6
True,14,0.0808,ok,0.1875,0.1618,7
True,14,0.0804,ok,0.1867,0.161,8
True,17,0.0809,ok,0.189,0.1621,9
True,27,0.0813,ok,0.1876,0.1615,10
True,17,0.0809,ok,0.1886,0.162,11
True,15,0.0807,ok,0.1862,0.1607,12
True,15,0.0811,ok,0.188,0.1612,13
True,27,0.0811,ok,0.1884,0.1621,14
True,14,0.0801,ok,0.1857,0.1608,15
True,15,0.0806,ok,0.1871,0.1606,16
True,17,0.0809,ok,0.1887,0.1621,17
True,23,0.0813,ok,0.187,0.1615,18
True,14,0.0804,ok,0.1867,0.1605,19
True,48,0.0812,ok,0.1879,0.1614,20
