best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0228,1,1,0.00020667654890775737,0,390.16616916656494,1,0.0228
0.0425,3,1,0.000206302156547091,0,360.5714621543884,1,0.0425
0.0715,10,1,0.00020207872295602272,0,321.90267848968506,1,0.0715
0.08,44,1,0.00012985157328084223,0,262.2836661338806,1,0.08
0.08,54,1,0.00010045894863484722,10,256.41972303390503,1,0.0798
0.0569,1,1,0.0023082770516949336,0,357.2284564971924,2,0.0569
0.0785,3,1,0.00230409563247237,0,291.26644802093506,2,0.0785
0.0797,7,1,0.002283272654059511,0,256.04145336151123,2,0.0797
0.0797,10,1,0.0022569260097496124,3,241.9761505126953,2,0.0784
0.0797,17,1,0.0021612505631355837,10,216.67253828048706,2,0.0773
0.0464,1,1,0.0008164899507529079,0,371.4217953681946,3,0.0464
0.0717,3,1,0.0008150108879287113,0,325.6006369590759,3,0.0717
0.0799,10,1,0.0007983259224451886,2,267.7103691101074,3,0.0797
0.08,13,1,0.0007858445178296243,0,256.67998456954956,3,0.08
0.08,23,1,0.0007230587063661479,10,232.4664387702942,3,0.079
0.0479,1,1,0.0013293960520516877,0,365.3945984840393,4,0.0479
0.0772,3,1,0.0013269878653037548,0,308.326744556427,4,0.0772
0.0802,7,1,0.0013149953771084207,0,267.396915435791,4,0.0802
0.0802,10,1,0.0012998216678239696,3,253.1268539428711,4,0.0792
0.0802,17,1,0.0012447197202854028,10,230.2699556350708,4,0.0785
0.0637,1,1,0.0028871663344870223,0,353.41437005996704,5,0.0637
0.0787,3,1,0.002881936263512267,0,285.982852935791,5,0.0787
0.0798,5,1,0.002871497181212651,0,265.4318504333496,5,0.0798
0.0798,10,1,0.0028229370430176565,5,239.61721086502075,5,0.0779
0.0798,15,1,0.002743360111377368,10,220.58044052124023,5,0.0777
0.0395,1,1,0.005824941573332308,0,356.9737148284912,6,0.0395
0.0796,3,1,0.005814389753893147,0,284.787043094635,6,0.0796
0.0802,5,1,0.005793328603467509,0,267.31747341156006,6,0.0802
0.0802,10,1,0.005695357120356182,5,245.11492443084717,6,0.0785
0.0802,15,1,0.005534808359499251,10,227.97716903686523,6,0.0784
0.038,1,1,0.0006725662201579942,0,373.930775642395,7,0.038
0.0675,3,1,0.000671347873634404,0,332.676682472229,7,0.0675
0.0798,10,1,0.0006576039884116017,1,274.918719291687,7,0.0798
0.0801,13,1,0.000647322696992385,0,263.33325815200806,7,0.0801
0.0801,23,1,0.0005956042210251014,10,239.6846570968628,7,0.0793
0.0535,1,1,0.0018794951438241168,0,360.45881700515747,8,0.0535
0.0783,3,1,0.0018760904584474933,0,297.1650733947754,8,0.0783
0.0798,7,1,0.0018591355236929387,0,259.2533483505249,8,0.0798
0.0798,10,1,0.0018376829905144996,3,245.26737642288208,8,0.0785
0.0798,17,1,0.0017597800641035515,10,220.68307542800903,8,0.0775
0.0388,1,1,0.000693505355296195,0,373.5247139930725,9,0.0388
0.0681,3,1,0.0006922490777529698,0,331.5619125366211,9,0.0681
0.0798,10,1,0.000678077301474419,1,273.72460985183716,9,0.0797
0.0801,13,1,0.0006674759206068032,0,262.2156491279602,9,0.0801
0.0801,23,1,0.0006141472832532307,10,238.51399946212769,9,0.0793
0.0232,1,1,0.0002736057798899061,0,386.68282318115234,10,0.0232
0.0561,3,1,0.000273110145942241,0,356.80138397216797,10,0.0561
0.0753,10,1,0.00026751901406199465,0,311.145649433136,10,0.0753
0.08,24,1,0.00023964548921341818,0,273.0653476715088,10,0.08
0.08,34,1,0.00020867769918883137,10,259.5430974960327,10,0.0799
0.0262,1,1,0.000362875348030541,0,382.71824836730957,11,0.0262
0.0561,3,1,0.00036221800321374994,0,352.10533905029297,11,0.0561
0.0778,10,1,0.000354802648436722,0,300.0900058746338,11,0.0778
0.08,21,1,0.00032801343545129334,0,266.93118381500244,11,0.08
0.08,31,1,0.00029009893623081285,10,251.72979021072388,11,0.0798
0.0495,1,1,0.001504776918850703,0,363.7217025756836,12,0.0495
0.0778,3,1,0.001502051031535949,0,304.25212383270264,12,0.0778
0.0801,7,1,0.0014884764316956101,0,264.1091251373291,12,0.0801
0.0801,10,1,0.0014713009274737085,3,250.0871458053589,12,0.079
0.0801,17,1,0.0014089296433768504,10,226.67729997634888,12,0.0782
0.027,1,1,0.00041893521646122085,0,380.6206760406494,13,0.027
0.0578,3,1,0.0004181763197915886,0,348.65593242645264,13,0.0578
0.0786,10,1,0.0004096153820604604,0,294.2846779823303,13,0.0786
0.08,17,1,0.00039225099596658115,0,270.0873513221741,13,0.08
0.08,27,1,0.00035394945889893897,10,251.2361297607422,13,0.0798
0.0323,1,1,0.006590977599158045,0,358.3876633644104,14,0.0323
0.0787,3,1,0.006579038113640754,0,287.61090326309204,14,0.0787
0.0805,4,1,0.006568604213592506,0,276.48203563690186,14,0.0805
0.0805,10,1,0.006444351540164599,6,248.35586166381836,14,0.0792
0.0805,14,1,0.006304491863928592,10,235.30721044540405,14,0.0784
0.0526,1,1,0.001814721352939627,0,360.9926176071167,15,0.0526
0.0781,3,1,0.0018114340045932893,0,298.2342109680176,15,0.0781
0.0799,7,1,0.0017950633945186152,0,259.8959836959839,15,0.0799
0.0799,10,1,0.00177435018854866,3,245.91495847702026,15,0.0785
0.0799,17,1,0.0016991320617665982,10,221.51182174682617,15,0.0778
0.0662,1,1,0.004346273765919557,0,349.71167182922363,16,0.0662
0.0792,3,1,0.004338400537418674,0,281.05848598480225,16,0.0792
0.0799,4,1,0.004331520133810305,0,270.3452558517456,16,0.0799
0.0799,10,1,0.004249584468464686,6,238.9952449798584,16,0.078
0.0799,14,1,0.004157357111810916,10,224.14178943634033,16,0.0772
0.0597,1,1,0.0025208820763685884,0,355.68917322158813,17,0.0597
0.0786,3,1,0.002516315525414835,0,288.9081492424011,17,0.0786
0.0795,6,1,0.0025009486506847576,0,260.43367528915405,17,0.0795
0.0795,10,1,0.002464801320747092,4,240.86059713363647,17,0.0782
0.0795,16,1,0.002378316018039722,10,218.4785714149475,17,0.0776
0.0586,1,1,0.0024271588129813676,0,356.36836099624634,18,0.0586
0.0786,3,1,0.002422762040718106,0,289.89572525024414,18,0.0786
0.0797,7,1,0.0024008666293634856,0,255.35554552078247,18,0.0797
0.0797,10,1,0.0023731630701731795,3,241.36798334121704,18,0.0781
0.0797,17,1,0.0022725601103748085,10,215.99193334579468,18,0.0773
0.0486,1,1,0.0009579374055744584,0,369.4512457847595,19,0.0486
0.0742,3,1,0.0009562021121967676,0,319.7275900840759,19,0.0742
0.08,7,1,0.0009475605542423183,0,277.9964370727539,19,0.08
0.08,10,1,0.0009366266691277542,3,262.49578380584717,19,0.0793
0.08,17,1,0.0008969212580986395,10,240.595055103302,19,0.079
0.0245,1,1,0.0003172590162357554,0,384.6441812515259,20,0.0245
0.0581,3,1,0.00031668430491674546,0,354.5997414588928,20,0.0581
0.0769,10,1,0.00031020111950785134,0,305.39204263687134,20,0.0769
0.0801,24,1,0.0002778804314140525,0,266.88223791122437,20,0.0801
0.0801,34,1,0.00024197179453456412,10,253.55341958999634,20,0.0799
