early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,13,0.0798,ok,0.1859,0.1604,1
True,17,0.08,ok,0.1869,0.1616,2
True,33,0.0803,ok,0.1868,0.1616,3
True,22,0.0802,ok,0.1889,0.1616,4
True,34,0.0803,ok,0.1875,0.1615,5
True,17,0.0801,ok,0.189,0.1619,6
True,14,0.0797,ok,0.1861,0.1606,7
True,14,0.0798,ok,0.1856,0.1606,8
True,27,0.0802,ok,0.1887,0.1617,9
True,16,0.0802,ok,0.1887,0.162,10
True,22,0.0801,ok,0.1884,0.1617,11
True,14,0.0795,ok,0.1862,0.1606,12
True,17,0.08,ok,0.187,0.1616,13
True,26,0.0801,ok,0.1873,0.1615,14
True,14,0.0794,ok,0.1853,0.1608,15
True,22,0.0802,ok,0.1886,0.1616,16
True,17,0.0801,ok,0.1891,0.1619,17
True,15,0.0796,ok,0.1844,0.16,18
True,17,0.08,ok,0.1873,0.1616,19
True,16,0.08,ok,0.1885,0.1619,20
