early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,23,0.0801,ok,0.188,0.1612,1
True,27,0.08,ok,0.1881,0.1612,2
True,44,0.08,ok,0.1876,0.1612,3
True,34,0.0801,ok,0.1886,0.1614,4
True,44,0.08,ok,0.1877,0.1611,5
True,34,0.08,ok,0.1884,0.1613,6
True,53,0.08,ok,0.188,0.1614,7
True,14,0.0795,ok,0.1846,0.1603,8
True,17,0.0798,ok,0.1872,0.1611,9
True,17,0.08,ok,0.1894,0.1619,10
True,17,0.08,ok,0.1889,0.1618,11
True,23,0.08,ok,0.1878,0.1613,12
True,17,0.08,ok,0.189,0.1619,13
