early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,17,0.0802,ok,0.1882,0.1618,1
True,48,0.0804,ok,0.1891,0.1616,2
True,16,0.0796,ok,0.1856,0.1603,3
True,55,0.0804,ok,0.1884,0.1616,4
True,23,0.0804,ok,0.1886,0.1616,5
True,34,0.0804,ok,0.1886,0.1615,6
True,15,0.0795,ok,0.1828,0.1598,7
True,17,0.08,ok,0.1886,0.1617,8
True,17,0.0798,ok,0.187,0.1607,9
True,17,0.0801,ok,0.1888,0.1618,10
True,15,0.0796,ok,0.1879,0.1616,11
True,14,0.0796,ok,0.1856,0.1604,12
True,15,0.079,ok,0.1865,0.1608,13
True,17,0.0795,ok,0.1854,0.1603,14
True,15,0.0794,ok,0.1848,0.16,15
True,17,0.08,ok,0.1886,0.1618,16
True,16,0.0788,ok,0.1846,0.1602,17
True,22,0.0803,ok,0.1886,0.1616,18
True,15,0.0802,ok,0.1854,0.1602,19
True,31,0.0804,ok,0.1883,0.1616,20
