best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0683,1,1,0.004754838559605487,0,349.4113426208496,1,0.0683
0.0794,3,1,0.004746225220345054,0,280.9852018356323,1,0.0794
0.08,4,1,0.004738698034957136,0,270.83336639404297,1,0.08
0.08,10,1,0.00464906013316476,6,239.55110883712769,1,0.0783
0.08,14,1,0.004548163085420907,10,224.6279010772705,1,0.0779
0.0608,1,1,0.001799938589658365,0,360.47933053970337,2,0.0608
0.0787,3,1,0.0017966780201298044,0,296.76517486572266,2,0.0787
0.0805,7,1,0.0017804407654339667,0,259.6538257598877,2,0.0805
0.0805,10,1,0.0017598962897322446,3,245.35229301452637,2,0.0793
0.0805,17,1,0.0016852908915990623,10,219.6742935180664,2,0.0779
0.0631,1,1,0.001964307619584477,0,359.1027731895447,3,0.0631
0.0788,3,1,0.001960749297313964,0,294.1736898422241,3,0.0788
0.0803,7,1,0.0019430292688066462,0,257.9820718765259,3,0.0803
0.0803,10,1,0.0019206086871306233,3,243.5919075012207,3,0.0791
0.0803,17,1,0.0018391903804966404,10,217.26585865020752,3,0.0776
0.0249,1,1,0.00020753258118127148,0,389.59205436706543,4,0.0249
0.0638,3,1,0.0002071566381272856,0,359.0918674468994,4,0.0638
0.074,10,1,0.00020291571152369073,0,320.322527885437,4,0.074
0.0804,28,1,0.0001730692296664133,0,277.15161895751953,4,0.0804
0.0804,38,1,0.00014750582140763639,10,265.6565728187561,4,0.0804
0.0684,1,1,0.004093392137186266,0,351.23280906677246,5,0.0684
0.0793,3,1,0.0040859770010545984,0,281.8799138069153,5,0.0793
0.0802,5,1,0.004071176586927339,0,263.71760511398315,5,0.0802
0.0802,10,1,0.004002328566121019,5,238.1935477256775,5,0.0779
0.0802,15,1,0.003889505282478915,10,218.9281129837036,5,0.0775
0.0405,1,1,0.00044101406964256747,0,379.20961475372314,6,0.0405
0.0666,3,1,0.00044021517736623936,0,347.49559688568115,6,0.0666
0.0795,10,1,0.00043120305845044767,0,290.4488515853882,6,0.0795
0.0804,13,1,0.00042446142612626573,0,278.4442067146301,6,0.0804
0.0804,23,1,0.00039054866797929097,10,254.63147974014282,6,0.0799
0.0635,1,1,0.002148657619844747,0,357.5081090927124,7,0.0635
0.0789,3,1,0.0021447653495179552,0,291.60948371887207,7,0.0789
0.0801,7,1,0.002125382298769433,0,256.44688415527344,7,0.0801
0.0801,10,1,0.0021008575485830395,3,241.99638557434082,7,0.0788
0.0801,17,1,0.002011798145055923,10,215.1384506225586,7,0.0772
0.0547,1,1,0.0005918127351754074,0,374.8737015724182,8,0.0547
0.0696,3,1,0.0005907406727272695,0,337.3585247993469,8,0.0696
0.0801,10,1,0.0005786469843113798,0,278.5236825942993,8,0.0801
0.0807,13,1,0.0005696001439950273,0,266.9694519042969,8,0.0807
0.0807,23,1,0.0005240913869329918,10,243.5330491065979,8,0.0799
0.0633,1,1,0.0019830471554310326,0,358.94197273254395,9,0.0633
0.0788,3,1,0.0019794548866915065,0,293.8935308456421,9,0.0788
0.0803,7,1,0.001961565808740963,0,257.8082604408264,9,0.0803
0.0803,10,1,0.0019389313342459997,3,243.4113416671753,9,0.0791
0.0803,17,1,0.001856736295260871,10,217.0118808746338,9,0.0776
0.0195,1,1,0.007767709213473377,0,367.6389923095703,10,0.0195
0.0248,3,1,0.00775363809120638,0,331.22897386550903,10,0.0248
0.0578,10,1,0.007594905016790298,0,292.22731733322144,10,0.0578
0.0786,34,1,0.0059243912438098015,0,253.56341552734375,10,0.0786
0.0786,44,1,0.0048803275818573195,10,244.84171628952026,10,0.0784
0.0259,1,1,0.00025072220048744917,0,387.27348232269287,11,0.0259
0.0661,3,1,0.0002502680198994336,0,356.7116279602051,11,0.0661
0.0756,10,1,0.00024514451377761494,0,312.8307104110718,11,0.0756
0.0805,25,1,0.00021709029070486027,0,273.71389961242676,11,0.0805
0.0805,35,1,0.00018804162343650317,10,260.85892248153687,11,0.0801
0.025,1,1,0.0001985859419833854,0,390.0933618545532,12,0.025
0.0628,3,1,0.0001982262056707402,0,359.70025539398193,12,0.0628
0.0735,10,1,0.00019416810356617632,0,322.09298849105835,12,0.0735
0.0805,34,1,0.00015146046067087652,0,271.5172805786133,12,0.0805
0.0805,44,1,0.00012476837422667442,10,262.6653251647949,12,0.0804
0.0249,1,1,0.00020811425518907155,0,389.55974102020264,13,0.0249
0.0638,3,1,0.00020773725843883388,0,359.05405473709106,13,0.0638
0.0741,10,1,0.00020348444533163434,0,320.20981645584106,13,0.0741
0.0805,34,1,0.00015872765538333186,0,269.5286684036255,13,0.0805
0.0805,44,1,0.0001307548611648862,10,260.7398910522461,13,0.0803
0.0249,1,1,0.0002040483029318417,0,389.7864685058594,14,0.0249
0.0634,3,1,0.00020367867161068628,0,359.3225860595703,14,0.0634
0.0738,10,1,0.0001995089462046972,0,321.0038604736328,14,0.0738
0.0805,34,1,0.00015562657483455188,0,270.3631868362427,14,0.0805
0.0805,44,1,0.00012820028832981464,10,261.5484790802002,14,0.0803
0.068,1,1,0.005150424262721363,0,351.2169075012207,15,0.068
0.0796,3,1,0.005141094324185307,0,280.97623443603516,15,0.0796
0.0801,7,1,0.005094632322078167,0,253.67483377456665,15,0.0801
0.0801,10,1,0.005035845446388634,3,240.64971446990967,15,0.0786
0.0801,17,1,0.0048223662449965125,10,216.91679096221924,15,0.078
0.026,1,1,0.00025472171066897047,0,387.06782817840576,16,0.026
0.0662,3,1,0.00025426028501098304,0,356.5232005119324,16,0.0662
0.0758,10,1,0.000249055048931229,0,312.2196111679077,16,0.0758
0.0805,25,1,0.00022055330605130926,0,273.0455493927002,16,0.0805
0.0805,35,1,0.00019104125564307247,10,260.2216444015503,16,0.0801
0.071,1,1,0.004671125910493265,0,349.08475637435913,17,0.071
0.0796,3,1,0.004662664215802495,0,280.38471937179565,17,0.0796
0.0803,5,1,0.004645774898678973,0,263.62513065338135,17,0.0803
0.0803,10,1,0.004567209795923965,5,239.0011601448059,17,0.0783
0.0803,15,1,0.004438462843307345,10,220.70175886154175,17,0.0781
0.0632,1,1,0.0007330179085505168,0,371.94966745376587,18,0.0632
0.0724,3,1,0.000731690054439137,0,328.69079542160034,18,0.0724
0.0804,9,1,0.0007198194188134108,0,275.1586956977844,18,0.0804
0.0804,10,1,0.0007167108394571383,1,270.465594291687,18,0.0802
0.0804,19,1,0.0006750091352923273,10,243.8526487350464,18,0.0797
0.0679,1,1,0.0036232971470106833,0,351.16785955429077,19,0.0679
0.0792,3,1,0.0036167335829322524,0,282.69865131378174,19,0.0792
0.0796,5,1,0.0036036328839313654,0,263.8913288116455,19,0.0796
0.0796,10,1,0.0035426915352883438,5,237.57582569122314,19,0.0778
0.0796,15,1,0.0034428251486738884,10,217.6021809577942,19,0.077
0.071,1,1,0.0035839221578180458,0,349.3276538848877,20,0.071
0.0791,3,1,0.003577429921111941,0,281.87566232681274,20,0.0791
0.0798,5,1,0.003564471589645553,0,263.33777475357056,20,0.0798
0.0798,10,1,0.003504192501051002,5,236.87113189697266,20,0.0777
0.0798,15,1,0.003405411379523595,10,216.93349599838257,20,0.0773
