best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0885,1,1,0.0012271495238640826,0,16.52617835998535,1,0.0885
0.0934,3,1,0.0012236597470515406,0,15.654041290283203,1,0.0934
0.1033,10,1,0.001184479123582831,0,13.287044525146484,1,0.1033
0.1103,20,1,0.0010618853607266732,0,10.439791679382324,1,0.1103
0.1103,28,1,0.0009190882798643256,8,8.463166236877441,1,0.0941
0.0929,1,1,0.0006654867687103842,0,16.53262710571289,2,0.0929
0.0929,3,1,0.0006635942525586555,2,16.035123348236084,2,0.0907
0.098,9,1,0.0006467405545877059,0,14.80425214767456,2,0.098
0.098,10,1,0.0006423464860875032,1,14.633498191833496,2,0.094
0.098,17,1,0.0005998341443775718,8,13.402193069458008,2,0.0968
0.0885,1,1,0.0010328314968152542,0,16.528234481811523,3,0.0885
0.0929,3,1,0.0010298943230326338,0,15.78124189376831,3,0.0929
0.098,10,1,0.0009969179161674632,4,13.73171329498291,3,0.0958
0.1108,24,1,0.0008370373487204468,0,10.379884243011475,3,0.1108
0.1108,32,1,0.0007048821184469647,8,8.838547229766846,3,0.0941
