early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,16,0.0965,ok,0.1826,0.0988,1
True,14,0.0956,ok,0.1884,0.0988,2
True,33,0.1115,ok,0.1984,0.105,3
True,21,0.1012,ok,0.1897,0.0981,4
True,15,0.0968,ok,0.1908,0.0953,5
True,86,0.1107,ok,0.2068,0.1111,6
True,75,0.1088,ok,0.2052,0.1111,7
True,17,0.1012,ok,0.1942,0.1001,8
True,69,0.1096,ok,0.2028,0.1101,9
True,62,0.1097,ok,0.2007,0.1098,10
True,21,0.1013,ok,0.1902,0.0982,11
True,47,0.1094,ok,0.2028,0.1114,12
True,33,0.1134,ok,0.2042,0.1071,13
True,18,0.1,ok,0.1952,0.1007,14
True,35,0.1136,ok,0.2002,0.1064,15
True,27,0.1098,ok,0.1994,0.1059,16
True,16,0.0983,ok,0.1981,0.1013,17
True,33,0.1132,ok,0.2034,0.1072,18
True,21,0.1082,ok,0.2057,0.1071,19
True,48,0.1146,ok,0.2057,0.1109,20
