early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_exposure_js,macro_1.route_consistency_feature_group_knn_exposure_score,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_memory_js,macro_1.route_consistency_feature_group_knn_memory_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
False,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,ok,0.1214,0.0604,1
True,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,ok,0.0221,0.0143,2
True,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1061,ok,0.1986,0.1069,3
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1129,ok,0.2028,0.1094,4
False,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0561,ok,0.1054,0.0527,5
False,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,ok,0.1211,0.0602,6
True,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1129,ok,0.2042,0.1064,7
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1153,ok,0.2018,0.1099,8
False,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,ok,0.1164,0.059,9
False,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1042,ok,0.1934,0.1064,10
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1152,ok,0.207,0.1109,11
False,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,ok,0.1159,0.0624,12
True,15,1.0,1.0,0.0,0.28412619131427436,0.0,2.3380130312578182,0.44941315054893494,0.3386300802230835,0.0,0.10994625974363585,1.3713512673567676,3.9522247968818887,0.6894545909432074,9.740703022339028,11.103632013019482,9.740703022339028,0.0245137378827971,0.9757842836162037,0.03511967301838658,0.9654898662570791,0.036245133529041504,0.9644348139460506,0.04686391983332991,0.9542172387966592,0.03848320338165243,0.9622478671142602,0.0009658049033286538,0.9990346613361162,0.007963383871371736,0.9920790804217916,0.009207358842767022,0.9908348990915566,0.0,0.0,7.81723061760841,9.740703022339028,0.5305854390793094,0.1163,ok,0.2039,0.1093,13
True,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1045,ok,0.1934,0.1046,14
False,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1056,ok,0.1957,0.1037,15
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1123,ok,0.2097,0.1105,16
True,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1142,ok,0.207,0.1109,17
False,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1059,ok,0.1965,0.1037,18
True,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1137,ok,0.1931,0.1026,19
True,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1045,ok,0.196,0.1056,20
