best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0152,1,1,0.002256352288878294,0,700.0792708396912,1,0.0152
0.0534,3,1,0.002252264930808922,0,573.7409372329712,1,0.0534
0.0689,10,1,0.0022061563901907724,0,507.474356174469,1,0.0689
0.0746,20,1,0.0020590982847405303,0,474.09700870513916,1,0.0746
0.0746,30,1,0.0018303741720171868,10,449.5763382911682,1,0.0692
0.0151,1,1,0.0027874928490625585,0,699.3032846450806,2,0.0151
0.0487,3,1,0.002782443335541956,0,586.556067943573,2,0.0487
0.0704,10,1,0.0027254809419089573,0,512.3911538124084,2,0.0704
0.0737,20,1,0.002543805669231115,0,478.9189386367798,2,0.0737
0.0737,30,1,0.002261240383762571,10,453.35520458221436,2,0.0724
0.0176,1,1,0.002135757236495258,0,700.5566658973694,3,0.0176
0.0524,3,1,0.002131888335075104,0,572.820408821106,3,0.0524
0.0708,10,1,0.0020882441533687074,0,506.94829988479614,3,0.0708
0.0756,19,1,0.0019667400053727906,0,476.5676198005676,3,0.0756
0.0756,29,1,0.00175711043616525,10,451.22587394714355,3,0.0725
0.0211,1,1,0.001707688839185116,0,701.7192063331604,4,0.0211
0.0551,3,1,0.0017045953790941434,0,566.0059127807617,4,0.0551
0.0705,10,1,0.0016696987715950227,0,505.9522371292114,4,0.0705
0.0731,20,1,0.0015583998903755786,0,473.3343596458435,4,0.0731
0.0731,30,1,0.0013852932276990926,10,449.4661660194397,4,0.0667
0.0152,1,1,0.003364882558324317,0,700.4345679283142,5,0.0152
0.0404,3,1,0.0033587871095129554,0,608.3238658905029,5,0.0404
0.0622,10,1,0.0032900257618809635,1,520.9765486717224,5,0.0618
0.0781,21,1,0.0030416138595152024,0,486.4421401023865,5,0.0781
0.0781,31,1,0.0026900390340909683,10,462.6436495780945,5,0.0717
0.0193,1,1,0.0015569953271198998,0,701.9670305252075,6,0.0193
0.0546,3,1,0.0015541748467163535,0,564.3981819152832,6,0.0546
0.07,10,1,0.0015223576599070778,0,506.1822896003723,6,0.07
0.0723,14,1,0.0014893184242131523,0,491.85109424591064,6,0.0723
0.0723,24,1,0.0013637391250316197,10,464.0124912261963,6,0.0678
0.0158,1,1,0.0022751801610927927,0,702.0340356826782,7,0.0158
0.0545,3,1,0.00227105869653402,0,581.1109600067139,7,0.0545
0.0687,10,1,0.0022245654085007458,0,509.45063400268555,7,0.0687
0.0748,16,1,0.0021465095379820556,0,487.78240966796875,7,0.0748
0.0748,26,1,0.0019464690912417715,10,460.06432342529297,7,0.0728
0.0195,1,1,0.0009784615568636408,0,704.7532782554626,8,0.0195
0.0561,3,1,0.0009766890842051248,0,570.870222568512,8,0.0561
0.0706,10,1,0.0009566942302719326,0,511.6590299606323,8,0.0706
0.0751,25,1,0.0008472105916830893,0,470.9886112213135,8,0.0751
0.0751,35,1,0.0007338460625550299,10,453.0045437812805,8,0.0722
0.0103,1,1,0.00535906666955625,0,703.4563136100769,9,0.0103
0.0212,3,1,0.005349358777528891,0,659.730366230011,9,0.0212
0.0461,10,1,0.005239846293850446,0,577.439197063446,9,0.0461
0.0727,44,1,0.0033670159582032933,0,499.41522884368896,9,0.0727
0.0727,54,1,0.0026048731998517816,10,487.59432077407837,9,0.0701
0.018,1,1,0.0012560539668328996,0,702.968014717102,10,0.018
0.0554,3,1,0.0012537786384889142,0,565.9970550537109,10,0.0554
0.0718,10,1,0.001228111185922323,0,507.7194776535034,10,0.0718
0.0747,15,1,0.001193491455336924,0,490.6204471588135,10,0.0747
0.0747,25,1,0.0010875667183464948,10,464.83383798599243,10,0.0707
0.0166,1,1,0.0020019915309472205,0,701.1398887634277,11,0.0166
0.0528,3,1,0.001998364944673807,0,571.0211086273193,11,0.0528
0.0707,10,1,0.0019574542640691563,0,506.94049644470215,11,0.0707
0.0744,14,1,0.0019149722675621016,0,492.0992383956909,11,0.0744
0.0744,24,1,0.0017535018449830139,10,463.3363251686096,11,0.0704
0.0182,1,1,0.002843240934619035,0,696.2942404747009,12,0.0182
0.051,3,1,0.0028380904340369376,0,577.7680377960205,12,0.051
0.0689,10,1,0.0027799888287303298,0,510.5126895904541,12,0.0689
0.0759,15,1,0.002701622581940725,0,493.003755569458,12,0.0759
0.0759,25,1,0.00246184821224598,10,465.0189256668091,12,0.0731
