early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,16,0.0122,ok,0.0286,0.0102,1
True,50,0.0731,ok,0.1878,0.0718,2
True,82,0.073,ok,0.1841,0.0689,3
True,37,0.0687,ok,0.1694,0.0664,4
True,39,0.076,ok,0.1781,0.0743,5
True,37,0.0757,ok,0.1814,0.0748,6
True,58,0.0728,ok,0.1809,0.0687,7
True,31,0.0141,ok,0.0378,0.0158,8
True,65,0.0717,ok,0.1887,0.0774,9
True,56,0.0709,ok,0.1832,0.0674,10
True,50,0.0725,ok,0.1878,0.0713,11
True,58,0.0767,ok,0.185,0.0743,12
True,43,0.0772,ok,0.1754,0.0758,13
True,25,0.0779,ok,0.1874,0.0717,14
True,63,0.0765,ok,0.1781,0.0721,15
True,24,0.0734,ok,0.1629,0.0679,16
True,47,0.0786,ok,0.1837,0.0716,17
True,61,0.0703,ok,0.1809,0.0682,18
True,67,0.0695,ok,0.1763,0.0668,19
True,73,0.0693,ok,0.1754,0.0656,20
