best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0154,1,1,0.002199217303255029,0,701.3180227279663,1,0.0154
0.051,3,1,0.0021929631529649537,0,586.3549747467041,1,0.051
0.0716,10,1,0.0021227461961809244,0,507.9622392654419,1,0.0716
0.0772,23,1,0.0018139743945504191,0,457.77979612350464,1,0.0772
0.0772,31,1,0.0015383030857665473,8,432.7374801635742,1,0.077
0.0095,1,1,0.004998221143761429,0,703.501461982727,2,0.0095
0.0147,3,1,0.00498400716582944,1,663.3018593788147,2,0.0147
0.029,10,1,0.004824423173138465,0,618.3825736045837,2,0.029
0.0506,49,1,0.0019200561698209829,0,562.5101180076599,2,0.0506
0.0506,57,1,0.0013075393154175056,8,557.4166207313538,2,0.0488
0.0161,1,1,0.0011995730745027427,0,701.2029838562012,3,0.0161
0.0549,3,1,0.0011961617197990655,0,564.99116563797,3,0.0549
0.0711,10,1,0.0011578615615532315,0,503.1202235221863,3,0.0711
0.0749,14,1,0.0011184510155293366,0,487.13242292404175,3,0.0749
0.0749,22,1,0.0010061905642997989,8,461.08129692077637,3,0.0736
0.014,1,1,0.0031988615320073144,0,700.7560758590698,4,0.014
0.0374,3,1,0.0031897645861308417,0,605.9644231796265,4,0.0374
0.0667,10,1,0.0030876308308086173,0,520.953013420105,4,0.0667
0.0758,21,1,0.0027263817368370132,0,481.7361741065979,4,0.0758
0.0758,29,1,0.0023439564619707116,8,456.7244596481323,4,0.0692
0.0142,1,1,0.004298470183634829,0,701.018060207367,5,0.0142
0.0357,3,1,0.004286246162613318,0,619.8669700622559,5,0.0357
0.0567,10,1,0.004149003928899079,0,539.5215554237366,5,0.0567
0.069,28,1,0.0032193905390477894,0,493.6445508003235,5,0.069
0.069,36,1,0.0026334532543988475,8,478.9914584159851,5,0.0669
