early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_exposure_js,macro_1.route_consistency_feature_group_knn_exposure_score,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_memory_js,macro_1.route_consistency_feature_group_knn_memory_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2882,ok,0.4503,0.2903,1
True,30,1.0,1.0,0.0,0.19748852282899346,0.0,2.203064044913241,0.4679567217826843,0.15954966843128204,0.0,0.1726796094981926,1.1748272630593313,3.8841803586679635,0.8059551763292214,2.0675395915900876,11.549546301324693,2.0675395915900876,0.021680978858342678,0.9785523641530551,0.005453372987054645,0.9945614696583293,0.012183392205194108,0.9879077637414428,0.011276850524479689,0.9887864948188124,0.01032236645089942,0.9897307263355745,0.003233470794636532,0.9967717512421026,0.0011453527247706884,0.998855562282756,0.0042663444797158175,0.9957427434392361,0.0,0.0,6.380418358847611,2.0675395915900876,0.7282137778218739,0.2895,ok,0.4507,0.2925,2
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2862,ok,0.4439,0.2876,3
True,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2895,ok,0.4508,0.29,4
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2882,ok,0.4505,0.2903,5
True,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2893,ok,0.4511,0.2908,6
True,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2894,ok,0.45,0.2903,7
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2877,ok,0.4478,0.2901,8
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2878,ok,0.4486,0.2902,9
True,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2876,ok,0.4459,0.2888,10
