best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.2553,1,1,0.0013995019202532,0,1949.734022140503,1,0.2553
0.2949,2,1,0.0013980084685792584,0,1186.660249710083,1,0.2949
0.2949,3,1,0.0013955220064322431,1,954.9950437545776,1,0.2826
0.2949,10,1,0.00135083848847877,8,540.3435715436935,1,0.2594
0.2563,1,1,0.0008996798058770572,0,2112.4739027023315,2,0.2563
0.2943,2,1,0.0008987197298009517,0,1387.8623180389404,2,0.2943
0.2943,3,1,0.0008971212898492991,1,1052.60928440094,2,0.2796
0.2943,10,1,0.0008683961711649236,8,611.2408905029297,2,0.2704
0.1737,1,1,0.0002998932686256857,0,2373.678448677063,3,0.1737
0.2523,3,1,0.00029904042994976636,0,1726.731647014618,3,0.2523
0.2779,10,1,0.00028946539038830787,0,848.6090517044067,3,0.2779
0.283,13,1,0.0002823582370493436,0,757.8071548938751,3,0.283
0.283,21,1,0.00025559828782846994,8,620.0812866687775,3,0.2798
0.2205,1,1,0.0004998221143761429,0,2280.092447280884,4,0.2205
0.2754,3,1,0.000498400716582944,0,1362.6669011116028,4,0.2754
0.2844,4,1,0.000497159451935675,0,1123.5664100646973,4,0.2844
0.2844,10,1,0.00048244231731384645,6,723.2922039031982,4,0.28
0.2844,12,1,0.0004748635878685547,8,670.7029359340668,4,0.2793
0.277,1,1,0.004998221143761429,0,1652.7627730369568,5,0.277
0.2795,3,1,0.00498400716582944,0,977.0681869983673,5,0.2795
0.2795,10,1,0.004824423173138465,7,615.5348422527313,5,0.2478
0.2795,11,1,0.004788140885747427,8,581.7901027202606,5,0.2476
