best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0116,1,13.90324592590332,1,0.00044774004185288495,0,474.47474479675293,1,0.0116
0.0159,3,11.81580638885498,1,0.0004469289655497434,0,416.7499418258667,1,0.0159
0.0187,6,13.071764469146729,1,0.0004441996172794331,0,375.78445529937744,1,0.0187
0.0187,10,12.750035762786865,1,0.00043777940144669767,4,349.21328926086426,1,0.0171
0.0187,16,12.624784708023071,1,0.0004224185349401458,10,320.438796043396,1,0.0165
0.0111,1,13.235997438430786,1,0.0003824446192701301,0,477.8864769935608,2,0.0111
0.0144,3,13.06489634513855,1,0.00038175182492752375,0,424.04878520965576,2,0.0144
0.0186,6,13.223375082015991,1,0.00037942050661215766,0,382.77380990982056,2,0.0186
0.0186,10,12.71993899345398,1,0.0003739365722523415,4,356.148729801178,2,0.0174
0.0186,16,13.032619953155518,1,0.00036081583210489725,10,329.65359354019165,2,0.0165
0.011,1,13.556995153427124,1,0.0003264771139135478,0,481.4457631111145,3,0.011
0.014,3,12.88819408416748,1,0.00032588570410906054,0,431.0330214500427,3,0.014
0.0184,10,12.21005916595459,1,0.0003192141469493128,0,363.1707544326782,3,0.0184
0.0184,20,12.26529598236084,1,0.00029793595112783625,10,324.34636878967285,3,0.0166
0.0115,1,12.878061056137085,1,0.0005130354644356399,0,471.66417264938354,4,0.0115
0.0161,3,12.444500923156738,1,0.0005121061061719631,0,410.35802268981934,4,0.0161
0.0185,6,12.47106146812439,1,0.0005089787279467085,0,370.06720638275146,4,0.0185
0.0185,10,12.325198888778687,1,0.0005016222306410539,4,343.29548168182373,4,0.0169
0.0185,16,13.119470596313477,1,0.0004840212377753944,10,312.00801181793213,4,0.0173
0.0113,1,12.823112726211548,1,0.0004197562891745938,0,475.8518748283386,5,0.0113
0.0156,3,12.137385845184326,1,0.0004189959051405118,0,419.75468730926514,5,0.0156
0.0189,6,11.830026865005493,1,0.0004164371411374768,0,378.59525871276855,5,0.0189
0.0189,10,12.029513359069824,1,0.00041041818879518333,4,352.0428442955017,5,0.0172
0.0189,16,12.161658763885498,1,0.00039601737644743467,10,324.29592275619507,5,0.0165
0.0117,1,12.59844446182251,1,0.00046639587730500353,0,473.6187071800232,6,0.0117
0.0159,3,12.340274095535278,1,0.0004655510061552186,0,414.8497533798218,6,0.0159
0.0187,6,12.33008623123169,1,0.00046270793503802663,0,374.0448594093323,6,0.0187
0.0187,10,12.808082342147827,1,0.0004560202102068846,4,347.43740606307983,6,0.017
0.0187,16,12.268645524978638,1,0.00044001930758303065,10,317.9542865753174,6,0.0167
0.0117,1,12.611984014511108,1,0.00048505171175734866,0,472.80671739578247,7,0.0117
0.0159,3,12.536925315856934,1,0.00048417304576273146,0,413.0084743499756,7,0.0159
0.0188,6,12.48488163948059,1,0.0004812162518047522,0,372.3948974609375,7,0.0188
0.0188,10,12.142323970794678,1,0.0004742610179895395,4,345.73498821258545,7,0.0169
0.0188,16,11.45376992225647,1,0.00045762007928268323,10,315.53023529052734,7,0.017
0.0121,1,12.259649515151978,1,0.0006063146396966859,0,468.3582262992859,8,0.0121
0.0168,3,12.34113883972168,1,0.0006052163072034143,0,402.58312797546387,8,0.0168
0.0187,4,12.358850002288818,1,0.0006042564759411761,0,384.79368352890015,8,0.0187
0.0187,10,12.152212619781494,1,0.0005928262724869244,6,335.88979959487915,8,0.0177
0.0187,14,11.888346195220947,1,0.0005799603557197422,10,312.0725317001343,8,0.0171
0.0117,1,12.714566946029663,1,0.0005503471343401036,0,470.261953830719,9,0.0117
0.0166,3,12.21781063079834,1,0.0005493501863849511,0,407.07107973098755,9,0.0166
0.0186,4,12.371649980545044,1,0.0005484789549317783,0,389.0040030479431,9,0.0186
0.0186,10,11.593784093856812,1,0.0005381038471838957,6,340.19027853012085,9,0.0173
0.0186,14,12.23588514328003,1,0.0005264255535061788,10,317.9327688217163,9,0.017
