best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.1645,1,1,9.961501876182148e-05,0,265.86288833618164,1,0.1645
0.1645,3,1,9.657457896300791e-05,2,249.63744258880615,1,0.0513
0.1645,4,1,9.397114317029975e-05,3,243.69250202178955,1,0.1147
0.0221,1,1,0.0004980750938091074,0,254.61502313613892,2,0.0221
0.1562,3,1,0.0004828728948150395,1,229.41826581954956,2,0.1533
0.1627,4,1,0.0004698557158514987,0,223.05242252349854,2,0.1627
0.1627,7,1,0.00041197132152696214,3,207.95164394378662,2,0.1582
0.1645,1,1,9.961501876182148e-05,0,265.83119201660156,3,0.1645
0.1645,3,1,9.657457896300791e-05,2,249.59396505355835,3,0.0523
0.1645,4,1,9.397114317029975e-05,3,243.65178728103638,3,0.1166
0.0226,1,1,0.00021915304127600725,0,262.57766246795654,4,0.0226
0.1542,3,1,0.0002124640737186174,0,238.0274076461792,4,0.1542
0.1668,10,1,0.00014662308546514957,0,218.7137894630432,4,0.1668
0.1668,13,1,0.00010807790697021492,3,213.7136425971985,4,0.1618
0.0146,1,1,0.0002789220525331001,0,260.5649423599243,5,0.0146
0.1572,3,1,0.0002704088210964221,0,235.22207164764404,5,0.1572
0.1662,7,1,0.00023070394005509878,0,220.73061656951904,5,0.1662
0.1662,10,1,0.0001866111996829176,3,212.88038969039917,5,0.1626
0.022,1,1,0.0004980750938091074,0,254.61496257781982,6,0.022
0.1561,3,1,0.0004828728948150395,1,229.42469787597656,6,0.1524
0.1623,4,1,0.0004698557158514987,0,223.06100749969482,6,0.1623
0.1623,7,1,0.00041197132152696214,3,207.97076416015625,6,0.158
0.0314,1,1,0.00021915304127600725,0,261.8834285736084,7,0.0314
0.1561,3,1,0.0002124640737186174,0,237.1611785888672,7,0.1561
0.1667,5,1,0.0001995419806888323,0,230.18174362182617,7,0.1667
0.1667,8,1,0.00017050000000000002,3,221.1331787109375,7,0.1664
0.0979,1,1,0.00013946102626655004,0,265.2635307312012,8,0.0979
0.0979,3,1,0.00013520441054821106,2,244.70696306228638,8,0.0619
0.1666,9,1,0.00010110905623900065,0,229.9190754890442,8,0.1666
0.1666,10,1,9.33055998414588e-05,1,228.48340511322021,8,0.1666
0.1666,12,1,7.7e-05,3,225.5727572441101,8,0.1664
