best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0087,1,1,0.0007524930300582198,0,360.6974411010742,1,0.0087
0.0118,3,1,0.0007469391574070802,0,316.7709083557129,1,0.0118
0.0138,10,1,0.0006858814883094598,0,267.20150899887085,1,0.0138
0.0145,15,1,0.0006081646689289718,0,253.88095092773438,1,0.0145
0.0145,20,1,0.000510690599014815,5,244.62767696380615,1,0.0136
0.0078,1,1,0.00036289772648392,0,372.29934883117676,2,0.0078
0.0096,3,1,0.0003602193126278822,0,338.15714931488037,2,0.0096
0.0133,10,1,0.00033077360560489536,0,291.68627643585205,2,0.0133
0.0138,13,1,0.0003096694707439978,0,281.8341135978699,2,0.0138
0.0138,18,1,0.0002659423624857909,5,270.74179553985596,2,0.0135
0.0082,1,1,0.00027669772994381813,0,376.9240245819092,3,0.0082
0.0085,3,1,0.0002746555263703863,0,343.4185628890991,3,0.0085
0.0117,10,1,0.00025220413112800745,1,302.9488306045532,3,0.0117
0.0141,18,1,0.00020277241389379423,0,281.54328870773315,3,0.0141
0.0141,23,1,0.0001642918603113117,5,274.32693004608154,3,0.0138
0.0081,1,1,0.0002974831890044924,0,375.84844636917114,4,0.0081
0.0088,3,1,0.00029528757564783705,0,342.4240336418152,4,0.0088
0.0121,10,1,0.00027114963763273566,0,300.393611907959,4,0.0121
0.0141,14,1,0.0002473093901580605,0,287.63470363616943,4,0.0141
0.0141,19,1,0.0002100430881677141,5,277.5165128707886,4,0.0133
0.0082,1,1,0.00028477661681191067,0,376.1445736885071,5,0.0082
0.0088,3,1,0.00028267478596349287,0,342.43775177001953,5,0.0088
0.0119,10,1,0.0002595678657110937,3,300.648841381073,5,0.0118
0.0138,14,1,0.0002367459205702066,0,287.77367639541626,5,0.0138
0.0138,19,1,0.0002010713957763314,5,277.47433137893677,5,0.0136
0.0086,1,1,0.0007290652095882617,0,361.54048013687134,6,0.0086
0.0115,3,1,0.0007236842490122994,0,318.7433247566223,6,0.0115
0.0137,10,1,0.0006645275252428005,3,269.6645197868347,6,0.0136
0.0147,15,1,0.000589230310588487,0,256.76499605178833,6,0.0147
0.0147,20,1,0.0004947909598268098,5,248.1935577392578,6,0.0144
0.0082,1,1,0.0004057037277092509,0,370.4593815803528,7,0.0082
0.01,3,1,0.00040270937859532556,0,335.5223431587219,7,0.01
0.0134,10,1,0.00036979037075252075,0,287.6023049354553,7,0.0134
0.0139,11,1,0.0003624868545855661,0,283.89392137527466,7,0.0139
0.0139,16,1,0.0003180723402425276,5,270.8811740875244,7,0.0135
0.0083,1,1,0.0004448356418470804,0,368.8910894393921,8,0.0083
0.0102,3,1,0.00044155247455273945,0,332.8877019882202,8,0.0102
0.0138,10,1,0.0004054582831944152,0,284.1619277000427,8,0.0138
0.0144,23,1,0.0002641253151830059,0,256.9790086746216,8,0.0144
0.0144,28,1,0.00020030143725279718,5,252.0895276069641,8,0.0141
0.0085,1,1,0.0007066476849333247,0,361.62739610671997,9,0.0085
0.0115,3,1,0.0007014321798129136,0,318.79751539230347,9,0.0115
0.0137,10,1,0.0006440944254526901,3,269.04622173309326,9,0.0134
0.0144,15,1,0.0005711124730599162,0,255.6540503501892,9,0.0144
0.0144,20,1,0.0004795769729363619,5,246.5930323600769,9,0.0139
0.0083,1,1,0.0005105789884488881,0,367.0469799041748,10,0.0083
0.0102,3,1,0.0005068105938366836,0,329.94335556030273,10,0.0102
0.0135,10,1,0.0004653819537302125,0,280.89989376068115,10,0.0135
0.0147,23,1,0.00030316104098565506,0,254.90604543685913,10,0.0147
0.0147,28,1,0.0002299044761627903,5,250.12110042572021,10,0.0143
