best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0048,1,1,0.0004980750938091074,0,260.64473724365234,1,0.0048
0.1292,3,1,0.0004828728948150395,0,236.62207460403442,1,0.1292
0.1292,6,1,0.0004340990257669732,3,224.72560119628906,1,0.0386
0.0205,1,1,0.004482675844281966,0,240.95260620117188,2,0.0205
0.0476,3,1,0.004345856053335356,0,204.71222400665283,2,0.0476
0.0477,4,1,0.004228701442663488,0,196.68942832946777,2,0.0477
0.0477,7,1,0.003707741893742659,3,185.55246114730835,2,0.0472
0.0061,1,1,0.0002988450562854644,0,265.88068294525146,3,0.0061
0.0061,3,1,0.0002897237368890237,2,242.9615602493286,3,0.0057
0.1163,5,1,0.0002721027009393167,0,237.19264030456543,3,0.1163
0.1163,8,1,0.00023249999999999999,3,231.87593793869019,3,0.0338
0.0035,1,1,0.0005976901125709288,0,259.74925327301025,4,0.0035
0.0314,3,1,0.0005794474737780474,0,236.43058013916016,4,0.0314
0.0314,6,1,0.0005209188309203678,3,224.2310495376587,4,0.0238
0.134,1,1,9.961501876182148e-05,0,268.8704595565796,5,0.134
0.134,3,1,9.657457896300791e-05,2,258.66028785705566,5,0.0067
0.134,4,1,9.397114317029975e-05,3,253.36419200897217,5,0.006
0.0753,1,1,0.00013946102626655004,0,269.01420497894287,6,0.0753
0.0753,3,1,0.00013520441054821106,2,254.93485260009766,6,0.0048
0.0753,4,1,0.00013155960043841964,3,249.11471223831177,6,0.0042
0.1285,1,1,9.961501876182148e-05,0,269.5170259475708,7,0.1285
0.1285,3,1,9.657457896300791e-05,2,259.8989734649658,7,0.006
0.1285,4,1,9.397114317029975e-05,3,254.54212188720703,7,0.0048
0.028,1,1,0.004482675844281966,0,238.51942586898804,8,0.028
0.0472,3,1,0.004345856053335356,0,197.53406238555908,8,0.0472
0.0472,6,1,0.003906891231902758,3,181.21071529388428,8,0.0468
