best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0112,1,1,0.0008972479188480789,0,449.52650260925293,1,0.0112
0.0141,2,1,0.0008955316873429186,0,398.52843141555786,1,0.0141
0.0141,3,1,0.0008926767073951657,1,374.0828251838684,1,0.0131
0.0141,8,1,0.0008617152657622915,6,312.2967734336853,1,0.0137
0.01,1,1,0.000622877898222032,0,457.28409481048584,2,0.01
0.0134,3,1,0.0006197045204717949,1,386.93190336227417,2,0.013
0.0139,7,1,0.0006040170025185023,0,340.08093547821045,2,0.0139
0.0139,10,1,0.0005844449433177384,3,312.5911650657654,2,0.0133
0.0139,13,1,0.0005587198463567133,6,283.23709630966187,2,0.0134
0.0104,1,1,0.0006266011828871964,0,456.30004596710205,3,0.0104
0.0134,3,1,0.0006234088361082813,1,385.1908869743347,3,0.0128
0.0143,7,1,0.0006076275452097668,0,336.7004270553589,3,0.0143
0.0143,10,1,0.00058793849301873,3,305.92642974853516,3,0.0133
0.0143,13,1,0.0005620596229678292,6,272.4162049293518,3,0.0129
0.0113,1,1,0.0007715894521988174,0,451.9221878051758,4,0.0113
0.014,3,1,0.0007676584332833692,1,377.62924671173096,4,0.0128
0.0147,7,1,0.0007482255341252981,0,327.21827507019043,4,0.0147
0.0147,10,1,0.0007239806628909408,3,291.03150177001953,4,0.0139
0.0147,13,1,0.0006921137215071202,6,250.2408425807953,4,0.0131
0.0113,1,1,0.0008447786666450445,0,450.8492383956909,5,0.0113
0.0139,3,1,0.0008404747704363999,1,375.96495628356934,5,0.013
0.014,7,1,0.0008191985611867523,0,326.6499695777893,5,0.014
0.014,10,1,0.0007926539396448503,3,291.8623733520508,5,0.0138
0.014,13,1,0.0007577642555316685,6,252.72660326957703,5,0.0125
0.0113,1,1,0.0008476858674296999,0,450.7729740142822,6,0.0113
0.0139,3,1,0.0008433671598971797,1,375.85586500167847,6,0.013
0.0141,7,1,0.0008220177312177959,0,326.53460121154785,6,0.0141
0.0141,10,1,0.000795381759660059,3,291.68945121765137,6,0.0137
0.0141,13,1,0.0007603720070354018,6,252.46628737449646,6,0.0126
0.0113,1,1,0.0008172379808289164,0,450.6522374153137,7,0.0113
0.0139,3,1,0.0008130743962284451,1,375.70911693573,7,0.0128
0.0144,7,1,0.0007924918140996502,0,324.3543128967285,7,0.0144
0.0144,10,1,0.0007668125755401296,3,286.2174458503723,7,0.014
0.0144,13,1,0.000733060332352393,6,242.67721939086914,7,0.0135
0.0117,1,1,0.001165472882876112,0,443.38096809387207,8,0.0117
0.0137,2,1,0.001163243597928235,0,389.3285050392151,8,0.0137
0.0137,3,1,0.0011595351449573627,1,366.5242519378662,8,0.0127
0.0137,8,1,0.0011193180322955766,6,296.9219493865967,8,0.0129
0.0103,1,1,0.000641092656666598,0,456.67544651031494,9,0.0103
0.0134,3,1,0.0006378264801361522,1,385.74521589279175,9,0.013
0.0141,7,1,0.0006216802136048002,0,338.7330722808838,9,0.0141
0.0141,10,1,0.0006015358105600465,3,310.5816149711609,9,0.0134
0.0141,13,1,0.0005750584370638519,6,280.3572373390198,9,0.0133
