best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0082,1,1,0.0008469226158857446,0,356.7653350830078,1,0.0082
0.0127,3,1,0.0008426077968929756,0,308.6998043060303,1,0.0127
0.0135,5,1,0.0008340270475307399,0,285.296275138855,1,0.0135
0.0135,10,1,0.000794665602437885,5,258.68956327438354,1,0.0131
0.0135,11,1,0.0007838959792508363,6,255.00864028930664,1,0.0128
0.0101,1,1,0.0011918207615019272,0,351.8401207923889,2,0.0101
0.0127,3,1,0.001185748788973095,0,297.2071170806885,2,0.0127
0.0135,7,1,0.0011557321361964643,0,262.9806823730469,2,0.0135
0.0135,10,1,0.001118282763586842,3,249.24490404129028,2,0.0123
0.0135,13,1,0.0010690601073691207,6,236.9668960571289,2,0.0119
0.0083,1,1,0.0008888524332476266,0,356.43708896636963,3,0.0083
0.0128,3,1,0.0008843239942984143,0,307.75659561157227,3,0.0128
0.0136,5,1,0.0008753184254227566,0,284.7729320526123,3,0.0136
0.0136,10,1,0.0008340082565942426,5,259.00309705734253,3,0.0128
0.0136,11,1,0.0008227054461657397,6,255.4306344985962,3,0.0127
0.008,1,1,0.0007109693932527603,0,359.24310302734375,4,0.008
0.0121,3,1,0.0007073472155192302,0,314.48374462127686,4,0.0121
0.0134,9,1,0.0006753599769478466,0,267.58922719955444,4,0.0134
0.0134,10,1,0.0006671009967223763,1,263.7437596321106,4,0.0131
0.0134,15,1,0.0006146227613454884,6,247.9737205505371,4,0.0124
0.0081,1,1,0.0005074274767875674,0,364.79494428634644,5,0.0081
0.0109,3,1,0.0005048422846186158,0,326.03248167037964,5,0.0109
0.0136,9,1,0.0004820126045905914,0,279.4881434440613,5,0.0136
0.0136,10,1,0.00047611807025983027,1,275.5113306045532,5,0.0133
0.0136,15,1,0.0004386637173491821,6,260.91539669036865,5,0.0131
0.0078,1,1,0.000620024927727027,0,361.704794883728,6,0.0078
0.0117,3,1,0.0006168660850134588,0,319.74034881591797,6,0.0117
0.0139,5,1,0.0006105841905364766,0,296.9170594215393,6,0.0139
0.0139,10,1,0.0005817680074624128,5,269.38723611831665,6,0.013
0.0139,11,1,0.0005738836568582981,6,265.94514656066895,6,0.0131
0.0082,1,1,0.0007681674162242279,0,358.5519165992737,7,0.0082
0.0124,3,1,0.000764253831564921,0,312.77161407470703,7,0.0124
0.0138,5,1,0.0007564710047242861,0,289.5922451019287,7,0.0138
0.0138,10,1,0.0007207697741647409,5,263.2043385505676,7,0.0131
0.0138,11,1,0.0007110016165289318,6,259.7592625617981,7,0.0132
0.0087,1,1,0.0010465948901312856,0,353.76979541778564,8,0.0087
0.0127,3,1,0.0010412628002508535,0,301.4668378829956,8,0.0127
0.0135,7,1,0.0010149037398706018,0,266.19587659835815,8,0.0135
0.0135,10,1,0.0009820176522323393,3,252.7842721939087,8,0.0123
0.0135,13,1,0.0009387928804040355,6,241.29668045043945,8,0.0119
0.0084,1,1,0.000983074474562818,0,355.01446294784546,9,0.0084
0.013,3,1,0.0009780660023192072,0,304.32364082336426,9,0.013
0.0136,5,1,0.0009681058058237896,0,281.68048334121704,9,0.0136
0.0136,10,1,0.0009224165879107428,5,256.36070919036865,9,0.0126
0.0136,11,1,0.0009099156327381444,6,252.70629930496216,9,0.0125
0.0081,1,1,0.0007339297994793716,0,359.13189220428467,10,0.0081
0.0122,3,1,0.0007301906453007567,0,314.05690908432007,10,0.0122
0.0137,5,1,0.0007227547030544605,0,290.9245491027832,10,0.0137
0.0137,10,1,0.0006886446946990874,5,264.2662582397461,10,0.0129
0.0137,11,1,0.0006793119088720462,6,260.81174516677856,10,0.0132
