best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0064,1,1,0.0003568033608655183,0,377.5867033004761,1,0.0064
0.0082,3,1,0.0003549855537964082,0,346.23027896881104,1,0.0082
0.0126,10,1,0.0003347877980770684,0,306.55715799331665,1,0.0126
0.014,17,1,0.000295581052326027,0,286.53684520721436,1,0.014
0.014,23,1,0.00025087055584675804,6,277.1583752632141,1,0.0135
0.0064,1,1,0.00025489047014566786,0,382.1277332305908,2,0.0064
0.007,3,1,0.00025359187896268227,0,349.69416189193726,2,0.007
0.0115,10,1,0.00023916315990941562,0,317.9880928993225,2,0.0115
0.014,21,1,0.00019047069913497266,0,290.70668268203735,2,0.014
0.014,27,1,0.00015551265494364956,6,282.9170355796814,2,0.0136
0.0064,1,1,0.00031581808034797994,0,379.4311456680298,3,0.0064
0.0078,3,1,0.0003142090811008408,0,347.6062970161438,3,0.0078
0.0122,10,1,0.0002963314007360991,0,311.0670886039734,3,0.0122
0.0139,23,1,0.00022205356241926198,0,281.29085969924927,3,0.0139
0.0139,29,1,0.0001775964717929109,6,275.2082028388977,3,0.0136
0.0064,1,1,0.0005437703633719064,0,370.91827726364136,4,0.0064
0.0096,3,1,0.0005410000149981909,0,340.12625074386597,4,0.0096
0.0138,10,1,0.0005102185197225845,0,291.30079412460327,4,0.0138
0.014,17,1,0.0004504672148807302,0,273.1630630493164,4,0.014
0.014,23,1,0.00038232816243992694,6,265.42627716064453,4,0.0135
0.0071,1,1,0.0006702628863229584,0,367.27175521850586,5,0.0071
0.0107,3,1,0.000666848096142831,0,333.8353781700134,5,0.0107
0.0138,10,1,0.0006289061720173091,2,282.74879693984985,5,0.0138
0.0146,28,1,0.000392960161767302,0,254.73913717269897,5,0.0146
0.0146,34,1,0.0002972520954979433,6,250.93911457061768,5,0.0141
0.0063,1,1,0.00041890931563418944,0,375.1127915382385,6,0.0063
0.0085,3,1,0.0004167750971856056,0,344.39003562927246,6,0.0085
0.0133,10,1,0.00039306167698347866,0,300.84374618530273,6,0.0133
0.014,17,1,0.0003470305213604721,0,281.1847171783447,6,0.014
0.014,23,1,0.0002945376204069559,6,272.4121217727661,6,0.0136
0.0067,1,1,0.0005813462769508308,0,369.4897608757019,7,0.0067
0.0098,3,1,0.0005783844904663129,0,337.77843046188354,7,0.0098
0.0145,10,1,0.0005454759156655667,0,287.51242685317993,7,0.0145
0.0145,16,1,0.0004923248630406762,6,271.6703791618347,7,0.0136
0.0064,1,1,0.0002958286034271219,0,380.38005113601685,8,0.0064
0.0076,3,1,0.00029432144462331934,0,348.3301668167114,8,0.0076
0.0122,10,1,0.0002775753191038725,0,313.4381356239319,8,0.0122
0.0141,17,1,0.0002450686834816134,0,293.5291395187378,8,0.0141
0.0141,23,1,0.00020799884282789662,6,283.5690321922302,8,0.0138
0.0063,1,1,0.0005067448389213928,0,371.6900420188904,9,0.0063
0.0088,3,1,0.0005041631245894654,0,340.83389472961426,9,0.0088
0.0141,10,1,0.00047547755267180576,0,292.4740467071533,9,0.0141
0.0142,14,1,0.00044654881833883046,0,279.8977632522583,9,0.0142
0.0142,20,1,0.00038945269298139545,6,269.25736379623413,9,0.0136
0.0065,1,1,0.000561017629127579,0,370.3708305358887,10,0.0065
0.0098,3,1,0.0005581594110613319,0,339.3006134033203,10,0.0098
0.0141,10,1,0.000526401590731739,0,290.00672674179077,10,0.0141
0.0141,16,1,0.00047510913611131794,6,274.0316529273987,10,0.0133
