best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0119,1,1,0.00037034399563223895,0,468.3411674499512,1,0.0119
0.0164,3,1,0.0003696731214400961,0,410.6642642021179,1,0.0164
0.0175,10,1,0.0003621051449102493,6,345.59478998184204,1,0.0166
0.0181,16,1,0.00034939954758447106,0,313.6288094520569,1,0.0181
0.0181,26,1,0.00031683782803331616,10,264.4661011695862,1,0.0172
0.0124,1,1,0.0006056297895933382,0,458.7330803871155,2,0.0124
0.0172,3,1,0.0006046546213514728,1,389.016836643219,2,0.0171
0.0179,10,1,0.0005936539740564619,2,319.74929428100586,2,0.0169
0.0189,14,1,0.0005822308089305101,0,286.5078706741333,2,0.0189
0.0189,24,1,0.0005388123387140308,10,204.9652225971222,2,0.0169
0.0111,1,1,0.00025516688111016267,0,475.78920793533325,3,0.0111
0.015,3,1,0.0002547560184955585,0,425.8686180114746,3,0.015
0.0174,10,1,0.00025012117240856915,1,359.48289918899536,3,0.0162
0.0177,15,1,0.0002438697876083021,0,335.84934186935425,3,0.0177
0.0177,25,1,0.0002247426517352827,10,293.6568531990051,3,0.0171
0.0126,1,1,0.00044814406363841256,0,464.4714856147766,4,0.0126
0.0176,3,1,0.00044742247453208057,0,401.60068702697754,4,0.0176
0.0185,7,1,0.000443829045223911,0,355.4433364868164,4,0.0185
0.0185,10,1,0.00043928239479004976,3,334.4952607154846,4,0.0177
0.0185,17,1,0.0004227716465618926,10,287.33316469192505,4,0.0179
0.0111,1,1,0.0002446315012184855,0,476.781436920166,5,0.0111
0.0148,3,1,0.0002442376023795457,0,427.59181547164917,5,0.0148
0.0174,10,1,0.00023979412072062573,1,361.7099266052246,5,0.0166
0.0178,18,1,0.00022914389228299636,0,326.2929849624634,5,0.0178
0.0178,28,1,0.00020852211176775143,10,288.0965270996094,5,0.0166
0.011,1,1,0.00022733974633961314,0,478.3483409881592,6,0.011
0.0142,3,1,0.00022692792281751937,0,430.01691246032715,6,0.0142
0.0173,9,1,0.00022324633842433727,0,369.7272229194641,6,0.0173
0.0173,10,1,0.00022228223695548092,1,364.4795923233032,6,0.0165
0.0173,19,1,0.00020934878098371,10,325.98936700820923,6,0.017
0.0128,1,1,0.0006580080258075174,0,457.0709671974182,7,0.0128
0.0174,3,1,0.0006567498146513838,1,385.70145177841187,7,0.017
0.0179,10,1,0.0006425562257330272,2,315.00773668289185,7,0.0172
0.0193,12,1,0.0006357711900196088,0,297.4119544029236,7,0.0193
0.0193,22,1,0.0005850242286846545,10,212.16937446594238,7,0.0169
0.013,1,1,0.0006309907417284473,0,457.9530839920044,8,0.013
0.0174,3,1,0.0006297841917176242,1,386.8857536315918,8,0.0174
0.0186,10,1,0.0006161733802257863,3,315.5655941963196,8,0.0177
0.0196,16,1,0.0005933226896336118,0,259.9433650970459,8,0.0196
0.0196,26,1,0.0005347612729969465,10,170.5581829547882,8,0.0162
0.0131,1,1,0.000637445316036236,0,456.80384159088135,9,0.0131
0.0177,3,1,0.000636226423900266,1,384.843590259552,9,0.0173
0.0181,10,1,0.0006224763837504565,6,307.5588035583496,9,0.0178
0.0186,11,1,0.0006193331630442586,0,297.1462821960449,9,0.0186
0.0186,21,1,0.0005728020572741876,10,188.5811948776245,9,0.0156
