best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0118,1,1,0.0003702546064525419,0,483.18984746932983,1,0.0118
0.0131,3,1,0.00036958389418794324,0,435.9145259857178,1,0.0131
0.0186,10,1,0.0003620177443252544,0,367.8215551376343,1,0.0186
0.0191,11,1,0.0003602881436364208,0,362.83363151550293,1,0.0191
0.0191,21,1,0.00033468375879847117,10,329.5845069885254,1,0.0179
0.0094,1,1,0.0002635114512345886,0,492.08698415756226,2,0.0094
0.0126,3,1,0.00026303410305545695,0,447.56838512420654,2,0.0126
0.0174,10,1,0.0002576492486989425,0,385.54932498931885,2,0.0174
0.0182,16,1,0.0002486088148601208,0,361.25213050842285,2,0.0182
0.0182,26,1,0.00022544012284725216,10,338.04235887527466,2,0.0169
0.0105,1,1,0.00041289673894272634,0,481.6998405456543,3,0.0105
0.0155,3,1,0.00041214878091061697,0,433.1272773742676,3,0.0155
0.0188,6,1,0.00040963183157638613,0,393.1076412200928,3,0.0188
0.0188,10,1,0.0004037112394183233,4,365.181601524353,3,0.0177
0.0188,16,1,0.000389545761473481,10,342.27046489715576,3,0.0168
0.0106,1,1,0.0004143154525963073,0,481.3639717102051,4,0.0106
0.0151,3,1,0.0004135649245795689,0,430.1413207054138,4,0.0151
0.0186,7,1,0.0004098273828840467,0,381.6192874908447,4,0.0186
0.0186,10,1,0.00040509839168533673,3,362.92654371261597,4,0.0175
0.0186,17,1,0.0003879254895256336,10,335.8832588195801,4,0.0167
0.0115,1,1,0.0004509915063202107,0,479.9425950050354,5,0.0115
0.015,3,1,0.0004501745400239182,0,426.8205347061157,5,0.015
0.0186,7,1,0.0004461061434709165,0,377.8239526748657,5,0.0186
0.0186,10,1,0.00044095853227100486,3,358.97334718704224,5,0.0177
0.0186,17,1,0.0004222654495863955,10,331.6052408218384,5,0.016
0.0102,1,1,0.0003092782583091324,0,488.19279623031616,6,0.0102
0.0136,3,1,0.0003087180040478576,0,442.04416036605835,6,0.0136
0.0178,10,1,0.00030239790536209496,1,376.39286613464355,6,0.0174
0.0181,14,1,0.0002958350614708523,0,358.72325563430786,6,0.0181
0.0181,24,1,0.00027089025511591654,10,331.6813750267029,6,0.0165
0.0117,1,1,0.0005898938075518593,0,474.89686727523804,7,0.0117
0.0162,3,1,0.0005888252212206138,0,416.1548867225647,7,0.0162
0.0184,7,1,0.0005835037863384743,0,367.31778144836426,7,0.0184
0.0184,10,1,0.0005767707460750587,3,349.49674224853516,7,0.0174
0.0184,17,1,0.0005523203216986034,10,321.8253974914551,7,0.0168
0.0111,1,1,0.0006674084909580705,0,471.48920822143555,8,0.0111
0.0169,3,1,0.000666199487605832,0,410.07756900787354,8,0.0169
0.019,10,1,0.0006525610005371585,0,342.7205333709717,8,0.019
0.019,20,1,0.0006090625500844186,10,299.98406982421875,8,0.0173
0.0119,1,1,0.0007731646175124432,0,469.24218940734863,9,0.0119
0.018,3,1,0.0007717640380666185,0,402.86007165908813,9,0.018
0.0188,6,1,0.0007670509561123222,0,363.4392008781433,9,0.0188
0.0188,10,1,0.0007559644254144598,4,337.69808769226074,9,0.0168
0.0188,16,1,0.0007294390370930369,10,308.9188756942749,9,0.0165
