best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0159,1,1,0.0004998178723661567,0,16.255123138427734,1,0.0159
0.0159,3,1,0.0004989124576293259,2,16.04492473602295,1,0.0159
0.0214,10,1,0.0004886986834845406,0,15.466293334960938,1,0.0214
0.0257,17,1,0.0004679818037108619,0,14.851687908172607,1,0.0257
0.0257,23,1,0.0004426235299999698,6,14.326436519622803,1,0.0251
0.0159,1,1,0.0005166462790206057,0,16.257487297058105,2,0.0159
0.0159,3,1,0.0005157103798048783,2,16.01474666595459,2,0.0159
0.0159,7,1,0.0005110497112307873,6,15.636697769165039,2,0.0159
0.0173,1,1,0.0002907501993688413,0,16.248513221740723,3,0.0173
0.0181,3,1,0.00029022350848842367,0,16.105463981628418,3,0.0181
0.0181,9,1,0.0002855150427953554,6,15.78131103515625,3,0.0169
0.0159,1,1,0.00023091284512527293,0,16.263691902160645,4,0.0159
0.0159,3,1,0.00023049454897289612,2,16.153307914733887,4,0.0159
0.0159,7,1,0.0002284114830836586,6,15.98534870147705,4,0.0159
0.0159,1,1,0.0005529977862334408,0,16.26313591003418,5,0.0159
0.0159,3,1,0.0005519960366506974,2,16.038392066955566,5,0.0159
0.0208,10,1,0.000540695531399823,1,15.395945072174072,5,0.0208
0.0251,14,1,0.0005289609912381757,0,15.019607067108154,5,0.0251
0.0251,20,1,0.0005046538161222429,6,14.43751573562622,5,0.0238
0.0159,1,1,0.00020953593468533294,0,16.273621559143066,6,0.0159
0.0159,3,1,0.00020915636257787392,2,16.172346115112305,6,0.0159
0.0159,7,1,0.00020726613790078539,6,16.032560348510742,6,0.0159
0.0159,1,1,0.00024547372372231527,0,16.272306442260742,7,0.0159
0.0159,3,1,0.00024502905069389647,2,16.155659675598145,7,0.0159
0.0159,7,1,0.00024281463104862874,6,15.992158889770508,7,0.0159
0.0159,1,1,0.0003343334704050059,0,16.266865730285645,8,0.0159
0.0159,3,1,0.0003337278288946545,2,16.129826545715332,8,0.0159
0.0159,7,1,0.00033071180504611877,6,15.904943466186523,8,0.0159
0.0159,1,1,0.00018875410850475197,0,16.260225296020508,9,0.0159
0.0159,3,1,0.0001884121824534315,2,16.16370677947998,9,0.0159
0.0159,7,1,0.00018670943073051903,6,16.02739143371582,9,0.0159
0.0159,1,1,0.0003092813894103702,0,16.26288890838623,10,0.0159
0.0159,3,1,0.000308721129477139,2,16.129165649414062,10,0.0159
0.0159,7,1,0.0003059311005720462,6,15.921613216400146,10,0.0159
0.0159,1,1,0.00026292973068822647,0,16.2562255859375,11,0.0159
0.0159,3,1,0.00026245343628965073,2,16.14003849029541,11,0.0159
0.0159,7,1,0.00026008154592137815,6,15.97202730178833,11,0.0159
0.0159,1,1,0.0002442166796519832,0,16.263758659362793,12,0.0159
0.0159,3,1,0.0002437742837454703,2,16.15773582458496,12,0.0159
0.0159,7,1,0.000241571203900822,6,15.994873046875,12,0.0159
