best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0041,1,2.099900484085083,1,0.0006534109473311371,0,48.720272064208984,1,0.0041
0.0144,3,1.1303911209106445,1,0.0006522273003796596,0,45.62356615066528,1,0.0144
0.0316,10,1.206068754196167,1,0.0006388748530008245,0,37.440125465393066,1,0.0316
0.062,21,1.1178333759307861,1,0.0005906368971020091,0,29.44236183166504,1,0.062
0.062,31,0.9968063831329346,1,0.0005223662113480825,10,24.862565517425537,1,0.06
0.0039,1,1.4244916439056396,1,0.0006031485671517317,0,48.75650691986084,2,0.0039
0.0139,3,1.1633548736572266,1,0.0006020559699650559,0,45.86295223236084,2,0.0139
0.0301,10,1.2094111442565918,1,0.0005897306339151965,0,38.10583305358887,2,0.0301
0.0618,23,1.1964764595031738,1,0.0005341300555005925,0,29.216310501098633,2,0.0618
0.0618,33,1.0090599060058594,1,0.00046754606487499996,10,25.094046115875244,2,0.0616
0.0041,1,1.307487964630127,1,0.0007413701131449833,0,48.656253814697266,3,0.0041
0.0152,3,1.1574442386627197,1,0.0007400271291041973,0,45.21642541885376,3,0.0152
0.0342,10,1.1216351985931396,1,0.0007248772368894397,0,36.35136127471924,3,0.0342
0.0632,21,1.153839349746704,1,0.0006701457100170196,0,28.086705684661865,3,0.0632
0.0632,31,1.0176358222961426,1,0.0005926847396604517,10,23.26538062095642,3,0.0601
0.0016,1,1.4297866821289062,1,0.0004397958300690041,0,48.8708553314209,4,0.0016
0.0093,3,1.1730363368988037,1,0.00043899914462065045,0,46.67526865005493,4,0.0093
0.0214,10,1.2090263366699219,1,0.00043001192042060735,0,40.4915771484375,4,0.0214
0.0624,25,1.20345139503479,1,0.0003808015581182839,0,31.5619797706604,4,0.0624
0.0624,35,1.0097711086273193,1,0.00032984682531501567,10,28.182021617889404,4,0.0604
0.0047,1,1.431199550628662,1,0.0008167636844138647,0,48.601083755493164,5,0.0047
0.0154,3,1.11777663230896,1,0.0008152841257240652,0,44.88106155395508,5,0.0154
0.0402,10,1.1268069744110107,1,0.0007985935664954137,0,35.490466594696045,5,0.0402
0.0622,17,1.1507527828216553,1,0.0007647396449191298,0,29.49795436859131,5,0.0622
0.0622,27,0.99190354347229,1,0.0006900662746583668,10,23.790757417678833,5,0.0595
0.004,1,1.4014348983764648,1,0.0006282797572414344,0,48.73842811584473,6,0.004
0.014,3,1.1982109546661377,1,0.0006271416351723579,0,45.74265480041504,6,0.014
0.0308,10,1.1950056552886963,1,0.0006143027434580106,0,37.76893854141235,6,0.0308
0.0615,21,1.156346082687378,1,0.0005679200935411095,0,29.85401964187622,6,0.0615
0.0615,31,0.9008808135986328,1,0.0005022752033730148,10,25.343319416046143,6,0.0597
0.0021,1,1.322916030883789,1,0.0005151894013378857,0,48.818843841552734,7,0.0021
0.0124,3,1.18534255027771,1,0.0005142561412405183,0,46.29314708709717,7,0.0124
0.0247,10,1.2077314853668213,1,0.0005037282500265815,0,39.34592342376709,7,0.0247
0.0629,23,1.113576889038086,1,0.0004562360892763199,0,30.853336811065674,7,0.0629
0.0629,33,0.9166600704193115,1,0.0003993622639250001,10,26.977250576019287,7,0.0588
0.0038,1,1.3246605396270752,1,0.000565451781517291,0,48.783413887023926,8,0.0038
0.0134,3,1.1137008666992188,1,0.000564427471655122,0,46.045488357543945,8,0.0134
0.0281,10,1.170283555984497,1,0.0005528724691122094,0,38.6258225440979,8,0.0281
0.0625,33,1.0639173984527588,1,0.000438324435675,0,25.88002586364746,8,0.0625
0.0625,43,1.0137546062469482,1,0.0003631944965964107,10,22.942743062973022,8,0.0571
0.0035,1,1.269449234008789,1,0.0006911077329655778,0,48.69291400909424,9,0.0035
0.015,3,1.1148362159729004,1,0.0006898557986895936,0,45.44716548919678,9,0.015
0.0324,10,1.0685112476348877,1,0.0006757330178038116,0,36.96210527420044,9,0.0324
0.0625,23,1.145148754119873,1,0.0006120240217248653,0,27.735495567321777,9,0.0625
0.0625,33,0.9961731433868408,1,0.000535729865825,10,23.366710662841797,9,0.061
