best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0079,1,2.0780510902404785,1,0.0006534109473311371,0,48.64873504638672,1,0.0079
0.0151,3,1.3445980548858643,1,0.0006522273003796596,0,45.60989475250244,1,0.0151
0.0468,10,1.3513364791870117,1,0.0006388748530008245,0,37.34181451797485,1,0.0468
0.0815,44,1.3219919204711914,1,0.00041052765762864484,0,20.161505937576294,1,0.0815
0.0815,54,1.1422655582427979,1,0.00031760244276520243,10,17.796976327896118,1,0.0773
0.0071,1,1.4704761505126953,1,0.0006031485671517317,0,48.68740653991699,2,0.0071
0.0148,3,1.1736621856689453,1,0.0006020559699650559,0,45.83668756484985,2,0.0148
0.0444,10,1.2580573558807373,1,0.0005897306339151965,0,38.01173686981201,2,0.0444
0.0809,51,1.2198231220245361,1,0.0003188894242646169,0,19.64421033859253,2,0.0809
0.0809,61,1.175910234451294,1,0.00023491999851642053,10,17.846906423568726,2,0.0771
0.0095,1,1.4219553470611572,1,0.0007413701131449833,0,48.58132743835449,3,0.0095
0.016,3,1.1899468898773193,1,0.0007400271291041973,0,45.229443073272705,3,0.016
0.0517,10,1.1773746013641357,1,0.0007248772368894397,0,36.25784921646118,3,0.0517
0.0812,42,1.2748427391052246,1,0.00048651686842224724,0,18.778777837753296,3,0.0812
0.0812,52,1.2170965671539307,1,0.0003814008735916885,10,16.136306762695312,3,0.0765
0.0038,1,1.513582468032837,1,0.0004397958300690041,0,48.8118896484375,4,0.0038
0.0145,3,1.3411848545074463,1,0.00043899914462065045,0,46.62032127380371,4,0.0145
0.0378,10,1.3344054222106934,1,0.00043001192042060735,0,40.446598052978516,4,0.0378
0.0751,47,1.3207335472106934,1,0.0002576302844574606,0,24.90985631942749,4,0.0751
0.0751,57,1.043351411819458,1,0.0001952733383378994,10,23.081472396850586,4,0.0746
0.0105,1,1.501427412033081,1,0.0008167636844138647,0,48.5240797996521,5,0.0105
0.016,3,1.3677537441253662,1,0.0008152841257240652,0,44.9208288192749,5,0.016
0.0536,10,1.31099271774292,1,0.0007985935664954137,0,35.40910005569458,5,0.0536
0.0819,35,1.2699553966522217,1,0.0006125726755850291,0,19.843961000442505,5,0.0819
0.0819,45,1.04649019241333,1,0.0005016405923220076,10,16.34648609161377,5,0.0778
0.0074,1,1.3910884857177734,1,0.0006282797572414344,0,48.66807842254639,6,0.0074
0.015,3,1.199767827987671,1,0.0006271416351723579,0,45.7224817276001,6,0.015
0.0463,10,1.2811870574951172,1,0.0006143027434580106,0,37.67196035385132,6,0.0463
0.081,40,1.1992957592010498,1,0.00042959827211688735,0,21.829226970672607,6,0.081
0.081,50,1.1488008499145508,1,0.00034114543624559217,10,19.21413016319275,6,0.0797
0.0053,1,1.4650750160217285,1,0.0005151894013378857,0,48.75479316711426,7,0.0053
0.0147,3,1.306103229522705,1,0.0005142561412405183,0,46.249449253082275,7,0.0147
0.0405,10,1.2985224723815918,1,0.0005037282500265815,0,39.27611446380615,7,0.0405
0.0794,63,1.2133991718292236,1,0.0001870887214598194,0,20.065961837768555,7,0.0794
0.0794,73,1.0190677642822266,1,0.0001260803490922657,10,19.024269819259644,7,0.0783
0.0061,1,1.4239439964294434,1,0.000565451781517291,0,48.71635913848877,8,0.0061
0.0147,3,1.216057300567627,1,0.000564427471655122,0,46.011075019836426,8,0.0147
0.0422,10,1.32124662399292,1,0.0005528724691122094,0,38.53987503051758,8,0.0422
0.0805,48,1.3435068130493164,1,0.000323179073551032,0,21.246966123580933,8,0.0805
0.0805,58,1.153069019317627,1,0.00024324844750673246,10,19.369848489761353,8,0.0795
0.0088,1,1.5871212482452393,1,0.0006911077329655778,0,48.61979866027832,9,0.0088
0.0163,3,1.3608832359313965,1,0.0006898557986895936,0,45.44423770904541,9,0.0163
0.048,10,1.3863060474395752,1,0.0006757330178038116,0,36.86403703689575,9,0.048
0.0807,40,1.352555274963379,1,0.000472558099328576,0,20.465832471847534,9,0.0807
0.0807,50,1.172513484954834,1,0.00037525997987015135,10,17.735273599624634,9,0.0779
