early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_exposure_js,macro_1.route_consistency_feature_group_knn_exposure_score,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_memory_js,macro_1.route_consistency_feature_group_knn_memory_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0678,ok,0.1405,0.0683,1
True,34,1.0,1.0,0.0,0.060913123190402985,0.0,2.040161023332399,0.29384279251098633,0.1527564525604248,0.0,0.04605290365860601,1.3566047155269059,3.9915345441014636,0.7919282511210762,4.920499213836478,7.9704285089393,4.920499213836478,0.003376303978686063,0.996629389326347,0.003059990001174639,0.9969446869964907,0.0035696622897993845,0.9964368161222655,0.004355374372230386,0.9956540965159871,0.00348698080710645,0.9965190916502369,0.0010636854659086504,0.9989368800469495,0.0004924733175986898,0.9995077270501697,0.001580675630449499,0.9984205729793059,0.0,0.0,6.952706122248427,4.920499213836478,0.7811659192825112,0.0703,ok,0.1382,0.0738,2
True,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,ok,0.1429,0.069,3
True,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0643,ok,0.1452,0.0709,4
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0565,ok,0.1171,0.0408,5
True,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0606,ok,0.1054,0.0568,6
True,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0645,ok,0.0984,0.0626,7
True,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0613,ok,0.1429,0.0687,8
True,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,ok,0.1499,0.0773,9
True,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,ok,0.1499,0.0773,10
True,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0542,ok,0.0913,0.0416,11
True,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0695,ok,0.1499,0.073,12
True,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0679,ok,0.1522,0.0783,13
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0592,ok,0.1218,0.0674,14
True,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,ok,0.1335,0.0588,15
True,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0604,ok,0.1194,0.0653,16
True,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0688,ok,0.1522,0.076,17
True,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.067,ok,0.1499,0.0773,18
True,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0548,ok,0.1194,0.0618,19
True,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0605,ok,0.1311,0.0676,20
