early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_exposure_js,macro_1.route_consistency_feature_group_knn_exposure_score,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_memory_js,macro_1.route_consistency_feature_group_knn_memory_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0584,ok,0.1452,0.0622,1
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0481,ok,0.0984,0.0511,2
True,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0591,ok,0.1218,0.0516,3
True,81,1.0,1.0,0.0,0.10367404733079531,0.0,2.4495473948336532,0.23943258821964264,0.07715669274330139,0.0,0.07222850695813725,1.3661337746920985,3.9792409488672815,0.7852420558754531,3.6044943371658804,11.872392354976919,3.6044943371658804,0.0008211889356937048,0.9991791481476643,0.0017980665155926591,0.9982035490375688,0.0012154604349308793,0.9987853719526449,0.0014680206963101274,0.9985330563189809,0.0007745655921270263,0.9992257343063659,0.00037714721834134754,0.9996229238927308,0.0003123881248464375,0.999687702584406,0.000716883900030604,0.9992833729998397,0.0,0.0,7.948424602004717,3.6044943371658804,0.7852420558754531,0.0717,ok,0.1171,0.0655,4
True,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0497,ok,0.1311,0.055,5
True,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0615,ok,0.1288,0.0559,6
True,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0645,ok,0.1077,0.0625,7
True,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,ok,0.1358,0.0629,8
True,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0549,ok,0.1148,0.0571,9
True,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0489,ok,0.0984,0.0536,10
True,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0596,ok,0.1171,0.0514,11
True,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0681,ok,0.1194,0.0654,12
True,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0473,ok,0.0937,0.052,13
True,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0669,ok,0.1311,0.0702,14
True,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0544,ok,0.1171,0.0525,15
True,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,ok,0.1335,0.0727,16
True,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0656,ok,0.1124,0.0624,17
True,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0716,ok,0.1148,0.0653,18
True,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0708,ok,0.1382,0.0778,19
True,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,ok,0.1452,0.0627,20
