early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,26,0.0627,ok,0.1007,0.0594,1
True,37,0.0611,ok,0.1358,0.0581,2
True,43,0.0659,ok,0.1311,0.0555,3
True,26,0.0616,ok,0.1405,0.0548,4
True,88,0.0514,ok,0.1171,0.0446,5
True,23,0.0552,ok,0.1475,0.068,6
True,32,0.0684,ok,0.1358,0.0759,7
True,52,0.0726,ok,0.1311,0.0779,8
True,25,0.0681,ok,0.1335,0.0782,9
True,20,0.0543,ok,0.1288,0.0512,10
True,47,0.0638,ok,0.1288,0.0523,11
True,35,0.0657,ok,0.1335,0.0581,12
True,51,0.0723,ok,0.1382,0.078,13
True,21,0.0545,ok,0.1288,0.0506,14
True,33,0.0641,ok,0.1288,0.0542,15
False,100,0.0625,ok,0.1311,0.0521,16
True,39,0.0674,ok,0.1241,0.0739,17
True,47,0.0638,ok,0.1265,0.0539,18
True,52,0.0732,ok,0.1311,0.0781,19
True,79,0.0701,ok,0.1382,0.079,20
