early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_exposure_js,macro_1.route_consistency_feature_group_knn_exposure_score,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_memory_js,macro_1.route_consistency_feature_group_knn_memory_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0598,ok,0.1429,0.0576,1
True,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0668,ok,0.1335,0.0705,2
True,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0441,ok,0.0867,0.0366,3
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0483,ok,0.1218,0.0637,4
True,31,1.0,1.0,0.0,0.16890653816979667,0.0,2.3883784683295963,0.30325207114219666,0.10368739813566208,0.0,0.14413175711182735,1.3330032143357624,3.9185946213852967,0.7811659192825112,4.818490811713836,11.66714198340251,4.818490811713836,0.0014053255132159346,0.9985956614942734,0.0011748298534057426,0.9988258599890109,0.0012099431277071155,0.9987907953939645,0.0010944338714551625,0.9989061648028713,0.0011651832727516223,0.9988354952897025,0.0005584128622738821,0.9994417430211714,0.0006785108641949746,0.999321855566347,0.0012050653403660036,0.9987956604592967,0.0,0.0,8.148342914701258,4.818490811713836,0.7811659192825112,0.068,ok,0.1311,0.0714,5
True,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0572,ok,0.1429,0.0598,6
True,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0394,ok,0.082,0.0274,7
True,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0657,ok,0.1311,0.0727,8
True,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0589,ok,0.1452,0.0627,9
True,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0578,ok,0.1452,0.0604,10
True,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,ok,0.1311,0.0672,11
True,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0594,ok,0.1358,0.0593,12
True,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,ok,0.1382,0.0605,13
True,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0603,ok,0.1311,0.0589,14
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0568,ok,0.1382,0.0628,15
True,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,ok,0.1475,0.057,16
True,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0595,ok,0.1499,0.0621,17
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0561,ok,0.1358,0.0566,18
True,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0471,ok,0.1218,0.0547,19
True,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0576,ok,0.1218,0.0512,20
