early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_exposure_js,macro_1.route_consistency_feature_group_knn_exposure_score,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_memory_js,macro_1.route_consistency_feature_group_knn_memory_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0594,ok,0.1265,0.0713,1
True,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0627,ok,0.1358,0.0675,2
True,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0621,ok,0.1265,0.0724,3
True,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0589,ok,0.1288,0.0589,4
True,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0562,ok,0.1405,0.075,5
True,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0529,ok,0.1311,0.0552,6
True,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0711,ok,0.1405,0.0676,7
True,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0771,ok,0.1405,0.0749,8
False,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.047,ok,0.1241,0.049,9
True,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0685,ok,0.1382,0.0732,10
True,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0673,ok,0.1335,0.0697,11
True,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0748,ok,0.1335,0.0708,12
True,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0523,ok,0.1171,0.0558,13
True,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0648,ok,0.1358,0.0583,14
True,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0697,ok,0.1429,0.0668,15
False,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0542,ok,0.1288,0.0534,16
True,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0804,ok,0.1499,0.0765,17
True,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.074,ok,0.1311,0.0722,18
True,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0812,ok,0.1616,0.0791,19
True,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0639,ok,0.1288,0.075,20
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0834,ok,0.1593,0.0801,21
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0839,ok,0.1686,0.0797,22
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0854,ok,0.1639,0.0821,23
True,25,1.0,1.0,0.0,0.11355952952624769,0.0,2.4597761350896863,0.3620515465736389,0.12852047383785248,0.0,0.08892243389591507,1.377182485811379,3.9686185827457083,0.8428251121076233,3.6982084070361636,11.84722034896489,3.6982084070361636,0.0010898705548460378,0.9989107231383646,0.001494161362917918,0.9985069543404218,0.0011250454018700798,0.9988756235417402,0.0011790053649518475,0.9988216893888071,0.0007371443247645156,0.9992631272993671,0.0003032814594184828,0.9996967645257544,0.0002871392728210245,0.9997129351846733,0.0005520212481606681,0.9994481310875364,0.0,0.0,6.028005847091195,3.6982084070361636,0.7811659192825112,0.0865,ok,0.1616,0.0822,24
