early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,47,0.0706,ok,0.1382,0.0742,1
True,25,0.0654,ok,0.1429,0.0645,2
True,59,0.056,ok,0.1358,0.0485,3
True,93,0.061,ok,0.1358,0.0533,4
True,79,0.0652,ok,0.1358,0.0607,5
True,53,0.0707,ok,0.1546,0.0769,6
True,79,0.0679,ok,0.1265,0.0722,7
True,41,0.0691,ok,0.1194,0.0682,8
True,88,0.0602,ok,0.1382,0.0561,9
True,60,0.0584,ok,0.1382,0.0553,10
True,36,0.0634,ok,0.1429,0.0505,11
True,39,0.0543,ok,0.1405,0.0509,12
True,53,0.068,ok,0.1335,0.0718,13
True,26,0.0559,ok,0.082,0.0515,14
True,87,0.0687,ok,0.1288,0.0704,15
True,31,0.0682,ok,0.1405,0.069,16
True,21,0.0627,ok,0.1241,0.0626,17
True,59,0.062,ok,0.1429,0.057,18
True,51,0.071,ok,0.1475,0.0731,19
True,21,0.0599,ok,0.1241,0.0647,20
True,31,0.0616,ok,0.1077,0.0622,21
True,31,0.0647,ok,0.1358,0.0698,22
True,27,0.0601,ok,0.1171,0.0632,23
True,31,0.0643,ok,0.1358,0.07,24
