early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,21,0.0652,ok,0.1452,0.0717,1
True,55,0.0517,ok,0.1054,0.0452,2
True,45,0.0776,ok,0.1382,0.0692,3
True,51,0.06,ok,0.1241,0.0448,4
True,45,0.0612,ok,0.1311,0.055,5
False,100,0.0681,ok,0.1452,0.0705,6
True,25,0.0625,ok,0.1452,0.0621,7
True,23,0.0201,ok,0.0211,0.0122,8
True,32,0.0577,ok,0.1311,0.0514,9
True,20,0.0578,ok,0.1194,0.0533,10
True,32,0.0589,ok,0.1288,0.0542,11
True,51,0.0747,ok,0.1522,0.0756,12
True,96,0.0719,ok,0.1429,0.0691,13
True,46,0.074,ok,0.1382,0.0719,14
True,27,0.0606,ok,0.1358,0.0557,15
True,21,0.0701,ok,0.1616,0.0871,16
True,65,0.0594,ok,0.1241,0.0497,17
True,25,0.0614,ok,0.1382,0.0565,18
True,62,0.071,ok,0.1546,0.0744,19
True,33,0.0553,ok,0.1241,0.0503,20
True,31,0.0751,ok,0.1475,0.0735,21
True,37,0.0765,ok,0.1499,0.0765,22
True,21,0.073,ok,0.171,0.0785,23
True,36,0.0767,ok,0.1522,0.0785,24
