early_stopped,epochs_run,macro_1.alpha_effective,macro_1.alpha_value,macro_1.condition_norm,macro_1.cv_usage,macro_1.dead_expert_frac,macro_1.entropy_mean,macro_1.expert_similarity_max,macro_1.expert_similarity_mean,macro_1.factored_group_entropy_mean,macro_1.group_cv_usage,macro_1.group_entropy_mean,macro_1.group_n_eff,macro_1.group_top1_max_frac,macro_1.moe_delta_norm,macro_1.n_eff,macro_1.residual_delta_norm,macro_1.route_consistency_feature_group_knn_exposure_js,macro_1.route_consistency_feature_group_knn_exposure_score,macro_1.route_consistency_feature_group_knn_focus_js,macro_1.route_consistency_feature_group_knn_focus_score,macro_1.route_consistency_feature_group_knn_mean_js,macro_1.route_consistency_feature_group_knn_mean_score,macro_1.route_consistency_feature_group_knn_memory_js,macro_1.route_consistency_feature_group_knn_memory_score,macro_1.route_consistency_feature_group_knn_tempo_js,macro_1.route_consistency_feature_group_knn_tempo_score,macro_1.route_consistency_group_knn_js,macro_1.route_consistency_group_knn_score,macro_1.route_consistency_intra_group_knn_mean_js,macro_1.route_consistency_intra_group_knn_mean_score,macro_1.route_consistency_knn_js,macro_1.route_consistency_knn_score,macro_1.route_jitter_adjacent,macro_1.route_jitter_session,macro_1.shared_delta_norm,macro_1.stage_delta_norm,macro_1.top1_max_frac,mrr@20,status,test_hr@10,test_mrr@20,trial
True,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0827,ok,0.1478,0.0607,1
True,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0815,ok,0.138,0.0521,2
True,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0821,ok,0.1334,0.0519,3
True,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0799,ok,0.1371,0.0535,4
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0809,ok,0.1431,0.0578,5
True,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0821,ok,0.1385,0.0574,6
True,25,1.0,1.0,0.0,0.42823396837014055,0.0,1.9272745548768602,0.35779663920402527,0.03236158564686775,0.0,0.26051492682983785,1.293799167627851,3.7457813337596226,0.5060270322957957,7.741617651288541,10.140407814184572,7.741617651288541,0.04594839897454196,0.9550912446068198,0.011901736094882508,0.9881688094174377,0.02938758948405547,0.9711196228349175,0.03597667499231513,0.9646627939877929,0.023723547874482283,0.9765556433276199,0.0019614899482147735,0.9980404325160235,0.00398598066190394,0.996023339923438,0.006049696443490153,0.9939685661238173,0.0,0.0,8.100655595662678,7.741617651288541,0.38576255767106377,0.0838,ok,0.145,0.0553,7
True,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0825,ok,0.1417,0.0556,8
True,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0836,ok,0.1417,0.0564,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,fail,,,10
