best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0072,1,1,0.00027600202039199584,0,727.2791442871094,1,0.0072
0.0329,3,1,0.00027550204568025743,0,656.6455364227295,1,0.0329
0.0594,10,1,0.00026986194664489695,0,554.6156258583069,1,0.0594
0.0758,29,1,0.00022706982897985686,0,512.2906789779663,1,0.0758
0.0758,34,1,0.000210505299303421,5,507.0805506706238,1,0.0751
0.0068,1,1,0.00038620846543075245,0,719.9944124221802,2,0.0068
0.0394,3,1,0.00038550885292103085,0,628.9532427787781,2,0.0394
0.0642,10,1,0.000377616686080258,0,538.8086018562317,2,0.0642
0.0862,35,1,0.0002896563075919347,0,491.0294518470764,2,0.0862
0.0862,40,1,0.00026407740741869626,5,486.20145988464355,2,0.0852
0.0072,1,1,0.0002959914511043178,0,725.6409330368042,3,0.0072
0.0339,3,1,0.0002954552657523674,0,651.3523364067078,3,0.0339
0.0615,10,1,0.00028940668286345456,0,551.430869102478,3,0.0615
0.0776,29,1,0.0002435153484974498,0,509.94616508483887,3,0.0776
0.0776,34,1,0.0002257511336963216,5,504.7045431137085,3,0.0758
0.0072,1,1,0.00023579096031687278,0,730.9893426895142,4,0.0072
0.0267,3,1,0.00023536382751093346,0,666.9631700515747,4,0.0267
0.0578,10,1,0.00023054544116020634,0,560.199049949646,4,0.0578
0.0855,69,1,6.815298955224088e-05,0,489.919237613678,4,0.0855
0.0855,74,1,5.526690238391355e-05,5,488.7334871292114,4,0.0855
0.0117,1,1,0.0008584946387279184,0,707.815351486206,5,0.0117
0.0578,3,1,0.0008569394848601412,0,584.1761202812195,5,0.0578
0.0727,10,1,0.0008393961539204817,0,518.1795930862427,5,0.0727
0.0918,36,1,0.0006327996184840283,0,467.1316680908203,5,0.0918
0.0918,41,1,0.0005752472301565882,5,461.41710805892944,5,0.087
0.0069,1,1,0.0006575885318057142,0,711.4780340194702,6,0.0069
0.0508,3,1,0.0006563973172045853,0,596.4587297439575,6,0.0508
0.0685,10,1,0.0006429595009210888,0,524.5047965049744,6,0.0685
0.09,37,1,0.0004761068131024834,0,474.68868255615234,6,0.09
0.09,42,1,0.000431536027055806,5,469.5885605812073,6,0.088
0.0072,1,1,0.00024384597839493432,0,730.3688039779663,7,0.0072
0.0269,3,1,0.00024340425400978878,0,665.7322540283203,7,0.0269
0.0574,10,1,0.0002384212634303413,0,560.2375473976135,7,0.0574
0.0749,30,1,0.00019781014826644535,0,514.845465183258,7,0.0749
0.0749,35,1,0.00018288445760566491,5,509.9809579849243,7,0.0747
0.0072,1,1,0.00023758696866632667,0,731.1099185943604,8,0.0072
0.0267,3,1,0.00023715658241044697,0,667.895489692688,8,0.0267
0.0573,10,1,0.00023230149464374878,1,561.9015188217163,8,0.0569
0.0847,59,1,9.895026517630894e-05,0,496.7637748718262,8,0.0847
0.0847,64,1,8.321468737844742e-05,5,494.93300199508667,8,0.0827
0.0066,1,1,0.0006138289428005511,0,712.525881767273,9,0.0066
0.0481,3,1,0.0006127169982274734,0,600.4453735351562,9,0.0481
0.067,10,1,0.0006001734087883501,2,526.5377259254456,9,0.0665
0.09,29,1,0.0005050036694175216,0,486.8915648460388,9,0.09
0.09,34,1,0.0004681641284430242,5,480.7266492843628,9,0.0887
