best_mrr20,epoch,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.2706,1,1,0.0011031297668579387,0,1434.0219144821167,1,0.2706
0.3498,3,1,0.0011011314590687004,0,727.4480304718018,1,0.3498
0.3683,7,1,0.0010911801201230577,0,504.4997465610504,1,0.3683
0.3683,10,1,0.0010785890112811939,3,432.68919944763184,1,0.3537
0.3683,17,1,0.0010328655427574028,10,300.16294181346893,1,0.3261
0.2667,1,1,0.0010085770782475485,0,1444.377206325531,2,0.2667
0.3467,3,1,0.0010067500516437338,0,741.8014631271362,2,0.3467
0.3665,7,1,0.0009976516729579379,0,501.49629044532776,2,0.3665
0.3665,10,1,0.000986139787276714,3,427.67660307884216,2,0.354
0.3665,17,1,0.0009443354196705158,10,285.4796108007431,2,0.3263
0.2372,1,1,0.0007748303555275723,0,1493.7606287002563,3,0.2372
0.3292,3,1,0.0007734267586151264,0,834.5848240852356,3,0.3292
0.3685,7,1,0.0007664370102420134,0,527.2095060348511,3,0.3685
0.3685,10,1,0.0007575931066202158,3,459.0166621208191,3,0.3624
0.3685,17,1,0.0007254772736179457,10,327.49091148376465,3,0.3388
0.2149,1,1,0.0006846603550565904,0,1519.8791608810425,4,0.2149
0.3174,3,1,0.0006834201001368186,0,901.0367970466614,4,0.3174
0.3666,7,1,0.0006772437757727154,0,553.337648153305,4,0.3666
0.3666,10,1,0.0006694290713660155,3,484.9055461883545,4,0.3666
0.3666,17,1,0.000641050681865128,10,373.5172951221466,4,0.3491
0.2512,1,1,0.0008799527539231423,0,1473.179895401001,5,0.2512
0.3381,3,1,0.0008783587289089003,0,789.2313709259033,5,0.3381
0.3672,7,1,0.000870420670873006,0,515.0465226173401,5,0.3672
0.3672,10,1,0.0008603769015602604,3,445.4656980037689,5,0.3586
0.3672,17,1,0.0008239038652455678,10,305.7948375940323,5,0.3321
0.2617,1,1,0.0009271380098806632,0,1455.6454138755798,6,0.2617
0.3419,3,1,0.0009254585092792784,0,759.0325794219971,6,0.3419
0.3662,7,1,0.0009170947928218842,0,500.1137738227844,6,0.3662
0.3662,10,1,0.0009065124516100369,3,423.2161612510681,6,0.3519
0.3662,17,1,0.0008680836403444914,10,269.3634320497513,6,0.3243
