best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0136,1,24.156556129455566,1,0.0006871434417377024,0,677.1038422584534,1,0.0136
0.0171,3,22.752013683319092,1,0.0006858986887329316,1,567.8469562530518,1,0.017
0.0198,7,22.90874671936035,1,0.0006796999644319057,0,498.3795738220215,1,0.0198
0.0198,10,22.54293966293335,1,0.0006718569181060545,3,455.5836524963379,1,0.0191
0.0198,17,22.512910842895508,1,0.0006433756074991317,10,353.92514061927795,1,0.0175
0.0151,1,22.986356019973755,1,0.0009792320200307934,0,665.1004776954651,2,0.0151
0.0175,3,22.486514568328857,1,0.00097745815168648,1,553.447808265686,2,0.0167
0.0193,8,22.927821397781372,1,0.0009653271745799206,0,463.9518527984619,2,0.0193
0.0193,10,23.190585136413574,1,0.0009574475533447518,2,429.9631004333496,2,0.0183
0.0193,18,23.020012140274048,1,0.0009094857387426295,10,293.9546194076538,2,0.0153
0.0141,1,23.343531608581543,1,0.0008105254809813325,0,671.5574007034302,3,0.0141
0.0175,3,22.704549074172974,1,0.0008090572227304157,1,560.451434135437,3,0.0169
0.0184,7,23.415865659713745,1,0.0008017454684584779,0,489.6721992492676,3,0.0184
0.0184,10,22.849170923233032,1,0.000792494141138023,3,443.2485160827637,3,0.018
0.0184,17,22.22806692123413,1,0.0007588987859669453,10,332.0405390262604,3,0.017
0.014,1,22.781898260116577,1,0.0006751479463943165,0,677.6794266700745,4,0.014
0.0172,3,22.478052377700806,1,0.0006739249231012266,0,568.6727156639099,4,0.0172
0.0192,7,22.6596417427063,1,0.0006678344102215305,0,499.37699842453003,4,0.0192
0.0192,10,22.552018642425537,1,0.0006601282803238443,3,457.02922677993774,4,0.0186
0.0192,17,22.473602294921875,1,0.0006321441692941959,10,356.5658190250397,4,0.0165
0.014,1,23.12743639945984,1,0.0006111797001243287,0,680.8975386619568,5,0.014
0.0169,3,21.958133220672607,1,0.0006100725546260603,1,573.6775193214417,5,0.016
0.0196,8,22.661617279052734,1,0.0006025011039396652,0,491.53521823883057,5,0.0196
0.0196,10,22.490079879760742,1,0.0005975831024394157,2,465.1652503013611,5,0.0189
0.0196,18,22.319448232650757,1,0.0005676481259820263,10,357.61963176727295,5,0.0172
