best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0116,1,18.213321924209595,1,0.0004800467891316298,0,693.703607082367,1,0.0116
0.0178,3,17.399259090423584,1,0.0004791771895008874,0,596.8860692977905,1,0.0178
0.0186,5,16.81505036354065,1,0.0004774414918101958,0,554.4935631752014,1,0.0186
0.0186,10,16.331621885299683,1,0.0004693674372807268,5,500.0134611129761,1,0.0169
0.0186,15,17.004022359848022,1,0.0004561362458295925,10,458.1700806617737,1,0.0162
0.0115,1,17.50676989555359,1,0.0004675224229124288,0,694.4599571228027,2,0.0115
0.0179,3,16.681809902191162,1,0.00046667551103730953,0,598.5394945144653,2,0.0179
0.0186,5,16.7001895904541,1,0.0004649850975022799,0,555.9571676254272,2,0.0186
0.0186,10,16.62802791595459,1,0.00045712169413867704,5,501.7343854904175,2,0.017
0.0186,15,16.389787912368774,1,0.00044423570297010294,10,460.4966654777527,2,0.0163
0.0115,1,17.025663375854492,1,0.0004710380807225026,0,694.2470479011536,3,0.0115
0.0177,3,16.98924422264099,1,0.00047018480027081404,0,598.0715508460999,3,0.0177
0.0186,5,16.919473886489868,1,0.00046848167522665576,0,555.5457377433777,3,0.0186
0.0186,10,15.86683177947998,1,0.0004605591409335099,5,501.25864028930664,3,0.0169
0.0186,15,16.137733459472656,1,0.0004475762501655323,10,459.85933923721313,3,0.0162
0.0116,1,16.843589544296265,1,0.0003851843275244215,0,699.9752082824707,4,0.0116
0.017,3,16.29914689064026,1,0.00038448657022957755,0,610.758424282074,4,0.017
0.0186,6,15.042335271835327,1,0.000382138551111768,0,553.4495911598206,4,0.0186
0.0186,10,15.8289475440979,1,0.00037661533163856666,4,514.3180456161499,4,0.0175
0.0186,16,16.170654773712158,1,0.0003634005987970875,10,470.48215103149414,4,0.017
0.0116,1,16.40791416168213,1,0.0004885285588201151,0,693.200849533081,5,0.0116
0.0178,3,16.193618774414062,1,0.00048764359455418264,0,595.7996139526367,5,0.0178
0.0186,5,16.905129432678223,1,0.0004858772294610741,0,553.5394659042358,5,0.0186
0.0186,10,15.57645320892334,1,0.00047766051743962373,5,498.8815231323242,5,0.0169
0.0186,15,16.326049089431763,1,0.00046419554894605613,10,456.6370177268982,5,0.0162
0.0123,1,16.6684513092041,1,0.0005684620412008004,0,688.6941771507263,6,0.0123
0.0183,3,16.42134714126587,1,0.0005674322782853698,0,586.5779280662537,6,0.0183
0.0183,10,15.679259061813354,1,0.0005558157611103795,7,488.791871547699,6,0.0166
0.0183,13,15.993451833724976,1,0.0005471258749234471,10,460.75046825408936,6,0.0164
0.0113,1,16.918470859527588,1,0.0003979547504949293,0,699.0458841323853,7,0.0113
0.0168,3,17.10633873939514,1,0.00039723385971528554,0,608.7163953781128,7,0.0168
0.0185,5,15.629746198654175,1,0.0003957949809287338,0,565.3859758377075,7,0.0185
0.0185,10,15.853993892669678,1,0.00038910165763504076,5,512.2293567657471,7,0.0174
0.0185,15,15.252554178237915,1,0.0003781331112101984,10,474.39115047454834,7,0.0167
0.0113,1,16.81061553955078,1,0.00041618320116328073,0,697.7811298370361,8,0.0113
0.0169,3,16.452343463897705,1,0.00041542928973996415,0,605.9051995277405,8,0.0169
0.0188,5,15.454015731811523,1,0.00041392450262854434,0,562.7428288459778,8,0.0188
0.0188,10,16.405150175094604,1,0.00040692458941900115,5,509.4304246902466,8,0.0174
0.0188,15,15.899525165557861,1,0.0003954536250505104,10,470.76334047317505,8,0.0163
0.012,1,16.526213884353638,1,0.0005517115699199297,0,689.6119089126587,9,0.012
0.0182,3,16.812761545181274,1,0.000550712150304299,0,588.3780789375305,9,0.0182
0.0183,4,16.159371376037598,1,0.000549838758870418,0,564.2562375068665,9,0.0183
0.0183,10,16.406044483184814,1,0.0005394379288732996,6,490.8542776107788,9,0.0167
0.0183,14,16.12676978111267,1,0.0005277306820523548,10,454.581289768219,9,0.0164
0.0116,1,16.653499364852905,1,0.0005085028740730553,0,692.0406074523926,10,0.0116
0.0176,3,16.738828897476196,1,0.0005075817265484041,0,593.334415435791,10,0.0176
0.0185,5,16.35920262336731,1,0.0005057431406350701,0,551.3889141082764,10,0.0185
0.0185,10,16.195702075958252,1,0.0004971904744645819,5,496.2943730354309,10,0.0169
0.0185,15,16.508809804916382,1,0.0004831749679917998,10,453.1303176879883,10,0.0161
0.0114,1,16.588133096694946,1,0.00043823008936371555,0,696.3086433410645,11,0.0114
0.0173,3,16.67630171775818,1,0.0004374362402379246,0,602.632652759552,11,0.0173
0.0186,5,15.929078102111816,1,0.0004358517385365882,0,559.6757731437683,11,0.0186
0.0186,10,15.780396938323975,1,0.0004284810119364223,5,506.02241468429565,11,0.0173
0.0186,15,15.958721160888672,1,0.0004164023847207133,10,466.23846912384033,11,0.0164
0.0114,1,16.695931434631348,1,0.0004476378211784894,0,695.7020936012268,12,0.0114
0.0176,3,16.21632742881775,1,0.0004468269300470076,0,601.2852864265442,12,0.0176
0.0185,5,17.207390069961548,1,0.0004452084129564315,0,558.4368705749512,12,0.0185
0.0185,10,16.093512535095215,1,0.0004376794548226093,5,504.61055088043213,12,0.0171
0.0185,15,16.42000675201416,1,0.0004253415289227296,10,464.3514256477356,12,0.0164
0.0115,1,17.147457361221313,1,0.00045926871291521106,0,694.9708127975464,13,0.0115
0.0176,3,16.36013627052307,1,0.0004584367525475872,0,599.6644206047058,13,0.0176
0.0185,6,15.98949146270752,1,0.00045563712743026377,0,543.423180103302,13,0.0185
0.0185,10,16.02521848678589,1,0.00044905160014542224,4,502.9278163909912,13,0.0169
0.0185,16,16.98500370979309,1,0.0004332952131121525,10,454.67449045181274,13,0.0167
0.0115,1,17.41718602180481,1,0.0003767324846190091,0,700.6169528961182,14,0.0115
0.0168,3,16.80333709716797,1,0.00037605003774730735,0,612.1431369781494,14,0.0168
0.0186,6,16.786699533462524,1,0.00037375353964763,0,554.7985754013062,14,0.0186
0.0186,10,16.653363704681396,1,0.0003683515124971268,4,515.7983980178833,14,0.0175
0.0186,16,16.608503103256226,1,0.00035542674172843236,10,472.5099277496338,14,0.0171
0.0116,1,16.35171127319336,1,0.0004896925171010835,0,693.129102230072,15,0.0116
0.0178,3,16.471988677978516,1,0.0004888054443371584,0,595.6440839767456,15,0.0178
0.0186,5,16.418816566467285,1,0.00048703487073824145,0,553.3927998542786,15,0.0186
0.0186,10,15.99720048904419,1,0.00047879858174462226,5,498.69281339645386,15,0.0169
0.0186,15,16.353918313980103,1,0.00046530153188897643,10,456.3713274002075,15,0.0162
