best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.006,1,2.2922213077545166,1,0.0008619930732213836,0,80.97659015655518,1,0.006
0.0093,3,1.288961410522461,1,0.000860431581976891,0,75.49359369277954,1,0.0093
0.0492,10,1.3586409091949463,1,0.0008428167605568943,0,62.06456422805786,1,0.0492
0.0874,23,1.324796199798584,1,0.0007633548898492846,0,47.75634288787842,1,0.0874
0.0874,33,1.0619819164276123,1,0.0006681960155146636,10,41.15441703796387,1,0.085
0.0063,1,1.5108733177185059,1,0.0010307573087748733,0,80.76705837249756,2,0.0063
0.0096,3,1.4165973663330078,1,0.0010288901029203833,0,74.69989776611328,2,0.0096
0.0575,10,1.2618520259857178,1,0.001007826585723462,0,59.62901782989502,2,0.0575
0.0873,25,1.2621126174926758,1,0.0008924913843810099,0,43.05129146575928,2,0.0873
0.0873,35,1.1708059310913086,1,0.0007730678708715735,10,36.5626802444458,2,0.0857
0.0044,1,1.504220724105835,1,0.000742604318669877,0,81.12218189239502,3,0.0044
0.0087,3,1.3769588470458984,1,0.0007412590988789662,0,76.1540150642395,3,0.0087
0.0416,10,1.308572769165039,1,0.0007260839856843747,0,64.0873646736145,3,0.0416
0.0922,43,1.3550395965576172,1,0.0004769810804484645,0,39.44728708267212,3,0.0922
0.0922,53,1.1105144023895264,1,0.00037147751903828956,10,36.306068658828735,3,0.0862
0.0046,1,1.5011389255523682,1,0.0007621890307449727,0,81.0985803604126,4,0.0046
0.0087,3,1.436690330505371,1,0.0007608083334573381,0,76.0382080078125,4,0.0087
0.0422,10,1.2880818843841553,1,0.0007452330068312448,0,63.73896265029907,4,0.0422
0.0912,43,1.369988203048706,1,0.0004895605078649161,0,38.926984786987305,4,0.0912
0.0912,53,0.9856512546539307,1,0.00038127449983927253,10,35.768845558166504,4,0.0859
0.006,1,1.5739140510559082,1,0.0008529825589257426,0,80.98766708374023,5,0.006
0.0092,3,1.3168697357177734,1,0.0008514373901316479,0,75.53995704650879,5,0.0092
0.0493,10,1.368424654006958,1,0.0008340066984977838,0,62.208508014678955,5,0.0493
0.0895,40,1.2644071578979492,1,0.0005832431002858573,0,37.88886332511902,5,0.0895
0.0895,50,1.1136045455932617,1,0.00046315531229630614,10,34.190356492996216,5,0.0866
