best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0042,1,2.0677590370178223,1,0.0013251454923988578,0,80.4512038230896,1,0.0042
0.0108,3,1.166008710861206,1,0.0013227450054943324,0,72.61856031417847,1,0.0108
0.0649,10,1.1388490200042725,1,0.0012956656681663808,0,54.44726371765137,1,0.0649
0.087,37,1.2017314434051514,1,0.0009594309614109042,0,31.792012929916382,1,0.087
0.087,47,0.9946355819702148,1,0.0007762638633946895,10,28.191197156906128,1,0.0822
0.0048,1,1.3421578407287598,1,0.0011445789103795793,0,80.66711950302124,2,0.0048
0.0098,3,1.0940289497375488,1,0.0011425055179096035,0,73.581862449646,2,0.0098
0.0574,10,1.3141746520996094,1,0.0011191160572123333,0,56.47697591781616,2,0.0574
0.0874,31,1.1199965476989746,1,0.0009150280561505461,0,37.2979691028595,2,0.0874
0.0874,41,0.9874906539916992,1,0.0007669422943247635,10,32.90285921096802,2,0.0829
0.0042,1,1.3842756748199463,1,0.0010576713621251882,0,80.77021408081055,3,0.0042
0.0085,3,1.2021534442901611,1,0.001055755401750545,0,74.08827543258667,3,0.0085
0.0485,10,1.1202034950256348,1,0.0010341418960929478,0,57.577457427978516,3,0.0485
0.0871,36,1.1331403255462646,1,0.0007796135284269609,0,36.35480737686157,3,0.0871
0.0871,46,0.9958357810974121,1,0.0006346167007833117,10,32.65601325035095,3,0.0853
0.0043,1,1.3134191036224365,1,0.001000443492923662,0,80.8373794555664,4,0.0043
0.008,3,1.112544059753418,1,0.00099863120022278,0,74.43616771697998,4,0.008
0.0442,10,1.1606502532958984,1,0.000978187145605508,0,58.357247829437256,4,0.0442
0.0874,38,1.2331836223602295,1,0.0007110750435216338,0,36.370370626449585,4,0.0874
0.0874,48,0.9301266670227051,1,0.000571794822744476,10,33.100529193878174,4,0.0854
0.0042,1,1.2337698936462402,1,0.001723389847855232,0,79.98535490036011,5,0.0042
0.0147,3,1.0888001918792725,1,0.0017202679455547687,0,70.78393793106079,5,0.0147
0.0657,10,1.0931370258331299,1,0.0016850504880715476,0,50.798611640930176,5,0.0657
0.0828,31,1.1892597675323486,1,0.0013777556515955644,0,30.215044498443604,5,0.0828
0.0828,41,1.0175373554229736,1,0.0011547832586673863,10,25.70920419692993,5,0.078
