early_stopped,epochs_run,mrr@20,status,test_hr@10,test_mrr@20,trial
True,25,0.0907,ok,0.1261,0.0643,1
True,32,0.0897,ok,0.1289,0.0751,2
True,33,0.0899,ok,0.1289,0.075,3
True,32,0.0904,ok,0.1318,0.0753,4
True,25,0.0901,ok,0.1289,0.0614,5
True,32,0.0905,ok,0.1347,0.0763,6
True,38,0.0912,ok,0.1404,0.0753,7
True,32,0.0908,ok,0.1347,0.0758,8
True,40,0.0896,ok,0.1375,0.0714,9
True,33,0.0905,ok,0.1318,0.075,10
True,39,0.0903,ok,0.1347,0.0758,11
True,25,0.0903,ok,0.1318,0.063,12
True,38,0.0915,ok,0.1375,0.0745,13
True,32,0.0914,ok,0.1433,0.0776,14
True,25,0.0903,ok,0.1318,0.0627,15
