best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0137,1,9.406241655349731,1,0.0005876827863723546,0,418.5797243118286,1,0.0137
0.0931,3,8.375885725021362,1,0.0005866182052823582,0,354.0078053474426,1,0.0931
0.1944,10,8.411074161529541,1,0.0005746089123365708,0,199.2219362258911,1,0.1944
0.2002,16,8.228010416030884,1,0.0005544469523021132,0,142.33996272087097,1,0.2002
0.2002,26,7.82264256477356,1,0.0005027761751312033,10,91.10127449035645,1,0.1877
0.013,1,8.64856219291687,1,0.0005412794133491528,0,419.7390880584717,2,0.013
0.0828,3,8.540790319442749,1,0.0005402988914737158,0,359.8042573928833,2,0.0828
0.1934,10,7.888510704040527,1,0.0005292378510771451,0,207.91185188293457,2,0.1934
0.2008,20,7.958771467208862,1,0.0004939598825441743,0,125.65030908584595,2,0.2008
0.2008,30,7.49053955078125,1,0.00043909094467311,10,85.40932846069336,2,0.1906
0.0275,1,8.156299591064453,1,0.0009762442086856622,0,411.2498083114624,3,0.0275
0.1464,3,7.929290294647217,1,0.0009744757527296853,0,309.9724760055542,3,0.1464
0.1999,7,7.808322906494141,1,0.0009656690490161023,0,193.06187343597412,3,0.1999
0.1999,10,7.876172780990601,1,0.0009545262102884231,3,147.61920309066772,3,0.1969
0.1999,17,7.6700968742370605,1,0.0009140620031856512,10,88.5466023683548,3,0.1828
0.027,1,8.315443515777588,1,0.0009750726995416087,0,411.2684850692749,4,0.027
0.1467,3,8.005913734436035,1,0.0009733063657619323,0,310.0870871543884,4,0.1467
0.1997,7,8.02682876586914,1,0.0009645102302379864,0,193.16837978363037,4,0.1997
0.1997,10,7.232515096664429,1,0.0009533807631004729,3,147.7327048778534,4,0.1974
0.1997,17,8.098630428314209,1,0.0009129651137132869,10,88.66303396224976,4,0.1837
0.0169,1,8.196348190307617,1,0.0006648772127725686,0,416.82089042663574,5,0.0169
0.1091,3,8.07161808013916,1,0.0006636727948037245,0,344.4980731010437,5,0.1091
0.1962,10,7.593406438827515,1,0.0006500860343841242,0,186.3168544769287,5,0.1962
0.1991,15,8.285819292068481,1,0.0006317604921810322,0,137.02411341667175,5,0.1991
0.1991,25,8.204303979873657,1,0.000575690493794384,10,83.5788824558258,5,0.1854
0.0246,1,8.502676486968994,1,0.0009234280526137819,0,412.0782060623169,6,0.0246
0.1429,3,8.818770408630371,1,0.000921755272560357,0,315.19522047042847,6,0.1429
0.197,10,7.70328950881958,1,0.000902885027837602,3,152.95951294898987,6,0.1968
0.1972,11,7.813380718231201,1,0.0008985713426921512,0,141.26566243171692,6,0.1972
0.1972,21,7.746737480163574,1,0.0008347131034772065,10,72.49585330486298,6,0.1803
