best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0199,1,8.620768070220947,1,0.0005044125274276356,0,415.68777561187744,1,0.0199
0.1176,3,7.5924835205078125,1,0.0005034987895222402,0,336.59779262542725,1,0.1176
0.1995,10,7.749367713928223,1,0.0004931911236387523,0,180.79192781448364,1,0.1995
0.2051,11,7.550116300582886,1,0.0004908348200582134,0,168.88558077812195,1,0.2051
0.2051,21,7.350707530975342,1,0.0004559529516242675,10,93.76181292533875,1,0.1928
0.0183,1,7.772887229919434,1,0.00043976105294255636,0,417.77690029144287,2,0.0183
0.0992,3,7.582045316696167,1,0.0004389644304925958,0,347.88172674179077,2,0.0992
0.1963,10,7.804399013519287,1,0.000429977916962848,0,195.10812854766846,2,0.1963
0.2056,15,7.734164476394653,1,0.0004178570928765944,0,145.76130890846252,2,0.2056
0.2056,25,7.987499952316284,1,0.00038077144600026755,10,89.07118332386017,2,0.1918
0.0303,1,7.770503520965576,1,0.0006598620827944679,0,411.4578552246094,3,0.0303
0.1443,3,8.188753366470337,1,0.0006586667496800084,0,312.5376935005188,3,0.1443
0.2052,10,7.27690863609314,1,0.0006451824734006021,2,153.2849326133728,3,0.2011
0.2066,11,7.586469650268555,1,0.000642100005571582,0,141.35263204574585,3,0.2066
0.2066,21,7.179745435714722,1,0.0005964682634854613,10,69.22139894962311,3,0.1833
