best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0159,1,7.7444024085998535,1,0.0004452901990038887,0,421.08641719818115,1,0.0159
0.064,3,6.921326160430908,1,0.00044448356056489937,0,365.81609535217285,1,0.064
0.1851,10,6.752337694168091,1,0.00043538405898048947,0,220.36798572540283,1,0.1851
0.1969,19,6.5199949741363525,1,0.00041005130799345104,0,145.8145568370819,1,0.1969
0.1969,29,5.900153875350952,1,0.00036634503323784994,10,103.93713212013245,1,0.192
0.0178,1,6.935821056365967,1,0.0005721044608179305,0,417.5222454071045,2,0.0178
0.0975,3,6.977692365646362,1,0.0005710680996982712,0,348.62188148498535,2,0.0975
0.1922,10,6.820927619934082,1,0.000559377149708116,0,194.23946142196655,2,0.1922
0.1959,11,6.895034074783325,1,0.0005567046312511652,0,182.79215097427368,2,0.1959
0.1959,21,6.524241924285889,1,0.0005171416318258831,10,111.15137457847595,2,0.1908
0.0169,1,6.819581031799316,1,0.0005421630880633678,0,418.3077611923218,3,0.0169
0.0896,3,6.875277042388916,1,0.0005411809654206252,0,352.6443691253662,3,0.0896
0.1906,10,6.962148904800415,1,0.0005301018671384775,0,199.79039478302002,3,0.1906
0.1956,19,6.722870588302612,1,0.0004992579758177231,0,126.21771812438965,3,0.1956
0.1956,29,6.6276304721832275,1,0.00044604340037400036,10,85.91621124744415,3,0.188
0.0195,1,6.733492612838745,1,0.0007443426036304057,0,413.6171703338623,4,0.0195
0.1288,3,6.73974871635437,1,0.000742994234954857,0,325.8482675552368,4,0.1288
0.1932,10,6.768979549407959,1,0.0007277835999212764,0,167.532084941864,4,0.1932
0.1976,11,6.754346609115601,1,0.000724306491311333,0,156.20460987091064,4,0.1976
0.1976,21,6.621121168136597,1,0.0006728326294268431,10,87.97537040710449,4,0.185
0.0179,1,7.001547336578369,1,0.0005725080459136691,0,417.5118703842163,5,0.0179
0.0973,3,7.0477235317230225,1,0.0005714709537039199,0,348.5681438446045,5,0.0973
0.1922,10,6.9144508838653564,1,0.0005597717564556253,0,194.16682195663452,5,0.1922
0.1959,11,6.711822748184204,1,0.0005570973526985393,0,182.7194333076477,5,0.1959
0.1959,21,6.589680194854736,1,0.0005175064439699668,10,111.08694314956665,5,0.1906
0.0197,1,6.830935716629028,1,0.000665080682849873,0,415.2993793487549,6,0.0197
0.1167,3,6.820849895477295,1,0.0006638758962971572,0,336.1373391151428,6,0.1167
0.1935,10,6.867811441421509,1,0.0006502849779681868,0,178.8330855369568,6,0.1935
0.1981,11,6.858663558959961,1,0.0006471781320650164,0,167.40089321136475,6,0.1981
0.1981,21,6.6514551639556885,1,0.0006011855057608325,10,97.65320801734924,6,0.1887
