best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0186,1,9.775856494903564,1,0.0007698819239057256,0,414.1738443374634,1,0.0186
0.1291,3,8.561805248260498,1,0.0007684872910243044,0,328.1612582206726,1,0.1291
0.1964,10,8.304096937179565,1,0.0007527547601892219,2,168.9416525363922,1,0.1949
0.2,13,8.564168453216553,1,0.0007409858366530345,0,137.39647698402405,1,0.2
0.2,23,8.125249147415161,1,0.0006817840531174136,10,76.98865497112274,1,0.1858
0.0181,1,8.660834312438965,1,0.0007492434816993166,0,414.568359375,2,0.0181
0.1263,3,8.424733400344849,1,0.0007478862351354964,0,330.58766508102417,2,0.1263
0.196,10,7.208274602890015,1,0.000732575450698554,2,171.67817997932434,2,0.1952
0.1999,13,8.067205905914307,1,0.0007211220200200258,0,140.0344705581665,2,0.1999
0.1999,23,8.342750787734985,1,0.0006635072754186583,10,79.35975325107574,2,0.1867
0.0255,1,8.273876667022705,1,0.0008796153050069349,0,412.21535778045654,3,0.0255
0.1422,3,7.980206727981567,1,0.0008780218912778001,0,316.07832527160645,3,0.1422
0.1969,10,8.436153888702393,1,0.0008600469596950104,0,155.74817609786987,3,0.1969
0.1969,20,7.850308179855347,1,0.0008027178976877371,10,79.17693650722504,3,0.188
0.0139,1,8.193834781646729,1,0.000563569799606365,0,418.70531368255615,4,0.0139
0.0925,3,7.922765731811523,1,0.0005625488989343248,0,354.1595435142517,4,0.0925
0.1948,10,6.973120450973511,1,0.0005510323546764107,0,201.09918880462646,4,0.1948
0.1989,15,7.085767030715942,1,0.0005354990773303465,0,152.28725957870483,4,0.1989
0.1989,25,7.13480806350708,1,0.0004879724706913223,10,97.4445903301239,4,0.1918
0.0135,1,8.036044359207153,1,0.0005357540108646721,0,419.42799282073975,5,0.0135
0.0871,3,7.549394369125366,1,0.0005347834981968143,0,357.73576641082764,5,0.0871
0.1929,10,7.575079917907715,1,0.0005238353693549432,0,206.39816188812256,5,0.1929
0.2005,20,7.7278735637664795,1,0.000488917519773797,0,125.2944610118866,5,0.2005
0.2005,30,7.881980657577515,1,0.0004346086862742582,10,84.93121886253357,5,0.1901
