best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.0477,1,29.418493270874023,1,0.0015090897937477157,0,1329.8322567939758,1,0.0477
0.0678,3,28.49639344215393,1,0.0015063560937061552,0,1095.5410976409912,1,0.0678
0.0843,10,28.39873504638672,1,0.0014755178560805745,2,1010.6850934028625,1,0.0813
0.0932,36,27.404047966003418,1,0.0011123557476802682,0,899.4648623466492,1,0.0932
0.0932,46,27.895819425582886,1,0.000905473685294496,10,873.6579027175903,1,0.0849
0.0454,1,27.877774953842163,1,0.0013560008447742707,0,1335.0588388442993,2,0.0454
0.0672,3,28.253183603286743,1,0.0013535444637285082,0,1097.5610656738281,2,0.0672
0.0867,10,27.874619483947754,1,0.0013258345975264523,2,1011.0047149658203,2,0.0834
0.0895,15,27.26037573814392,1,0.0012884601015579174,0,981.1073789596558,2,0.0895
0.0895,25,27.136887311935425,1,0.0011741067086032475,10,937.1232967376709,2,0.0854
0.0456,1,28.887335062026978,1,0.0012052133726879754,0,1340.1001839637756,3,0.0456
0.0695,3,27.954941511154175,1,0.001203030141537214,0,1100.9123167991638,3,0.0695
0.0858,10,27.392133235931396,1,0.0011784016160972673,1,1013.5597009658813,3,0.0852
0.0912,25,26.53956961631775,1,0.001043545888355886,0,940.7898216247559,3,0.0912
0.0912,35,26.40161395072937,1,0.0009039099000687617,10,908.8154072761536,3,0.0905
0.0449,1,28.489877939224243,1,0.0012221104743169741,0,1338.9397201538086,4,0.0449
0.0678,3,27.619749546051025,1,0.0012198966342471034,0,1100.4031581878662,4,0.0678
0.0848,10,27.668420553207397,1,0.0011949228166731978,1,1012.8586530685425,4,0.0819
0.0909,17,27.343611001968384,1,0.0011442677337592548,0,973.2747735977173,4,0.0909
0.0909,27,28.711573123931885,1,0.0010325351608134847,10,932.7865896224976,4,0.0842
0.0473,1,28.779179096221924,1,0.001604776287306553,0,1329.9154329299927,5,0.0473
0.0662,3,28.377512454986572,1,0.0016018692522040158,0,1095.2211289405823,5,0.0662
0.0849,10,28.60399580001831,1,0.0015690756618630753,0,1010.4786906242371,5,0.0849
0.0898,18,27.985873222351074,1,0.0014904753085297983,0,964.8385534286499,5,0.0898
0.0898,28,26.40328073501587,1,0.0013382833396577826,10,922.8556017875671,5,0.0817
0.0469,1,28.879849910736084,1,0.0016292750063834592,0,1328.458424091339,6,0.0469
0.067,3,26.648427486419678,1,0.001626323592113005,0,1094.1459512710571,6,0.067
0.0862,10,27.28398895263672,1,0.001593029370647564,0,1010.8358187675476,6,0.0862
0.0913,19,27.548497915267944,1,0.0015003392146134826,0,960.5316376686096,6,0.0913
0.0913,29,31.109235286712646,1,0.0013404220611689995,10,920.5538229942322,6,0.0863
0.0452,1,30.715710878372192,1,0.001232890512119679,0,1338.3702178001404,7,0.0452
0.0686,3,29.554532527923584,1,0.001230657144126479,0,1100.0745306015015,7,0.0686
0.0847,10,29.871883630752563,1,0.0012054630365680079,1,1012.7052855491638,7,0.0806
0.0912,15,27.98246192932129,1,0.0011714817439659872,0,982.4694051742554,7,0.0912
0.0912,25,27.952722549438477,1,0.0010675104125720343,10,939.2768487930298,7,0.0854
