best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.3038,1,35.59642219543457,1,0.0007617262368372143,0,2132.183385372162,1,0.3038
0.3568,3,33.81876254081726,1,0.0007603463778958001,0,1094.669047832489,1,0.3568
0.3708,6,33.807753562927246,1,0.0007557030223934465,0,808.0761008262634,1,0.3708
0.3708,10,34.12745380401611,1,0.0007447805084594368,4,661.4829218387604,1,0.3585
0.3708,16,36.07002925872803,1,0.0007186475430222308,10,477.0170751810074,1,0.3263
0.2933,1,37.161176919937134,1,0.0006317780202860721,0,2188.9472818374634,2,0.2933
0.3492,3,34.42595553398132,1,0.0006306335611508579,0,1178.262213230133,2,0.3492
0.3712,7,33.2606840133667,1,0.0006249342885836954,0,789.4460506439209,2,0.3712
0.3712,10,32.975152015686035,1,0.0006177231824597289,3,693.4279489517212,2,0.3631
0.3712,17,36.81083583831787,1,0.000591536705317649,10,494.31714856624603,2,0.3348
0.3078,1,37.63244414329529,1,0.0008564546427929727,0,2092.83797454834,3,0.3078
0.3592,3,36.756123781204224,1,0.0008549031843560407,0,1053.3719568252563,3,0.3592
0.371,6,37.22377681732178,1,0.0008496823803639906,0,798.1489202976227,3,0.371
0.371,10,31.88291645050049,1,0.0008374015407166715,4,640.5143320560455,3,0.3527
0.371,16,36.37442708015442,1,0.0008080186751985098,10,453.6851044893265,3,0.3217
