best_mrr20,epoch,epoch_time_sec,eval,lr,patience_used,train_loss,trial,valid_mrr20
0.2733,1,34.35157823562622,1,0.0004805429005233575,0,2258.3562440872192,1,0.2733
0.3341,3,33.950275897979736,1,0.0004796724021921284,0,1330.8285756111145,1,0.3341
0.3718,8,31.436213970184326,1,0.00047371931364342546,0,799.9298605918884,1,0.3718
0.3718,10,32.01981163024902,1,0.00046985251193972465,2,741.9829294681549,1,0.3693
0.3718,18,31.692729711532593,1,0.00044631599655643213,10,561.9157242774963,1,0.3467
0.2803,1,32.213167667388916,1,0.0005122173933058347,0,2243.2572231292725,2,0.2803
0.3379,3,32.13140869140625,1,0.000511289516969271,0,1291.3975734710693,2,0.3379
0.3722,8,31.13460898399353,1,0.0005049440366901649,0,789.222558259964,2,0.3722
0.3722,10,30.79388666152954,1,0.0005008223587152264,2,732.319019317627,2,0.3678
0.3722,18,29.548046827316284,1,0.00047573445804287686,10,545.2657570838928,2,0.3437
0.2815,1,32.49420523643494,1,0.0005179789995577106,0,2240.5279235839844,3,0.2815
0.3383,3,31.93748712539673,1,0.0005170406861329661,0,1284.6661100387573,3,0.3383
0.3722,8,32.26927852630615,1,0.0005106238295997049,0,787.4383029937744,3,0.3722
0.3722,10,31.927022695541382,1,0.0005064557895021618,2,730.637452840805,3,0.3677
0.3722,18,31.322364568710327,1,0.00048108569106134646,10,542.3703765869141,3,0.343
